,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,labels,ingredients_origins,traceability_code,manufacturing,markets,additives,palm_ingredients,link,producer_info,brand_owner,origin_detail
502,Le petit marseillais - 250ml,3574661018010,,250 ml,['Le petit marseillais'],"['Non alimentaire', 'Open Beauty Facts']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Pastèque tigrée pièce,8400001033878,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Liquide Vaisselle Eco+,3450970015103,,,,,['France'],[],[],?,,0,,?,,?,,?,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,
505,Mag 2 100MG,3400934608773,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,la provencale - 100ml,3600550972153,,100 ml,['la provencale'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastqur'],,,,,,,,,,,
507,sanex men,8718951068360,,,['Sanex'],,['France'],"['eau,aluminium,clorhydrate glycein,ether,dimethicone ycol calcium silicate']",[],?,,?,,?,,?,,?,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E173 - Aluminium', 'E552 - Silicate de calcium']",,,,,
508,Cookies Belgian chocolate chunk - Marks & Spencer - 230g e,00011679,D,230 g e,['Marks & Spencer'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['Wheatflour contains Gluten ', 'With Wheatflour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', ' • Dark Chocolate Chunks ', '22%', ' ', 'Sugar • Cocoa Mass • Cocoa Butter • Emulsifier: Soya Lecithin • Vanilla Flavouring', ' • Sugar • Butter ', 'Milk', ' ', '18%', ' • Milk Chocolate Chunks ', '11 %', ' ', 'Sugar • Dried Whole Milk • Cocoa Butter • Cocoa Mass • ü noulsifier: Soya Lecithin • Vanilla Flavouring', ' • Raising Agent: E450', 'Sodium Bicarbonate', 'E503 • Salt • Vanilla Flavouring', ' Dark Chocolate contains Cocoa Solids 42% minimum', ' Milk Chocolate contains Cocoa Solids 29% minimum', 'Milk Solids 22% minimum']",['Non végétalien'],?,,502,+2%,26,+11%,"60,1",-4%,"5,4",-18%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,All butter cookies With Belgian dark and milk chocolate chunks,"['Gluten', 'Lait']",4,26 g,en quantité élevée,15.2 g,en quantité élevée,37.4 g,en quantité élevée,0.9 g,en quantité modérée,2100 kj(502 kcal),+2%,"15,2",+29%,"37,4",+15%,"0,9",+63%,"0,36",+63%,25,+17%,E,+17%,"['Sachet', 'Plastique']","['Pur beurre', 'Pur beurre de cacao']",,,,['Marks & Spencer'],"['E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E503 - Carbonates d'ammonium""]",,,,,
509,Sundae Mix - McDonald's - 10L e (1 * 10L e),00012444,B,10 L e (1 * 10 L e),"[""McDonald's""]","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Sundae']",['France'],"['Lait écrémé', 'sucre', 'crème', 'sirop de glucose', 'poudre de lactosérum sucré', 'lait écrémé en poudre', 'stabilisants ', 'E412', 'E407', 'émulsifiant ', 'E471', 'arôme de vanille']","[""Pourrait contenir de l'huile de palme""]",?,,?,,?,,?,,?,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"Préparation pour glace à base de lait, stérilisée U.H.T.",['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,"['Plastique', 'Carton']",,,['BE M 183 EC'],['Belgique'],"[""McDonald's""]","['E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
510,Trident gum cinnamon sugar free1x18 pc,0012546612678,,,['Trident'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Irak', 'États-Unis']","['Sorbitol', 'gum base', 'xylitol', 'glycerin', 'natural and artificial flavor', ' less than 2% of: acesulfame potassium', 'bht ', 'to maintain freshness', 'mannitol', 'red 40 lake', 'soy lecithin', 'sucralose']",[],?,,294,+84%,0,-100%,"58,82",-6%,0,-100%,,,,,,,,,['Soja'],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1230 kj(294 kcal),+83%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,"['E420 - Sorbitol', 'E967 - Xylitol', 'E422 - Glycérol', 'E950 - Acésulfame K', 'E321 - Butylhydroxytoluène', 'E421 - Mannitol', 'E129 - Rouge allura AC', 'E322i - Lécithine', 'E955 - Sucralose']",,,,Mondelez Int. US (0074819091009),
511,Vivis confiture de fraise - Gayelord Hauser - 320g,0013170792026,D,320 g,"['Gayelord Hauser', 'Vivis']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],"['Fraises 60% ', 'dont purée à base de concentré', 'eau', 'fructose', 'jus concentré de cassis et de citron', 'gélifiant pectines', ""correcteur d'acidité : lactate de calcium"", 'vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,130,-40%,"0,2",-17%,31,-42%,"0,5",+13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,4,0.2 g,en faible quantité,0.1 g,en faible quantité,29 g,en quantité élevée,0.05 g,en faible quantité,544 kj(130 kcal),-40%,"0,1",+122%,29,-43%,"0,05",+120%,"0,02",+120%,2,-77%,B,-77%,['Bocal'],['Sans conservateurs'],,,,,"['E440 - Pectines', 'E327 - Lactate de calcium', 'E300 - Acide ascorbique']",,,,,
512,COOKIES AU CHOCOLAT NOIR - PEPPERIDGE FARM - 425g,0014100042303,D,425 g,"['PEPPERIDGE FARM', 'MILANO']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['France', 'Polynésie française']","['farine de blé enrichie ', 'farine', 'niacine', 'fer réduit', 'mononitrate de thamine', 'riboflavine', 'acide folique', 'chocolat mi-sucré ', 'sucre', 'chocolat', 'chocolat transformé en alcali', 'beurre de cacao', 'graisse de lait', 'lécithine de soja', 'extrait de vanille', 'sucre', 'palme et / ou huiles de soja et de soja hydrogénées', 'oeufs', 'contient 2% ou moins de: maïs', 'sel', 'pâtisserie', 'soude', 'lécithine de soja', 'arômes naturels', 'lait écrémé']","['Huile de palme', 'Non végétalien']",?,,130,,"3,5",,22,,1,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,biscuits au chocolat,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,,,544 kj(130 kcal),,"1,5",,13,,"0,229",,"0,091",,,,,,"['Plastique', 'Boite', ""papier d'emballage"", 'plastique termomoulé']",,['États-Unis'],,,['Maxi'],['E322i - Lécithine'],['Huile de palme'],,,,
513,Lychee drink - Foco - 350mL,0016229901226,,350 mL,"['Foco', 'Thai Agri Foods Co.  Ltd.']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Boissons avec sucre ajouté']","['France', 'Suisse', 'États-Unis']","['Eau', 'jus de lychee 25 %', 'sucre', ""correcteur d'acidité "", 'E330']",[],187,+75%,45,+67%,0,-100%,11,+62%,0,-100%,,,,,,,,Boisson au lychee,,3,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.05 g,en faible quantité,187 kj(45 kcal),+61%,0,-100%,11,+66%,"0,05",+260%,"0,02",+260%,15,+63%,E,+63%,['Canette'],,,,['Thaïlande'],['Sandwich 17'],['E330 - Acide citrique'],,,,"Thai Agri Foods Co., Ltd.",
514,Freshly Squeezed Still Lemonade - Marks & Spencer,00117449,,,['Marks & Spencer'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['France'],[],[],?,,37,+19%,"0,1",+23%,"8,6",+15%,"0,3",+194%,,,,,,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,7.2 g,en quantité élevée,0.02 g,en faible quantité,155 kj(37 kcal),+23%,"0,1",+429%,"7,2",-1%,"0,02",+50%,"0,008",+50%,11,+8%,E,+8%,"['pet-bottle', 'sleeve', 'cap']",,,,,,,,,,,
515,Houmous - M & S,00145954,B,,['M & S'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']","['France', 'Royaume-Uni']","['Pois chiches cuits ', '51%', ' ', 'Eau • Pois chiches', ' • Eau • Tahini ', 'Pâte de graines de sésame', "" Huile de colza • Jus de citron concentré • Huile d'olive vierge extra • Sel • Ail""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,255,-3%,19,-6%,"10,6",0%,"7,5",+16%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,3,19 g,en quantité modérée,2.7 g,en quantité modérée,0.4 g,en faible quantité,0.83 g,en quantité modérée,1067 kj(255 kcal),-3%,"2,7",+10%,"0,4",-70%,"0,83",-20%,"0,332",-20%,-1,-120%,A,-120%,,,,,,['Marks & Spencer'],,,,,,
516,Doritos,0028400017091,B,,['Doritos'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées', 'Chips de maïs']","['Aruba', 'France']","['Maïs entier', 'huile végétale ', 'contient un ou plusieurs des ingrédients suivants: huile de maïs', 'de soja et/ou de tournesol', 'maltodextrine de maïs', 'sel', 'poudre de tomate', 'amidon de maïs', 'lactose', 'lactosérum', 'lait écrémé', 'extrait sec de sirop de maïs', 'poudre d’oignon', 'sucre ', ""poudre d'ail"", 'glutamate monosodique', 'fromage cheddar ', 'lait', 'cultures fromagères', 'sel', 'enzymes', 'dextrose', 'acide malique', 'babeurre', 'arômes naturels et artificiels', 'acétate de sodium', 'colorant artificiel ', 'notamment le Red 40', 'le Blue 1', 'le Yellow 5', 'le sodium caséinate', 'épice', 'acide citrique', 'inosinate disodique et guanylate disodique,']",['Non végétalien'],?,,520,+7%,26,+15%,64,+6%,6,-6%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Lait'],4,26 g,en quantité élevée,3 g,en quantité modérée,2 g,en faible quantité,1.75 g,en quantité élevée,2176 kj(520 kcal),+8%,3,+2%,2,+6%,"1,75",+50%,"0,7",+50%,15,+55%,D,+55%,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique', 'E262i - Acétate de sodium', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E102 - Tartrazine', 'E330 - Acide citrique', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']",,,,,
517,Still water Lemon & Lime - M&S,00213790,,,['M&S'],"['Boissons', 'Boissons édulcorées']","['France', 'Royaume-Uni']","['Eau de source • Acidifiant : Acide citrique', 'Acide malique • Arômes ', 'Citron', 'Citron vert', "" • Arôme • • Correcteur d'acidité : E331 • Conservateur : E202"", 'E242 • Antioxydant : Acide ascorbique • Édulcorant : Sucralose']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,2,-87%,"0,1",+23%,"0,1",-96%,"0,1",-21%,,,,,,,,,,4,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.03 g,en faible quantité,8 kj(2 kcal),-86%,"0,1",+288%,"0,1",-96%,"0,03",-14%,"0,012",-14%,2,-54%,C,-54%,,,,,,['Marks & Spencer'],"['E330 - Acide citrique', 'E296 - Acide malique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle', 'E300 - Acide ascorbique', 'E955 - Sucralose']",,,,,
518,Pain de mie complet Marks and Spencer,00263306,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",['France'],[],[],?,,230,-11%,"2,8",-35%,"36,5",-15%,"11,2",+26%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,2.8 g,en faible quantité,0.8 g,en faible quantité,1.9 g,en faible quantité,0.93 g,en quantité modérée,962 kj(230 kcal),-11%,"0,8",+28%,"1,9",-62%,"0,93",-18%,"0,372",-18%,1,,B,,,,,,,['Marks & Spencer'],,,,,,
519,Triple Berry Granola - Full Circle - 12Oz / 340g,0036800420649,B,12 Oz / 340 g,['Full Circle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['France', 'États-Unis']","[""Flocons d'avoine entiers sans gluten biologiques"", 'sucre biologique', 'raisins secs biologiques', 'miel biologique', 'graines de tournesol biologiques huile de canola biologique canneberges séchées infusées biologiques ', 'canneberges biologiques', 'sucre biologique', 'huile de tournesol biologique', ""farine d'avoine biologique"", 'gluten organique de noix de coco', ' riz brun à grains entiers bio le sirop', 'sel de mer', 'graines de lin bio', 'bleuets séchés bio ', 'myrtilles bio', 'sucre bio', 'huile de tournesol bio', 'framboises bio lyophilisées']",['Non végétalien'],?,,423,+7%,"13,46",+27%,"69,23",+13%,"11,54",+20%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,3,13.5 g,en quantité modérée,2.88 g,en quantité modérée,26.9 g,en quantité élevée,0 g,en faible quantité,1770 kj(423 kcal),+6%,"2,88",+6%,"26,92",+50%,0,-100%,0,-100%,7,+104%,C,+104%,"['Plastic', 'Bag']","['Bio', 'en:gluten-free', 'Kascher', 'en:USDA Organic']",,,,,,,,,"Topco Associates, Inc.",
520,Whole natural almonds - Blue Diamond Almonds,0041570110690,E,,"['Blue Diamond Almonds', 'Blue Diamond Growers']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']","['France', 'États-Unis']",['Almonds'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,571,-8%,50,-4%,"21,43",+79%,"21,43",-3%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,['Fruits à coque'],1,50 g,en quantité élevée,3.57 g,en quantité modérée,3.57 g,en faible quantité,0 g,en faible quantité,2389 kj(571 kcal),-8%,"3,57",-14%,"3,57",-14%,0,-100%,0,-100%,-5,-676%,A,-676%,,,,,,,,,,,Blue Diamond Growers,
521,"Mexican burrito cheddar, rice & bean - Amy's Kitchen - 156g",0042272003709,D,156 g,"[""Amy's Kitchen""]","['Sandwichs', 'Burritos']","['France', 'Irlande']","['N EDENTS ORGANIC PINTO BEANS ', '31 %', 'FILTERED WATER', 'ORGANIC COOKED BROWN RICE ', '11 %', 'ORGANIC CHICKPEA FLOUR', 'ORGANIC TOMATO PUREE', 'ORGANIC POTATO STARCH', 'ORGANIC TAPIOCA STARCH', 'ORGANIC ONIONS', 'SUNFLOWER OIL', 'CHEDDAR CHEESE ', 'MLO ', '2%', 'MONTEREY JACK CHEESE ', 'MI', ' ', '2%', 'ORGANIC SWEET PEPPERS', 'ORGANIC SORGHUM FLOUR', 'ORGANIC SWEET RICE FLOUR', 'ORGANIC SUGAR', 'SEA SALT', 'SPICES', 'ORGANIC GARLIC', ' FOR ALLERGENSSEE INGREDIENTSIN BOLD', ' 83%OFTHEARLI RALNGREENISAEPRODUmN ORDAME WITH THERULES OFORGANIC PRODUCTION UNDER ORGANIC CERTFICATIONv']","['Non végétalien', 'Végétarien']",?,,164,-23%,"5,1",-15%,24,-19%,"5,8",-18%,86.1%,5.4%,1.8%,2.1%,1.0%,3.8%,35,,['Lait'],3,5.1 g,en quantité modérée,1.3 g,en faible quantité,1.9 g,en faible quantité,0.6 g,en quantité modérée,686 kj(164 kcal),-23%,"1,3",-26%,"1,9",-34%,"0,6",-50%,"0,24",-50%,-1,-121%,A,-121%,,"['Bio', 'Végétarien', 'en:gluten-free', 'en:us-org-050']",,,['USA'],['The Health Store'],,,,,,
522,"Gratin de Pâtes, Brocolis et Cheddar - Amy's Kitchen - 270g e",0042272009053,C,270 g e,"[""Amy's Kitchen""]","['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Gratins de pâtes']",['France'],"['Pâte de riz* ', 'farine de riz', 'fécule de pomme de terre', 'fécule de riz', 'farine de soja', ' 33 %', 'lait*', 'brocolis* 16 %', 'cheddar ', 'lait', ' 12 %', 'beurre ', 'lait', 'farine de riz doux*', 'farine de riz*', 'eau filtrée', 'farine de graine de tournesol*', 'pommes de terre*', 'fécule de tapioca*', 'sel marin', ""jus d'agave*"", ""huile d'olive"", 'huile de tournesol', 'lécithine de soja - émulsifiant', 'levures', 'rocou* - colorant', "" * ingrédient issu de l'agriculture biologique""]","['Non végétalien', 'Végétarien']",?,,154,-3%,"7,4",+1%,16,+10%,"5,9",-20%,64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,,"['Lait', 'Soja']",4,7.4 g,en quantité modérée,4.4 g,en quantité modérée,1.9 g,en faible quantité,0.6 g,en quantité modérée,644 kj(154 kcal),-2%,"4,4",+4%,"1,9",+6%,"0,6",-23%,"0,24",-23%,4,-19%,C,-19%,"['Carton', 'surgelé', 'Plastique']","['Bio', 'Végétarien', 'en:gluten-free']",,,,,"['E322i - Lécithine', 'E160b - Rocou']",,,,,
523,Easy Cheese Cheddar - Kraft Foods,0044000045517,D,,['Kraft Foods'],"['Conserves', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en conserve']","['France', 'États-Unis']","['WHEY', 'CANOLA OIL', 'MILK PROTEIN CONCENTRATE CHEDDAR CHEESE ', 'MILK', 'SALT', 'CHEESE CULTURE', 'ENZYMES', 'MIL WHEY PROTEIN CONCENTRATE', 'CONTAINS LESS THAN 2% OF SODIUM PHUSPHATE', 'SODIUM CITRATE CALCIUM PHOSPHATE', 'SALT', 'LAUI AIU', 'MILKFAT', 'SODIUM ALGINATE', 'SORBIC ACID AS A PRESERVAINE SODIUM CASEINATE', 'ACETIC ACID', 'COLOR ', 'ANNATTO EXTRACT', ' APOCAROTENAL', 'ENZYMES CHEESE CULTURE', ' M']",['Non végétalien'],?,,281,+144%,"18,75",+259%,"6,25",+22%,"12,5",+55%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Lait'],4,18.8 g,en quantité modérée,6.25 g,en quantité élevée,6.25 g,en quantité modérée,3.36 g,en quantité élevée,1176 kj(281 kcal),+151%,"6,25",+439%,"6,25",+231%,"3,36",+285%,"1,344",+285%,15,+3429%,D,+3429%,,,,,,,"['E331 - Citrates de sodium', 'E270 - Acide lactique', 'E401 - Alginate de sodium', 'E260 - Acide acétique', ""E160e - Apocaroténal 8'""]",,,,Nabisco Biscuit Company,
524,Snyder's Pretzel Crisps Sea Salt & Cracked Pepper - Snyder's Of Hanover,0049508004233,B,,"[""Snyder's Of Hanover"", 'Snack Factory Inc']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['France', 'États-Unis']","['Wheat flour', 'soybean oil', 'cane sugar', 'salt', 'sucrose', 'sea salt ', '1', '05%', 'whey ', 'milk', 'black pepper ', '0', '6%', 'sugar', 'barley malt extract', 'maltodextrin', 'dextrose', 'onion powder', 'garlic powder', 'yeast extract', 'vinegar', 'acidity regular: e330', 'natural flavors', ' flavo']",['Non végétalien'],?,,395,-15%,5,-75%,78,+31%,8,-19%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Gluten', 'Lait']",4,5 g,en quantité modérée,0.5 g,en faible quantité,7 g,en quantité modérée,1.75 g,en quantité élevée,1653 kj(395 kcal),-16%,"0,5",-91%,7,+79%,"1,75",-12%,"0,7",-12%,10,-35%,C,-35%,,,,,,,['E330 - Acide citrique'],,,,,
525,Honey Roasted Cashews & Peanuts - Marks & Spencer - 175g,00411059,E,175g,['Marks & Spencer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Apéritif', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Noix de cajou']","['France', 'Royaume-Uni']","['noix de cajou 41%', 'cacahuètes 41%', 'sucre', 'huile de palme', 'miel', 'sirop de glucose', 'sel', 'stabilisant : gomme xanthane']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,,593,-3%,44,-10%,"25,7",+80%,"21,3",-10%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,noix de cajou et cacahuètes grillées au miel,"['Fruits à coque', 'Arachides']",4,44 g,en quantité élevée,6.9 g,en quantité élevée,14.5 g,en quantité élevée,0.38 g,en quantité modérée,2481 kj(593 kcal),-3%,"6,9",-6%,"14,5",+170%,"0,38",-56%,"0,152",-56%,2,-68%,B,-68%,['sous atmosphère protectrice'],,,,,['Marks & Spencer'],['E415 - Gomme xanthane'],['Huile de palme'],,,,
526,150G GD Tai. marshmallow Multicolore Rocky Moun - Rocky Mountain - 150g,0054300091541,B,150 g,['Rocky Mountain'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",['France'],"['sirop de glucose', 'sucre', 'amidon', 'gélatine porcine', 'eau', 'arome', 'stabilisant: E450', 'colorants: E100', 'E120', 'E133']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,328,-7%,"0,001",-100%,80,+5%,2,-45%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,,,4,0.001 g,en faible quantité,1e-05 g,en faible quantité,66 g,en quantité élevée,0.07 g,en faible quantité,1372 kj(328 kcal),-7%,0,-100%,66,+3%,"0,07",+23%,"0,028",+23%,14,-11%,D,-11%,,['en:gluten-free'],,,,,"['E428 - Gélatine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,,
527,Cranberry Bar - Taste Of Nature - 40g,0059527171458,,40 g,['Taste Of Nature'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['Canada', 'France', 'Suisse']","['ROASTED PEANUTS', 'AGAVE SYRUP', 'DRIED CRANBERRIES ', 'CRANBERRIES', 'CONCENTRATED APPLE JUICE', 'SUNFLOWER OIL', 'SUNFLOWER SEEDS', 'PUMPKIN SEEDS', 'RAISINS ', 'RAISINS', 'SUNFLOWER OIL', 'BROWN RICE SYRUP', 'SESAME SEEDS', 'Cereal crispies', 'FLAXSEEDS', 'ALMONDS', 'SUNFLOWER OIL ', 'SUNFLOWER OIL', 'MIXED TOCOPHEROLS CONCENTRATE', 'ROSEMARY EXTRACT', 'NATURAL FLAVOUR', 'AGAR']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,476,+13%,26,+65%,48,-20%,16,+114%,,,,,,,,snack bar,"['Fruits à coque', 'Graines de sésame']",4,26 g,en quantité élevée,3.6 g,en quantité modérée,26 g,en quantité élevée,0 g,en faible quantité,1992 kj(476 kcal),+12%,"3,6",-40%,26,-4%,0,-100%,0,-100%,8,-39%,C,-39%,"['Plastic', 'Box']",['Bio'],,,"['Markham', 'Taste of Nature Foods Inc']",,['E406 - Agar-agar'],,https://tasteofnature.ca/en-ca/products/cranberry,,,
528,4 All Butter Muffins - Marks & Spencer - 260g,00522960,B,260 g,['Marks & Spencer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Biscuits et gâteaux', 'Gâteaux', 'Pains', 'Muffins', 'Pains spéciaux', 'Pains Muffins']","['France', 'Royaume-Uni']","['wheatflour contains gluten ', 'with wheatflour', 'calcium carbonata', 'iron', 'niacin', 'thiamin', ' ·» water · yeast · durum wheat semolina ', 'contains glutsn', ' · dried wheat gluten ~ butter ', 'milk', ' ', '2%', ' ·', 'dried fermented wheatflour ', 'contains gluten', ' ~ sugar · invert sugar syrup · salt · vinegar · soya flour,']",['Non végétalien'],1069,+5%,?,,"3,1",+3%,"43,9",+9%,11,+8%,73.2%,15.1%,7.1%,4.0%,0.5%,0.0%,82,,"['Gluten', 'Lait']",4,3.1 g,en quantité modérée,1.5 g,en quantité modérée,6 g,en quantité modérée,0.85 g,en quantité modérée,1069 kj(255 kcal),+7%,"1,5",+165%,6,+13%,"0,85",-12%,"0,34",-12%,1,+2199%,B,+2199%,"['Plastique', 'Cardboard']","['Point Vert', 'Pur beurre']",,,['Royaume-Uni'],['Marks & Spencer'],,,,,,
529,Recette originale,0060410066393,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],"['POMMES DE TERRE SPECIALEMENT SÉLECTIONNÉES', 'HUILE VÉGÉTALE', 'SEL MARIN', 'SANS GLUTEN,']","[""Pourrait contenir de l'huile de palme""]",?,,540,+2%,32,-2%,58,+13%,8,+34%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,3,32 g,en quantité élevée,3 g,en quantité modérée,0 g,en faible quantité,0.42 g,en quantité modérée,2259 kj(540 kcal),+2%,3,-3%,0,-100%,"0,42",-68%,"0,168",-68%,1,-91%,B,-91%,,['Sans gluten'],,,,,,,,,,
