,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
473,Eau fleur oranger,8475075553966,,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,pois cassés - Les veloutés du nord,3760142950157,,['France'],[],[],?,18.2,"0,2","2,6","1,1",76 kj(18 kcal),0,"0,8","0,5","0,2",,,['Les veloutés du nord'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de légumes', 'en:Reheatable vegetable soups', 'Soupe aux pois cassés']",,0.2 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en quantité modérée,,-61%,-61%,-89%,-100%,+16%,+2%,-76%,-42%,-42%,2,+103%,B,+103%,17.3%,36.4%,17.9%,12.3%,11.4%,4.8%,98,,,,,,,,,,
475,Halen Môn Cheddar - Dragon - 200g,5017243099994,['AOP'],['France'],"['Cheddar cheese ', 'Milk']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1729,417,"34,9","0,1","25,4",1729 kj(417 kcal),"21,7","0,1","1,8","0,72",200 g,['Handcrafted'],['Dragon'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni']",['UK DP001 EC'],34.9 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,+6%,+5%,+4%,+5%,+3%,-93%,-81%,+8%,+1%,+1%,17,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,3,,,['Lait'],,,,
476,Cèpes frais,8429263221014,,['France'],[],[],?,116,"9,1","6,5","1,9",485 kj(116 kcal),"1,17","0,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,coussins à la pâte à tartiner bio,108063,['Bio'],['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Olives noires - 700g,8690100001254,,['France'],[],[],?,?,?,?,?,,,,,,700 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Milk chocolate confetti letter - Hema,8718161871651,,['France'],[],[],?,?,?,?,?,,,,,,,,['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Mélange 5 baies,3434410024870,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Comté 12 mois,2210178030572,,['France'],[],[],?,427,35,1,27,1787 kj(427 kcal),23,0,"0,76","0,304",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
482,Tomme de Montagne allégée en matière grasse,2444566030831,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
