,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
1117,creme de caramel au beurre salé,3760133672327,,['France'],[],[],?,487,28,58,1,2038 kj(487 kcal),18,41,"0,5","0,2",,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",,28 g,en quantité élevée,18 g,en quantité élevée,41 g,en quantité élevée,0.5 g,en quantité modérée,,+16%,+16%,+44%,+51%,-1%,-14%,-45%,-18%,-18%,27,+10%,E,+10%,,,,,,,,,,,,,,,,,
1118,Salade barbecue,3236330000374,,['France'],[],[],?,214,21,"3,7","0,9",895 kj(214 kcal),"2,3","3,4","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Miel,3770001073194,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1120,Farine de froment - 1kg,3770012812003,,['France'],[],[],?,?,?,?,?,,,,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Bouchées à la reine - 300g,3250392590208,,['France'],[],[],?,272,"16,1","22,1","8,9",1138 kj(272 kcal),"10,7","2,29","1,09","0,436",300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Creme crue fermiere,3539380200030,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,"['FR 76.052.003 CE', 'Bailleul-Neuville (Seine-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Haricots rouges,3253632991957,,['France'],[],[],?,104,"0,7",12,"8,4",435 kj(104 kcal),"0,7","1,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Heinz bbq sauce,05705009,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,,['Heinz'],B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,,,,,,,,,,,,,,,,,,,,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,
1125,Sweet Chili deeping sauce,0672774017463,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,['Bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Nuit folle À MONTMATRE,3760243911828,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Deo (Anti-Transpirant) - Beiersdorf AG - 75ml,4005900267283,,"['Autriche', 'France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,75ml,"['Produkt', 'Stück']","['Beiersdorf AG', 'HIDROFUGAL']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,cotes du jura vin rouge,3361122130028,,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,
1129,Mirin,0856990000021,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Pasta fresca all'uovo,8033275126023,,['France'],[],[],?,293,"2,9","52,94","12,78",1226 kj(293 kcal),"0,8","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Melange exotique,2600129032739,,['France'],[],[],?,387,11,"69,8","1,9",1619 kj(387 kcal),"10,1","57,2","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Miel tilleul,3540860049100,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1133,Confiture De Figues Tucal (475),6194000240185,,['France'],[],[],?,244,"0,3",62,"0,96",1021 kj(244 kcal),0,59,0,0,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0.3 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,-34%,-100%,+12%,+11%,+31%,-100%,-100%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
1134,Infusion atma pré-menopause,3700876600539,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Frutti di cappero - 700g,8014259001215,,['France'],[],[],?,23,"0,98","4,89","2,38",96 kj(23 kcal),"0,2","0,41","2,3","0,92",700 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Butternut,3770015348011,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Pain De Campagne Tranché,3600002005057,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Terrine de Canard aux Figues parfumée au Loupiac - Pierre Champion,3598964205434,,['France'],[],[],?,301,"25,8","3,9","13,4",1259 kj(301 kcal),"8,5","1,9","1,4","0,56",,,['Pierre Champion'],E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,25.8 g,en quantité élevée,8.5 g,en quantité élevée,1.9 g,en faible quantité,1.4 g,en quantité modérée,,-2%,-2%,-2%,-11%,+127%,+206%,-6%,-8%,-8%,17,-5%,D,-5%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,
1139,Poêlé de canard confit sur lit de petits légumes - 300g,3067163622040,,['France'],[],[],?,133,"6,8","8,8","9,6",556 kj(133 kcal),"2,1","1,3","0,87","0,348",300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Galettes de pont aven - Traou Mad,13740506,['Fabriqué en France'],['France'],[],[],?,514,26,62,"5,7",2151 kj(514 kcal),17,27,"0,95","0,38",,,['Traou Mad'],C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,26 g,en quantité élevée,17 g,en quantité élevée,27 g,en quantité élevée,0.95 g,en quantité modérée,,+8%,+8%,+25%,+68%,-3%,-8%,-12%,+61%,+61%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,
1141,Brownie,0201448028865,,['France'],[],[],?,0,5,50,0,0 kj(0 kcal),0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Levure alimentaire,0621898161651,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,"Eau de source alpes - Roche des écrins - 1,5l",0322471002063,,['France'],[],[],?,?,?,?,?,,,,,,"1,5l",['Bouteille'],['Roche des écrins'],,"['Boissons', 'Eaux', 'Eaux de sources']",,,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,
1144,Authentique recette de palmiers pur beurre,0200177012206,,['France'],[],[],?,479,19,69,7,2004 kj(479 kcal),12,27,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Beignet chocolat - 140g,0201172009840,,['France'],[],[],?,?,?,?,?,,,,0,0,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Energy drink,0049000081374,,['France'],[],[],?,39.43661971831,0,"10,986",0,165 kj(39 kcal),0,"10,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Coeur de couenne,0211922025655,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,141,"6,2","0,5","20,7",590 kj(141 kcal),"2,2","0,5","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Couscous Oriental - Prozis,5600499575635,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,368,"3,1",70,12,1540 kj(368 kcal),"0,4","5,5","0,16","0,064",,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Super moist cake mix,0016000430549,,"['France', 'États-Unis']","['enriched flour bleached ', 'wheat flour', 'niacin', 'iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'sugar', 'corn syrup', 'leavening ', 'baking soda', 'sodium aluminum phosphate', 'monocalcium phosphate', 'contains 2% or less of: modified corn starch', 'corn starch', 'palm oil', 'propylene glycol mono and diesters of fatty acids', 'salt', 'distilled monoglycerides', 'dicalcium phosphate', 'sodium stearoyl lactylate', 'natural and artificial flavor', 'xanthan gum', 'cellulose gum', 'yellows 5 ', '6', 'nonfat milk', 'soy lecithin,']","['Huile de palme', 'Non végétalien']",?,372,"3,49","81,4","2,33",1556 kj(372 kcal),"2,33","44,19","1,802","0,721",,,,,['Aides culinaires'],,3.49 g,en quantité modérée,2.33 g,en quantité modérée,44.2 g,en quantité élevée,1.8 g,en quantité élevée,,+13%,+13%,-54%,-19%,+47%,+31%,-48%,+230%,+230%,23,+87%,E,+87%,,,,,,,,,"['E500ii - Carbonate acide de sodium', ""E541 - Phosphate d'aluminium et de sodium"", 'E341i - Phosphate monocalcique', 'E570 - Acide stéarique', 'E341ii - Phosphate dicalcique', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose', 'E102 - Tartrazine', 'E322i - Lécithine']",4,,GENERAL MILLS SALES INC.,"['Gluten', 'Soja']",,,,
1150,Mijoté de canard et crème de morilles et estragon - 300g,3067163622033,,['France'],[],[],?,?,?,?,?,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Natural peppermint candy canes,0030800637007,,"['France', 'États-Unis']","['Sugar', 'corn syrup', 'natural flavor', 'color added ', 'includes red 40']",[],?,375,0,100,0,1569 kj(375 kcal),0,75,0,0,,['card-box'],,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,-11%,-11%,-100%,-100%,+50%,+51%,-100%,-100%,-100%,14,-23%,D,-23%,,,,,,,,,['E129 - Rouge allura AC'],4,,Spangler Candy Company,,,,,
1152,Graines de tournesol grillées sans sel,8690123212613,,['France'],[],[],?,637,52,"16,2","24,8",2665 kj(637 kcal),3,"2,6",0,0,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,52 g,en quantité élevée,3 g,en quantité modérée,2.6 g,en faible quantité,0 g,en faible quantité,,+12%,+12%,+14%,-39%,+22%,+8%,+13%,-100%,-100%,4,-70%,C,-70%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,
1153,Betterave rouge en tranches - Develey,75785031,,['France'],[],[],?,51,"0,1","10,5","0,9",213 kj(51 kcal),"0,1","10,5","0,9","0,36",,,['Develey'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,0.1 g,en faible quantité,0.1 g,en faible quantité,10.5 g,en quantité modérée,0.9 g,en quantité modérée,,,+13%,-47%,+652%,+32%,+47%,-44%,+853%,+853%,0,,B,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,,,,,,,,
1154,Penne Blanches - Primeal,3380380075087,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,360,2,73,11,1506 kj(360 kcal),"0,3","2,5",,,,,['Primeal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Dot's pretzels pretzels,0855712008031,,"['France', 'États-Unis']","['enriched wheat flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'salt', 'vegetable oil ', 'may contain one or more of the following: corn', 'canola', 'soybean', 'artificial butter flavor', 'corn syrup', 'yeast', 'canola oil', 'flavoring ', 'maltodextrin', 'buttermilk', 'salt', 'monosodium glutamate', 'dried garlic', 'dried onion', 'lactic acid', 'calcium lactate', 'spices', 'citric acid', 'less than 1% of calcium stearate', 'artificial flavor', 'xanthan gum', 'carboxymethylcellulose', 'guar gum', 'natural flavor [soy]', ',']",['Non végétalien'],?,464,"21,43","57,14","7,14",1941 kj(464 kcal),0,0,"3,392","1,357",,,,,['Snacks'],,21.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3.39 g,en quantité élevée,,+3%,+3%,+3%,-100%,+2%,-100%,+14%,+545%,+545%,12,-33%,D,-33%,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E572 - Stéarate de magnésium', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar']",4,,DOT'S,['Gluten'],,,,
1156,Soft & chewy candy,0070462002874,,"['France', 'États-Unis']","['Sugar', 'invert sugar', 'corn syrup', 'modified corn starch', 'contains less than 2% of tartaric acid', 'citric acid', 'natural and artificial flavor', 'titanium dioxide', 'yellow 6', 'red 40', 'blue 1']",[],?,375,0,90,0,1569 kj(375 kcal),0,"77,5","0,22","0,088",,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,0 g,en faible quantité,0 g,en faible quantité,77.5 g,en quantité élevée,0.22 g,en faible quantité,,-11%,-11%,-100%,-100%,+35%,+56%,-100%,+50%,+50%,14,-23%,D,-23%,,,,,,,,,"['E334 - Acide L-tartrique', 'E330 - Acide citrique', 'E171 - Oxyde de titane', 'E110 - Jaune orangé S', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,Mondelez Int. US (0074819091009),,,,,
1157,Pâte à Sucre - Rose - 250G - Funcakes,8718274810363,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Grana padano,8000407017542,,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1159,Coquillette pâte,0077908002627,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,['Sachet plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Lentilles,0060897008558,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,['Conserve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Sauce pizza,0064200336130,,"['Canada', 'France']",[],[],?,?,?,?,?,,,,,,,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Variety tomatoes,0060383179519,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Melange craquant,2487336065794,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Mustard,0064144321001,,"['France', 'États-Unis']","['Vinegar', 'Water', 'Mustard Seed', 'Salt', 'Less than 2% of: Spices', 'Turmeric', 'Paprika', 'Garlic Powder']",[],?,100,0,0,0,418 kj(100 kcal),0,0,"2,75","1,1",,,,,"['Epicerie', 'Sauces']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.75 g,en quantité élevée,,-58%,-58%,-100%,-100%,-100%,-100%,-100%,+14%,+14%,11,-5%,D,-5%,,,,,,,,,,3,,Conagra Brands,,,,,
1165,Jamón Serrano,2676719006992,,['France'],[],[],?,230,12,1,30,962 kj(230 kcal),"4,6","0,1","5,5","2,2",,,,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,12 g,en quantité modérée,4.6 g,en quantité modérée,0.1 g,en faible quantité,5.5 g,en quantité élevée,,-4%,-4%,-5%,-1%,+39%,-78%,-1%,+17%,+17%,16,-2%,D,-2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,
1166,Gummy sour apple rings,0228892302136,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Rissoles de Savoie Roquefort - La Rissole - 190g,3770002399163,['Fabrication artisanale'],['France'],"['Pomme de terre 35%', 'farine de blé', 'eau', 'Roquefort 8%', 'oeufs', 'margarine ', 'huile végétale: karité', 'colza', ' graisse végétale', 'coco', 'eau', 'sel', 'arôme naturel', 'jus de citron concentré biologique', ' oignons', 'huile de tournesol', 'sel', 'beurre', 'poivre', ' Susceptible de contenir: anchois', 'soja', 'noisette']","['Sans huile de palme', 'Non végétalien']",?,293,"11,8",45,"2,7",1226 kj(293 kcal),"2,35",21,"3,7","1,48",190 g,"['Barquette', 'Plastique']",['La Rissole'],,"['Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes farcies', 'Plats préparés frais']",,11.8 g,en quantité modérée,2.35 g,en quantité modérée,21 g,en quantité élevée,3.7 g,en quantité élevée,,+58%,+62%,+42%,-7%,+168%,+833%,-64%,+266%,+266%,19,+360%,E,+360%,,,,,,,,,,4,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,
1168,Magnésium Nigari - Celnat,3273120029283,,['France'],['Chlorure de magnésium'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,"['Boîte', 'Plastique']",['Celnat'],,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1169,Pétales de betterave,3760289140213,['Bio'],['France'],[],[],?,493,"28,3","49,2","4,9",2063 kj(493 kcal),3,"45,2","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Melange sportif,2600688056153,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Brie,2650011025783,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Lemon juice unsweetened,6001009021311,,['France'],[],[],?,45.65,"0,1",10,"0,9",191 kj(45 kcal),0,"8,7","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,
1173,Wasser medium,4002343240101,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,['6er pack'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Oeuf plein air,3760028160021,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Sirop de Mûre - Marmara - 650g,4012625465443,,['France'],[],[],?,248,0,60,2,1038 kj(248 kcal),0,59,0,0,650 g,,['Marmara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Jeju camelia flower tea,8806390500456,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Sparkling Happiness Puur Zeezout - Albert Hein,8718906699120,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,520,34,43,0,2176 kj(520 kcal),21,40,"0,5","0,2",,,"['Albert Hein', 'Albert Heijn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Nonnettes au miel et à l'orange - 150g,3700422222062,,['France'],[],[],?,329,"1,5","73,5","3,8",1377 kj(329 kcal),"0,25","45,6","0,398","0,159",150 g,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes', ""Nonnettes à l'orange""]",,1.5 g,en faible quantité,0.25 g,en faible quantité,45.6 g,en quantité élevée,0.398 g,en quantité modérée,,+5%,+6%,-6%,-15%,-1%,0%,+9%,-13%,-13%,15,+1%,D,+1%,,,,,,,,,,,,,,,,,
1179,Pain  chevre miel,0884394002921,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Torrone morbido,8004494313174,,['France'],[],[],?,483,27,49,11,2021 kj(483 kcal),"2,3",48,,,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,27 g,en quantité élevée,2.3 g,en quantité modérée,48 g,en quantité élevée,,,,+8%,+8%,+64%,+16%,-25%,-12%,+54%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
1181,Gingembre moulu - 100g,3700671794396,,['France'],[],[],?,?,?,?,?,,,,,,100 g,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,,,,,,,,,,,,,,,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,,
1182,Creation gourmande,6046000012494,,['France'],[],[],?,250,"12,67",40,"1,36",1046 kj(250 kcal),"10,84",40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Vinaigre balsamique,8033971646313,,['France'],[],[],?,171,0,37,1,715 kj(171 kcal),0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Filets de poulet,2431628021128,,['France'],[],[],?,151,"5,8",0,24,632 kj(151 kcal),"1,4",0,"1,4","0,56",,"['Barquette en plastique', 'Film en plastique']",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+15%,+16%,+101%,+88%,-100%,-100%,+5%,+87%,+87%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1185,Lazos san guillermo,8437010765117,,['France'],[],[],?,587,"49,79","47,94","6,92",2456 kj(587 kcal),"22,39","11,7","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Cancoillotte à l'ail - Leader Price,15497185,,['France'],[],[],?,129,9,0,12,540 kj(129 kcal),6,0,"1,6","0,64",,,['Leader Price'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,9 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-15%,-15%,-11%,-9%,-100%,-100%,-17%,+15%,+15%,8,+2%,C,+2%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,['Leader Price'],,,,,,,,,
1187,Quatre épices - Verstegen,8712200999252,,['France'],[],[],?,370,"10,1","50,2","9,4",1548 kj(370 kcal),"6,5","0,9","0,1","0,04",,,['Verstegen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
