,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
247,Pera d'abruzzo,8009452274467,,,['France'],[],[],?,22,92 kj(22 kcal),0,0,"3,6","2,6","1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Vegi cheezly hard italian style - Pural - 190g,3184340009088,['Pural'],,['France'],[],[],?,362,1515 kj(362 kcal),30,26,19,"0,7","3,7","1,5","0,6",,190g,,['Fromage végétal'],,30 g,en quantité élevée,26 g,en quantité élevée,0.7 g,en faible quantité,1.5 g,en quantité modérée,,,,,,,,,,,20,,E,,,,,,,,,,,,,,,,,,,,
249,Chocolat noir 74% Grand cru M'brimbo - Ethiquable - 100g,5420051401437,['Ethiquable'],"['Bio', 'Fabriqué en Italie']",['France'],"[""Pâte de cacao° de Côte d'Ivoire 65%"", 'sucre de canne°', 'beurre de cacao°', ' Cacao:74% minimum dans le chocolat', "" °ingrédients issus du commerce équitable et de l'agriculture biologique "", '100% du poids total', ' Peut contenir des traces de fruits à coque', 'lait et gluten']",[],?,598,2502 kj(598 kcal),46,27,32,25,"9,2","0,07","0,028",,100 g,['Cartoh'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,46 g,en quantité élevée,27 g,en quantité élevée,25 g,en quantité élevée,0.07 g,en faible quantité,,+8%,+8%,+17%,+17%,-17%,-21%,+20%,+50%,+50%,17,-20%,D,-20%,E,,,3,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
250,Chocoletti - Lindt - 100g,7610400087957,['Lindt'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'lait entier en poudre', 'matiere grasse vegetale', 'lait ecreme en poudre', 'yaourt maigre en poudre', 'croustillant de fraise', 'fraises de poudre', 'aromes', 'emulsifiant']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2375,570,2375 kj(570 kcal),37,24,52,49,"7,1","0,27","0,108",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
251,5 / 1 Tomates Concassees 2 Faisans,8007193000116,,,['France'],[],[],?,29,121 kj(29 kcal),"0,14","0,02","5,87","5,07","1,49","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Original Thüringer Rostbratwürste - Wolf,4016623495495,['Wolf'],,"['France', 'Allemagne']",[],[],?,258,1079 kj(258 kcal),22,"8,8",1,"0,5",14,"2,5",1,,,['Kunststoff'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Thüringer']",,22 g,en quantité élevée,8.8 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,-2%,-2%,-1%,+5%,-13%,-33%,+1%,+26%,+26%,21,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
253,Cafe Moulu Torrefie Ethiopie - Grand Jury,3245390203205,['Grand Jury'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Proxi', '8 à Huit']",,,,,,,,,,,,,,,,
254,Noux de Cajou des Collines du Sud Vietnam - Direct Producteurs Fruits secs - 600g,3760159011568,['Direct Producteurs Fruits secs'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Biopartenaire']",['France'],[],[],?,595,2489 kj(595 kcal),"43,9","7,8","30,2","5,9","18,2","0,03","0,012",Noix de cajou,600 g,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits à coques et dérivés', 'Produits déshydratés', 'Fruits à coques', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de cajou', 'Oléagineux']",['Vietnam'],43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,0.03 g,en faible quantité,,-7%,-7%,-20%,+13%,+75%,+28%,+31%,+54%,+54%,2,-19%,B,-19%,D,http://www.directproducteursfruitssecs.com/fruitsec/?produit=noix_de_cajou&id=60,['Magasins bio'],,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,
255,Salame Napoli,80486817,,['en:gluten-free'],['France'],[],[],?,333,1393 kj(333 kcal),25,10,"0,5","0,5",27,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Salade nautilus - tout feu tout frais - 200g,3700520501977,"['tout feu tout frais', 'Brédial']","['Sans colorants artificiels', 'Sans conservateur artificiel', 'Sans sulfites']",['France'],"['Riz 48%', 'mayonnaise [huile de colza', 'eau', 'MOUTARDE de Dijon ', 'eau', 'graine de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'antioxygène : disulfite de potassium ', 'SULFITES', ""jaune d'œuf"", ""vinaigre d'alcool"", 'sel', 'saccharose', 'épaississants : gomme de guar ', 'E412', ' - gomme xanthane ', 'E415', ' - amidon modifié de pommes de terre ', 'E1414', ']', 'surimi 11', '8% [eau', 'surimi ', '38%', ' ', 'chair de POISSON', 'sucre', 'amidons ', 'GLUTEN', ""blanc d'ŒUF en poudre réhydraté"", 'huile de colza', 'sel', 'arôme naturel ', 'CRUSTACÉS', 'colorant : extrait de paprika]', 'tomates', 'sauce coleslaw [huile de colza', 'eau', 'vinaigre', 'sucre', 'fromage blanc ', '10%', ' ', 'LAIT', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'conservateur : SULFITE acide de sodium', ""jaune d'ŒUF"", 'sel', 'épaississants : gomme guar - gomme de xanthane', 'colorant : lutéine]', 'ketchup ', 'tomates', 'vinaigre', 'sucre', 'sel', ""extraits d'épices et d'herbes "", 'dont CÉLERI', 'CRABE 2', '2% ', 'Chili', 'concentré de tomate', 'sel de Guérande']","['Non végétalien', 'Non végétarien']",833,200,833 kj(200 kcal),14,"1,1",15,"3,2","3,2","0,59","0,236","Salade riz, surimi et crabe",200 g,"['Barquette', 'Frais', 'Plastique']","['Plats préparés', 'Salades', 'Salades composées']",['France Bretagne'],14 g,en quantité modérée,1.1 g,en faible quantité,3.2 g,en faible quantité,0.59 g,en quantité modérée,+36%,+32%,+32%,+56%,-19%,+49%,+42%,-42%,-33%,-33%,3,+97%,C,+97%,,https://www.toutfeu-toutfrais.com/salade-nautilus-riz-au-crabe-xml-469_473-7244.html,,4,,,,,,,,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé', 'E160c - Extrait de paprika', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine']","['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",,"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,
257,GERARD BERTRAND - Gris de gris pays d'oc - 75cl,3514123111385,"[""Gris de gris pays d'oc""]",['IGP'],['France'],[],[],?,?,,?,,?,,?,,,,75 cl,['bouteille verre'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Pays d'Oc""]",['France'],,,,,,,,,,,,,,,,,,,,,,,B,https://www.gerard-bertrand.com/,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],,,['France'],,,
258,Gracian,3231230220129,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Flamiche au maroille,3420136011966,,,['France'],[],[],?,311,1301 kj(311 kcal),19,14,21,"1,3",14,"1,5","0,6",,,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles', 'Flamiches']",,19 g,en quantité modérée,14 g,en quantité élevée,1.3 g,en faible quantité,1.5 g,en quantité modérée,,+8%,+8%,+20%,+32%,-4%,-33%,+9%,+10%,+10%,19,+12%,E,+12%,D,,,,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,,,,,,,,
260,Jus de peche - Del Monte,0024000181088,['Del Monte'],,['France'],[],[],?,60,251 kj(60 kcal),0,0,14,14,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Mélange de Fruits Rouges - Thomas Le Prince,3423180100334,['Thomas Le Prince'],"['Sans additifs', 'Sans conservateurs']",['France'],[],[],?,37,155 kj(37 kcal),0,0,"5,4",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Vitalday. Chocolate breakfast buscuits - Gullón,0795130047444,['Gullón'],,"['Canada', 'France']",[],[],?,454.5455,1902 kj(454 kcal),"18,182","4,546","72,727","27,273","9,091","0,398","0,159",,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,18.2 g,en quantité modérée,4.55 g,en quantité modérée,27.3 g,en quantité élevée,0.398 g,en quantité modérée,,-8%,-8%,-22%,-61%,+17%,-16%,+39%,-28%,-28%,16,-25%,D,-25%,D,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,
263,Seitan gourmet gril' -,2550208002743,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],"['Végétalien', 'Végétarien']",?,144,602 kj(144 kcal),"4,6","0,3","6,2","0,5",19,"1,3","0,52",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",,4.6 g,en quantité modérée,0.3 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-13%,-13%,-11%,-56%,-22%,-54%,-4%,+17%,+17%,1,-23%,B,-23%,,,,,,,,,,,,,,,,,,,
264,Couscous poulet et merguez aux petits légumes - La Table des Pêcheurs,3270120590591,['La Table des Pêcheurs'],['Fabriqué en France'],['France'],[],[],?,118,494 kj(118 kcal),"4,2",1,12,"1,7","6,8","0,9","0,36",,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats au bœuf', 'Plats à la volaille', 'Couscous préparés', 'Plats au poulet']",,4.2 g,en quantité modérée,1 g,en faible quantité,1.7 g,en faible quantité,0.9 g,en quantité modérée,,-23%,-22%,-3%,-15%,-31%,-20%,-9%,+18%,+18%,0,-100%,B,-100%,D,,,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,
265,Arancia rossa - Conad,8003170025134,['Conad'],,"['France', 'Italie']",[],[],?,11,46 kj(11 kcal),0,0,"1,9","1,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conad'],,,,,,,,,,,,,,,,
266,Fat burner - Weider,8414192306222,['Weider'],['en:gluten-free'],"['France', 'Espagne']",[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,['Compléments alimentaires'],,,,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,,-100%,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Bouillon de legumes - Promocash - 1050g,3560070668717,['Promocash'],['Produits destinés aux professionnels'],['France'],[],[],?,282,1180 kj(282 kcal),0,0,67,19,"1,8","26,6","10,64",,1050g,['Boite'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés']",['CE'],,,,,,,,,,+91%,+87%,-100%,-100%,+264%,+236%,-51%,+20%,+20%,,,,,,,,,,,,,,,,,,,['59.165.001'],,,,
268,"Taboulet au poulet roti -  - 1,400kg",3181580276805,,"['Viande-francaise', 'Sans conservateurs', 'Volaille-francaise']",['France'],[],[],?,180,753 kj(180 kcal),"7,7","0,6","20,5","2,3","6,1","0,8","0,32",,"1,400 kg","['Barquette', 'Plastique']","['Plats préparés', 'Taboulés', 'Taboulés au poulet']",['France'],7.7 g,en quantité modérée,0.6 g,en faible quantité,2.3 g,en faible quantité,0.8 g,en quantité modérée,,+4%,+5%,+10%,-21%,+3%,-5%,+2%,-19%,-19%,2,+38%,B,+38%,B,,,,74.3%,9.4%,6.2%,6.2%,3.1%,0.8%,78,,,,"['FR 22.389.003 CE', ""Yffiniac (Côtes-d'Armor, France)"", 'EMB 22389', ""Yffiniac (Côtes-d'Armor, France)""]",,,,
269,Chaokoh (L) Coconut Juice W / Jelly 24 17.5 FL Oz - 520ml,0044738206150,['CHAOKOH'],,['France'],[],[],?,25,105 kj(25 kcal),0,0,"6,154","5,577",0,,,,520ml,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,0 g,en faible quantité,0 g,en faible quantité,5.58 g,en quantité modérée,,,,+32%,+27%,-100%,-100%,+35%,+54%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
270,Natural mineral water non carbonated - Carrefour - 5L,3560070196791,['Carrefour'],,"['France', 'Émirats arabes unis']",[],[],?,?,,?,,?,,?,,,,5L,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,
271,Nettare Mela E Banana 1L - Conad,8003170038196,['Conad'],,"['France', 'Italie']",[],[],?,65,272 kj(65 kcal),"0,1",0,"15,3","15,1","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conad'],,,,,,,,,,,,,,,,
272,Olives noires - Koy sefasi - 1500g,8696591062002,['Koy sefasi'],,['France'],[],[],?,91,381 kj(91 kcal),9,"1,5","1,5",0,"0,5","1,4","0,56",,1500g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",,9 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-65%,-65%,-65%,-55%,-53%,-100%,-66%,-67%,-67%,8,-38%,C,-38%,B,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
273,Fettuccine,8032993000035,,,['France'],[],[],?,374,1565 kj(374 kcal),"4,2","1,3",67,"1,5",16,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Saucisses de volaille bio - Carrefour Bio,3560070459186,"['Carrefour Bio', 'Carrefour']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,136,569 kj(136 kcal),"6,2","1,7","0,7","0,7",19,"1,8","0,72",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,,-24%,-25%,-47%,-53%,-44%,+34%,+15%,+1%,+1%,4,-59%,C,-59%,E,,['Carrefour'],,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",,,,
275,Sable  au fruité du cap - sophie farrugia - 1,3770004019502,['sophie farrugia'],"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,,?,,?,,?,,,,1,['Sachet'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,,,,,,,,,,,,,,,,,,,,,,,C,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,
276,Almond butter - The Foodie Market,25355093,['The Foodie Market'],['Sans sucre ajouté'],['France'],[],[],?,645,2699 kj(645 kcal),56,"4,1","4,4","2,9",26,"0,23","0,092",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,56 g,en quantité élevée,4.1 g,en quantité modérée,2.9 g,en faible quantité,0.23 g,en faible quantité,,+2%,+2%,+4%,-8%,-48%,-41%,+19%,+1286%,+1286%,13,+238%,D,+238%,,,,,,,,,,,,,,,,,,,
277,Veloute aux asperge - Unilever Food Solutions,3011360042415,"['Unilever Food Solutions', 'Unilever']",,['France'],[],[],?,28,117 kj(28 kcal),1,"0,6","4,1","0,5","0,7","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Condivé,8004250090295,,,['France'],[],[],?,180,753 kj(180 kcal),"0,53",0,41,"37,21","0,7","1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Citirtat,8698613389982,,,['France'],[],[],?,512,2142 kj(512 kcal),"53,6",0,"11,22","3,7","29,8","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Confirure abricot - Lydie Bio - 250g,,"['Lydie Bio', 'Le jardin de Lydie']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-09', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique']",['France'],"['Abricot*', 'sucre de canne*', "" *Produits issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,237,992 kj(237 kcal),"0,5","0,1",56,55,"0,9","0,01","0,004",Confiture Abricot,250 g,"['Bocal', 'Verre', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],0.5 g,en faible quantité,0.1 g,en faible quantité,55 g,en quantité élevée,0.01 g,en faible quantité,,+8%,+8%,+121%,+134%,+5%,+9%,+79%,-55%,-55%,7,-22%,C,-22%,A,,,3,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,
281,Läkerol,7310350129638,['Läkerol'],,['France'],[],[],?,282,1180 kj(282 kcal),"4,3","2,1",94,0,0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Freche Freunde - Erdbär,4260249144286,['Erdbär'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,381,1594 kj(381 kcal),13,"1,4",55,26,"6,7","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Mager Quark - dennree - 250g,4021851106198,['Dennree'],"['Bio', 'Bio européen', 'DE-ÖKO-006']",['France'],[],[],?,68,285 kj(68 kcal),"0,2","0,1","4,1","4,1",12,"0,1","0,04",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE BY-70534 EG'],,,,
284,Biére Artisanale Bio Ambrée - la Lutine - 75cl,3760265171033,['la Lutine'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-12']",['France'],"['eau', 'malt*', 'houblon*', 'épices* et levure', "" *produits issus de l'agriculture biologique""]",[],?,?,,?,,?,,?,,,,75 cl,['bouteille verre à capsule'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées']",['24510 Limeuil'],,,,,,,,,,,,,,,,,,,,,,,B,http://lalutine.com,,3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],,,,,,
285,Cremoliva,8000219000152,,,['France'],[],[],?,207,866 kj(207 kcal),21,"2,4","2,5",0,"0,7",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,"Bols carottes panais saumon U_TOUT_PETITS Bio - 12mois, 2x 200g",3256226762094,"['U Tout Petits', 'U']","['Bio', 'Transformé en France']",['France'],"['Carotte* 33%', 'eau', 'panais* 12%', 'pomme de terre* 11%', 'SAUMON* ', 'Salmo salar', ' 8,9%', 'oignon* 6%', 'petit pois*', 'farine de riz*', 'huile de tournesol*', 'huile de colza*', 'persil*', "" *Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",271,65,271 kj(65 kcal),"2,3","0,3","7,7","2,4","2,5","0,07","0,028",,"12 mois, 2 x 200 g","['BIO', 'dès']","['Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé', 'Petits pots pour bébé']",,,,,,,,,,+17%,+18%,+18%,+60%,-2%,+4%,+8%,+29%,-33%,-33%,,,,,,,['Magasins U'],3,,,,,,,,,['Poisson'],,,,,,
287,Balsamico pera,8032089000024,,,['France'],[],[],?,356,1490 kj(356 kcal),0,0,84,84,0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Huile d'olive Castelines AOP Vallée des Baux de Provence,3700786000290,,['AOP'],['France'],[],[],?,900,3766 kj(900 kcal),17,"0,5","0,5","0,5","0,5",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,17 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,-82%,-96%,,,,-100%,-100%,5,-19%,C,-19%,D,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
289,Thé Glacé Cotron,0067311338994,,,['France'],[],[],?,20,84 kj(20 kcal),0,0,"5,2","4,4",0,"0,005","0,002",,,,"['Boissons', 'Thés glacés']",,0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0.005 g,en faible quantité,,-9%,-9%,-100%,-100%,-1%,-13%,-100%,-82%,-82%,6,-18%,D,-18%,,,,,,,,,,,,,,,,,,,
290,Adobo Criollo sin Pimienta -,0076398010075,,,"['France', 'Guadeloupe']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"12,75","5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Chewy s'mores - Quaker,0055577109595,['Quaker'],,"['Canada', 'France']",[],[],?,384.6154,1609 kj(384 kcal),"9,615","3,846","76,923","19,231","3,846","0,673","0,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Yaourt fermier à la framboise - La ferme des 4 saisons - 500g,3760080520269,['La ferme des 4 saisons'],,"['France', 'Suisse']",[],[],?,64.8,271 kj(64 kcal),"3,9",2,"2,6","2,6","3,9","0,19","0,076",,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Zuckerhut - Südzucker - 250g,4006544447000,"['Südzucker', 'Südzucker']",,"['France', 'Allemagne', 'Luxembourg']",[],[],?,400,1674 kj(400 kcal),?,,100,100,?,,,,250g,"['Folie', 'Stück']","['Édulcorants', 'Sucres']",,,,,,100 g,en quantité élevée,,,,+3%,+3%,,,+2%,+6%,,,,,,,,A,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,
294,Noodles Saveur Légumes 85g,6923744361159,,,['France'],[],[],?,466,1950 kj(466 kcal),"20,1","10,2","58,5","0,9","11,2","2,82","1,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Arachides grillé enrobées de sucre cuit -,2600117026634,,,['France'],[],[],?,532,2226 kj(532 kcal),28,19,55,44,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"Coppenrath Und Wiese, Feinste Sahne Himbeer Bourbo... -",4008577000436,,,['France'],[],[],?,231,967 kj(231 kcal),"9,2","5,3",33,22,"2,8","0,13","0,052",,,,"['Tartes', 'Tartes sucrées']",,9.2 g,en quantité modérée,5.3 g,en quantité élevée,22 g,en quantité élevée,0.13 g,en faible quantité,,-22%,-22%,-22%,-19%,-20%,-7%,-27%,-58%,-58%,11,-22%,D,-22%,,,,,,,,,,,,,,,,,,,
297,Frijoles Bayos Refritos - La Sierra,7501052421186,['La Sierra'],,['France'],[],[],?,92,385 kj(92 kcal),"2,4","0,4","1,3","0,6","3,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,O'GALWAN Classic Liqueur - 70cl17% Vol.,3560070829019,"[""O'GALWAN"", 'Carrefour']",['Liqueur'],['France'],"['Base alcoolisée ', 'eau', 'sucre', 'alcool', 'graisse végétale ', 'coco', 'maltodextrine', 'caseinate de sodium ', 'lait', 'eau', 'sucre', 'whisky : 12%', 'arômes', 'colorant : caramel de sulfite caustique']",['Non végétalien'],?,?,,?,,?,,?,,,Liqueur,70 cl17% Vol.,['Bouteille'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Apero']",['MASSY 91'],,,,,,,,,,,,,,,,,,,,,,,E,,['Carrefour'],4,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['E150b - Caramel de sulfite caustique'],['Lait'],,"['0969397000', 'EMB 76351A', 'Havre (Seine-Maritime, France)']",['Francaise'],,Elaboré en France par EMB 76351A pour Interdis,
299,Activ cereales,8410998001569,,,['France'],[],[],?,507,2121 kj(507 kcal),29,"2,8",47,"1,1",11,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Pâté de campagne - Carrefour,5400101007314,['Carrefour'],,['France'],[],[],?,292,1222 kj(292 kcal),26,10,3,"1,2",11,"1,7","0,68",,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,26 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,1.7 g,en quantité élevée,,-6%,-6%,-4%,-1%,+24%,+30%,-23%,+2%,+2%,19,0%,E,0%,D,,['Carrefour'],,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
