,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
1197,Classic Hummus,9346321000000,,['en:gluten-free'],"['Australie', 'France']",[],[],?,262.99999237061,1100 kj(262 kcal),19,5,13,5,8,"1,212","0,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,,,,,,,,
1198,Oignon Jaune -,3700696502358,,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais']",,,,,,,,,,,,,,,,,,,,,,,,B,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,
1199,"Aprikose-Pfirsich - Meßmer - 20 × 2,75g = 55g",4002221030077,['Meßmer'],"['Végétarien', 'Sans gluten', 'Agriculture durable', 'Végétalien', 'Point Vert', 'Sans lactose', 'en:UTZ Certified']","['France', 'Allemagne']","['Äpfel', 'Hagebutten', 'Aroma', 'weißer Hibiskus', 'Säuerungsmittel: Citronensäure', 'süße Brombeerblätter', 'Süßkraut', 'Aprikosensaftgranulat ', 'Maltodextrin', 'Aprikosensaftkonzentrat', 'Pfirsichsaftgranulat ', 'Maltodextrin', 'Pfirsichsaftkonzentrat']","['Végétalien', 'Végétarien']",10,2,10 kj(2 kcal),0,0,"0,6","0,2",0,0,0,Früchtetee mit Aprokosen-Pfirsich-Aroma,"20 × 2,75 g = 55 g",['Karton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,-74%,-78%,-73%,-100%,-100%,-66%,-85%,-100%,-100%,-100%,2,-49%,C,-49%,A,,['Real'],4,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['E330 - Acide citrique'],,,,,,,
1200,Poêlée Champêtre 5 Légumes - Grand Jury,3245390157638,['Grand Jury'],,['France'],[],[],?,79,331 kj(79 kcal),"0,05",0,"3,6","2,5","2,2","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Proxi', '8 à Huit']",,,,,,,,,,,,"['EMB 22136', ""Loudéac (Côtes-d'Armor, France)""]",,,,
1201,Sushi Ginger -  - 100g,4035458206748,,,"['France', 'Allemagne']",[],[],?,10,42 kj(10 kcal),0,0,"1,3",0,"0,2",2,"0,8",,100 g,['Kunststoff'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Pickles', ""Pickles d'origine végétale"", 'Epices', 'Gingembre']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,-96%,-96%,-100%,-100%,-97%,-100%,-81%,+422%,+422%,,,,,B,,,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,,,,,,,,
1202,Panzani coudes rayés qualité supérieure 5kg - 5000g,3038350063502,['Panzani'],,['France'],"['100% semoule de BLE dur de qualité supérieure', "" Peut contenir des traces d'œufs"", ' Contient du GLUTEN']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1531,361,1531 kj(361 kcal),2,"0,4",72,"3,7",12,0,0,Pâtes alimentaires de qualité supérieure,5000 g,['Sac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,
1203,Cookie,8023696007650,,['Fabriqué en Italie'],['France'],[],[],?,466,1950 kj(466 kcal),18,11,67,39,"7,1","0,2","0,08",,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,18 g,en quantité modérée,11 g,en quantité élevée,39 g,en quantité élevée,0.2 g,en faible quantité,,-2%,-2%,-13%,+9%,+5%,+32%,+9%,-66%,-66%,23,+16%,E,+16%,C,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
1204,Herbamare - A.Vogel,7610313015375,['A.Vogel'],"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,30,126 kj(30 kcal),"0,5","0,5",2,1,"0,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Foods of Athenry Gourmet Sodabread Toasts Honeyed Almond & Rosemary - The foods of Athenry - 110g,5391512392758,['The foods of Athenry'],['Sans gluten'],['France'],"['Farine sans gluten et sans blé', 'maïs,riz,pomme de terre', 'tapioca,sarrasin', 'graines de tournesol,amandes', '13%', 'romarin 3%,miel', 'cassonade,poudre à lever', 'phosphates monocalcique', 'bicarbonate de sodium', 'Stabilisant: Gomme de xanthane', 'sel']",['Non végétalien'],?,264,1105 kj(264 kcal),13,"1,8",29,7,"8,05","0,3","0,12",Toast de pain Irlandais : Amandes au miel et Romarin,110g,"['Carton', 'sous vide']",['Pain appéritif'],['Irlande'],13 g,en quantité modérée,1.8 g,en quantité modérée,7 g,en quantité modérée,0.3 g,en quantité modérée,,,,,,,,,,,1,,B,,,,,4,,,,,,,,"['E341i - Phosphate monocalcique', 'E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane']",['Fruits à coque'],,,,,,
1206,Çiloğlu,8697436549214,,,['France'],[],[],?,370,1548 kj(370 kcal),"2,4","1,2","84,8","53,81","2,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Integral cru - Speeduline - 70g,3760224621227,['Speeduline'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']","['France', 'Suisse']","['Pâte de cacao bio', 'dattes bio 28 %', 'beurre de cacao bio', 'sarrasin bio 12 % - Cacao min', ' = 60 %']",[],?,501,2096 kj(501 kcal),"38,07","23,08","32,64","22,5","5,54","0,01","0,004",,70g,['Carton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolat au beurre de cacao cru']",,38.1 g,en quantité élevée,23.1 g,en quantité élevée,22.5 g,en quantité élevée,0.01 g,en faible quantité,,-10%,-10%,-3%,-0%,-15%,-29%,-28%,-79%,-79%,17,-20%,D,-20%,D,http://www.speeduline.fr,['Salon Marjolaine'],3,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
1208,Montronella,8032649712510,,,['France'],[],[],?,335,1402 kj(335 kcal),33,"25,5","0,85","0,8","8,9","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Crêpes,3538360000042,,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Crêpes et galettes', 'Crêpes']",,,,,,,,,,,,,,,,,,,,,,,,B,,,,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,
1210,Barres gourmandes - 36g,3770009909013,,,['France'],[],[],?,495,2071 kj(495 kcal),30,6,40,15,12,"0,15","0,06",,36 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Clémentine de corse - Mon Marché Plaisir,3250392509255,['Mon Marché Plaisir'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Grisini tipo 0con sesamo e con olio di oliva,8024555010095,,,['France'],[],[],?,440,1841 kj(440 kcal),12,2,69,2,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Lebkuchen allerlei,4006894301205,,['Fabriqué en Allemagne'],['France'],[],[],?,379,1586 kj(379 kcal),"5,4","3,3","75,6","51,9","5,3","0,22","0,088",,,,"['Biscuits et gâteaux', ""Pains d'épices""]",,5.4 g,en quantité modérée,3.3 g,en quantité modérée,51.9 g,en quantité élevée,0.22 g,en faible quantité,,+12%,+12%,+55%,+166%,+7%,+28%,+22%,-50%,-50%,17,+21%,D,+21%,B,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,
1214,Iposea pomodori - 280g,8003850288491,,['en:gluten-free'],"['France', 'Suisse']",[],[],?,157,657 kj(157 kcal),"9,6",1,"10,6","8,6","2,9","3,8","1,52",,280 g,['Vasetto'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Thon à l'huile d'olive -,8003294502191,,,['France'],[],[],?,356,1490 kj(356 kcal),32,"5,1",0,0,17,"0,88","0,352",,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,32 g,en quantité élevée,5.1 g,en quantité élevée,0 g,en faible quantité,0.88 g,en quantité modérée,,+41%,+42%,+84%,+68%,-100%,-100%,-28%,-10%,-10%,12,+123%,D,+123%,E,,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,
1216,Saucisse de toulouse sans colorant - Tradival,3608568201432,['Tradival'],"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,196,820 kj(196 kcal),14,"5,4","1,2","0,6",17,"1,9","0,76",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",,14 g,en quantité modérée,5.4 g,en quantité élevée,0.6 g,en faible quantité,1.9 g,en quantité élevée,,-10%,-11%,-15%,-16%,-28%,-3%,+13%,+10%,+10%,15,-1%,D,-1%,E,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,"['FR 42.305.004 CE', 'Talaudière (Loire, France)']",,,,
1217,Rouge de volaille,3760114534460,,,['France'],[],[],?,117,490 kj(117 kcal),3,"0,76","7,43","2,33",15,"3,08","1,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
