,name,bar_code,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,manufacturing,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,traceability_code,ingredients_origins,brand_owner
167,Sardines à l'Huile d'Olive - Pinhais - 125g,5601268100041,125 g,"['Conserve', 'métal']",['Pinhais'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['France'],"['Sardines ', '72 %', ""huile d'olive "", '27 %', 'sel']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,19 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,255,+3%,1067 kj(255 kcal),+4%,19,+7%,4,+4%,0,-100%,0,-100%,20,-6%,1,+10%,"0,4",+10%,5,-11%,C,-11%,,D,,,,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
168,Milaneza Etrelinha STELLINE - 250g,5601286231772,250 g,,['Milaneza'],,"['France', 'Suisse']","['Semoule de blé dur', "" Traces éventuelles d'oeuf""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1501,,?,,1501 kj(359 kcal),,"1,8",,"0,4",,71,,5,,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,
169,Semoule Couscous - Milaneza,5601286260109,,,['Milaneza'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales']",['France'],[],,,[],,2 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,?,,348,+1%,1456 kj(348 kcal),-0%,2,+3%,1,+188%,70,+1%,1,-57%,12,+10%,"0,01",-92%,"0,004",-92%,-1,,A,,,,,,,,,,,,,,,,,,
170,Bolachas - Continente - 300g,5601312062530,300 g,,['Continente'],,"['France', 'Portugal']","['* DOSE DE REFERÊNCIA ', 'DR', ' - DOSE DE REFERÊNCIA PARA UM ADULTO MÉDIO ', '8 400kJ/ 2']",,,[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,17,,7,,66,,22,,7,,"0,75",,"0,3",,,,,,,,,,,['Continente'],,,,,,,,,,,
171,Galettes de maïs - Continente,5601312067887,,,['Continente'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées']","['France', 'Portugal']",[],,,[],,0.9 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,?,,378,-10%,1582 kj(378 kcal),-11%,"0,9",-91%,"0,2",-96%,84,+16%,"0,3",-97%,"7,2",-5%,"0,7",+171%,"0,28",+171%,3,-54%,C,-54%,,B,,,,['Continente'],57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,
172,Bolacha de arroz com sal - Continente - Área Viva - 130g,5601312067894,130g,['Plástico'],"['Continente - Área Viva', 'Continente']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']","['France', 'Portugal']",[],,,[],,3 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en quantité modérée,?,,388,-10%,1623 kj(388 kcal),-10%,3,-75%,"0,6",-91%,79,+11%,"0,8",-94%,"9,4",+27%,"0,7",+285%,"0,28",+285%,-1,-112%,A,-112%,['pt:Associação Portuguesa de Celíacos  (sem glúten)'],B,Bolacha,,,['Continente'],57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,
173,Biscuit pépites de chocolat - Continente - 300g,5601312072843,300 g,['sachet plastique de 4 biscuits et boîte en carton de 6 sachets'],['Continente'],"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['France', 'Portugal']","['Céréales ', '53,8%', ' ', 'farine de blé', ""flocons d'avoine"", 'son de blé', 'farine de seigle', ""farine d'orge"", 'sucre', 'pépites de chocolat ', '13%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme', 'huiles végétales ', 'palme', 'tournesol', 'cacao en poudre ', '3%', 'lait écrémé en poudre', 'poudre à lever ', 'E500', 'E503', 'E450', 'émulsifiant ', 'E322 ', 'contient farine de blé', 'E472e', 'sel', 'arôme', "" Peut contenir des traces d'eufs et fruits à coque"", ' Conserver dans un endroit frais et sec']","['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,18 g,en quantité modérée,8.5 g,en quantité élevée,28 g,en quantité élevée,0.73 g,en quantité modérée,?,,462,-6%,1933 kj(462 kcal),-6%,18,-23%,"8,5",-28%,65,+4%,28,-14%,8,+22%,"0,73",+32%,"0,292",+32%,17,-21%,D,-21%,['ISO 9001'],D,,,,['Continente'],84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Huile de palme'],['B19254'],,
174,Equilibro bran flakes cereals - Continente - 500g,5601312073994,500g,"['cartão (exterior)', 'plástico (interior)']","['Continente', 'Cereais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'pt:cereais']","['France', 'Portugal']",[],,,[],,2.9 g,en faible quantité,0.8 g,en faible quantité,15 g,en quantité élevée,0.8 g,en quantité modérée,?,,360,-8%,1506 kj(360 kcal),-8%,"2,9",-64%,"0,8",-59%,63,-4%,15,+30%,11,+11%,"0,8",+135%,"0,32",+135%,0,-100%,B,-100%,,C,,,,['Continente'],74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,
175,Queijo Flamengo Fatiado - Continente,5601312129172,,,['Continente'],,"['France', 'Portugal']",[],,,[],,,,,,,,,,?,,333,,1393 kj(333 kcal),,27,,18,,"0,6",,"0,5",,22,,"1,2",,"0,48",,,,,,,,,,,['Continente'],,,,,,,,,,,
176,Lasanha Bolonhesa - Continente,5601312174172,,,['Continente'],,"['France', 'Portugal']",[],,,[],,,,,,,,,,?,,141,,590 kj(141 kcal),,7,,"3,3",,11,,"3,1",,"7,8",,1,,"0,4",,,,,,,,,,,['Continente'],,,,,,,,,,,
177,Skyr natural • equilíbrio - Continente - 150g,5601312505860,150g,,['Continente'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']","['France', 'Portugal']","['Leite desnatado pasteurizado', 'protejnas lácteas femets to contém leite']",,,[],,0.3 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.15 g,en faible quantité,?,,55,-19%,230 kj(55 kcal),-20%,"0,3",-18%,"0,2",+10%,4,-38%,4,-32%,9,-4%,"0,15",+42%,"0,06",+42%,-5,,A,,,D,,,,['Continente'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
178,Hot Piri Piri - Ferbar - 100ml,5601319001105,100 ml,['Bouteille'],['Ferbar'],"['Epicerie', 'Sauces', 'Sauces pimentées']",['France'],"['Eau', 'piment fort ', '32 %', 'sel', ""correcteurs d'acidité "", 'E260', 'E270', 'E330', 'vinaigre', 'épices', 'épaississant ', 'E415', 'extrait de piment et conservateurs ', 'E211', 'E202', ',']","['E260 - Acide acétique', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,5.5 g,en quantité élevée,64,-80%,?,,64 kj(15 kcal),-87%,"0,8",-74%,"0,2",-57%,"1,2",-93%,"0,6",-96%,"0,46",-60%,"5,5",+22%,"2,2",+22%,10,-20%,C,-20%,,,Sauce de piri piri,['Portugal'],,,,,,,,,,,,,
179,Ferber Goiabada Pâte de Goyave - Ferbar - 300g,5601319037227,300 g,,['Ferbar'],,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"0,5",,"0,1",,77,,70,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,
180,Chipita Mini Milhoja - PepsiCo - Matudis - 80g,5601363100236,80g,,['PepsiCo - Matudis'],,['France'],[],,,[],,,,,,,,,,?,,377,,1577 kj(377 kcal),,"16,9",,"10,2",,"46,9",,"24,1",,"7,1",,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,,,,
181,Macarico Olives Noires Bocal - 520g,5601378070302,520g,,['Macarico'],,"['France', 'Allemagne']","['Olives', 'eau', 'sel', ""correcteur d'acidité: acide lactique et stabilisant de la couleur gluconate ferreux"", 'Peut contenir des traces de lupin,']",['E270 - Acide lactique'],,[],,,,,,,,,,?,,149,,623 kj(149 kcal),,"13,3",,"2,1",,"3,7",,"0,5",,"1,3",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,
182,"Saucisses hot dog - Izidoro - 430g (líquido), 235g (escorrido), 4salsichas",5601383025342,"430 g (líquido), 235 g (escorrido), 4 salsichas","['Frasco', 'Vidro']",['Izidoro'],"['Viandes', 'Charcuteries', 'Saucisses']","['France', 'Portugal']","['carne separada mecanicamente de aves', 'água', 'carne de suíno', 'gordura de suíno', 'proteína de soja', 'amido de milho', 'sal', 'especiarias', 'emulsionante ', 'difosfatos de sódio', 'dextrose', 'intensificador de sabor ', 'glutamato monossódico', 'antioxidante ', 'eritorbato de sódio', 'conservante ', 'nitrito de sódio']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,11.6 g,en quantité modérée,5.4 g,en quantité élevée,0.1 g,en faible quantité,1.78 g,en quantité élevée,697,-35%,?,,697 kj(167 kcal),-35%,"11,6",-44%,"5,4",-32%,"2,5",+75%,"< 0,1",-87%,"13,3",-12%,"1,778",-9%,"0,711",-9%,14,-20%,D,-20%,"['en:gluten-free', 'pt:Contém aipo']",,,,,,,,,,,,,,['PT R 45 CE'],,
183,Micau Pudim Dourado 200G - 200g,5601451110253,200 g,,['Micau'],,['France'],"['Sucreb amidon de maïs', 'dextrose', 'gélifiants ', 'E407', 'E410', '9 arômes,sel', 'correcteur d’acidité ', 'E331', ' colorant ', 'E160b']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E331 - Citrates de sodium', 'E160b - Rocou']",,[],4,,,,,,,,,?,,388,,1623 kj(388 kcal),,"0,5",,"0,1",,97,,90,,"0,5",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,,
184,Crackers com azeite e rosmaninho - Du Bois de la Roche - 200g,5601489292204,200 g,,['Du Bois de la Roche'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé', ""huile extra vierge d'olive "", '10,4%', 'sel', 'romarin ', '1,1%', ""correcteur d'acidité: E500"", ""farine d'orge maltée"", 'extrait de malt ', 'blé et orge', 'levure', ' Contient du gluten', ' Peut contenir des traces de sésame', 'du lait et du soja']",['E500 - Carbonates de sodium'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,111,,464 kj(111 kcal),,"3,1",,"0,5",,"17,75",,"0,6",,"2,6",,"0,53",,"0,212",,,,,,,B,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,
185,Linhaça Dourada - Salutem,5601557048498,,,['Salutem'],,['France'],[],,,[],,,,,,,,,,?,,494,,2067 kj(494 kcal),,"36,7",,"3,5",,"7,7",,"2,2",,"21,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,
186,Toastagrill biscottes - Diatosta,5601560111653,,,['Diatosta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",['France'],"['Wheat flour ', '86%', 'high oleic sunflower oil', 'milk whey', 'dextrose', 'malt extract ', 'barley', 'yeast', 'wheat gluten', 'salt', 'soy four', 'emulsifiers: E472e and E322 ', 'soy', ' antioxidant: ascorbic acid', ' It can contain sesame seeds trace']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait', 'Soja']",[],4,8 g,en quantité modérée,1.7 g,en quantité modérée,5.9 g,en quantité modérée,1 g,en quantité modérée,?,,375,-5%,1569 kj(375 kcal),-5%,8,+20%,"1,7",-8%,68,-0%,"5,9",+1%,11,-7%,1,-14%,"0,4",-14%,1,-84%,B,-84%,,B,,,,,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,
187,Piri-piri - Quinta d'Avo,5602102238883,,,"[""Quinta d'Avo""]","['Epicerie', 'Sauces']","['France', 'Espagne']","['Piment de cayenne ', '48%', 'vinaigre de poires ', 'contient des sulfites', 'sel', 'sucre', 'ail', 'épices et oléorésine de piment']",,['Anhydride sulfureux et sulfites'],[],3,0.3 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en faible quantité,0.03 g,en faible quantité,?,,35,-85%,146 kj(35 kcal),-85%,"0,3",-98%,"0,1",-95%,"6,2",-37%,"4,6",-29%,"1,1",-59%,"0,03",-99%,"0,012",-99%,1,-91%,B,-91%,['en:gluten-free'],,,,,,,,,,,,,,,,
188,Granola Portuguesa com mel,5602132651577,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['France', 'Espagne']",[],,,[],,13 g,en quantité modérée,2 g,en quantité modérée,31 g,en quantité élevée,0 g,en faible quantité,?,,369,-8%,1544 kj(369 kcal),-8%,13,+49%,2,-9%,58,-13%,31,+86%,9,-4%,0,-100%,0,-100%,11,+104%,D,+104%,,C,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,
189,Mel de Eucalyto - Jean Pierre,5602132652062,,,['Jean Pierre'],,['France'],"['pait7S Spéciaux pour hamburgers', ' : de eau', ' sirop St', 'ore do coita', 'levure', 'de gel', ""étoujsitiants : mono - et diolycôridoS d'acides 2-1actylate de sodium "", ' acidifiant : acétates do sodiusn', "" Conditjônné avcc do l'alcool éthylique"", "" Traces éventuelles de 'alt"", 'de soja et de lupin', "" conserver à l'abri de la chaleur•et de l'humidité"", ' Non ouverts']",,,[],,,,,,,,,,?,,280,,1172 kj(280 kcal),,"5,5",,"0,8",,"46,1",,"6,1",,"9,7",,"1,225",,"0,49",,,,,,,,,,,,,,,,,,,,,,
190,Gelatina Maracujà - Condi,5602477815344,,,['Condi'],,['France'],"['Sucre', 'gélatine ', '12%', ""correcteurs d'acidité "", 'E297', 'E331 et E330', 'arôme', 'sel', 'antioxydant ', 'Vitamine C', ' et colorant ', 'El 63', ' Conserver dans un endroit frais et sec']","['E428 - Gélatine', 'E297 - Acide fumarique', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,57,,238 kj(57 kcal),,0,,0,,13,,12,,"1,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,
191,Marinade pour Poulet et Dinde,5602477816594,,,,,['France'],[],,,[],,,,,,,,,,?,,311,,1301 kj(311 kcal),,"4,1",,"0,4",,"5,7",,"1,2",,"2,6",,"6,7",,"2,68",,,,,,,,,,,,,,,,,,,,,,
192,Gelatina sabor Amora - Condi,5602477827323,,,['Condi'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour desserts gélifiés']","['France', 'Espagne']","['sucre', 'gélatine ', '12%', ""correcteurs d'acidité "", 'acide fumarique', 'citrate de sodium et acide citrique', 'arôme', 'colorants ', 'carmin et indigotine', ' et antioxydant ', 'acide ascorbique - Vitamine C', ' Contient 2 sachets de Conserver dans un endro:t frais et sec']","['E428 - Gélatine', 'E297 - Acide fumarique', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo"", 'E300 - Acide ascorbique']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,75,-48%,314 kj(75 kcal),-45%,0,-100%,0,-100%,14,-52%,13,-40%,2,-42%,"0,09",-66%,"0,036",-66%,,,,,,,,,,,,,,,,,,,,,
193,caju cru - 150g,5602586060703,150 g,,,,['France'],[],,,[],,,,,,,,,,?,,577,,2414 kj(577 kcal),,43,,"7,9",,24,,"7,9",,23,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,
194,Rotwein Capataz 5 LTR. Bag In Box -,5602616001911,,,,,['France'],['Contém sulfitos - Contains sulphites - Contient des sulfites - sulfites Contien sulfitos - Indeholder sulfitter - Enthält sulfite Bevat sulfieten - Sisältää sulfiitteja - InnehDller sulfiter Sidaldab sulfitid - Satur sulfiti - Fih sulfiti - Zawiera siarczyny - Contien solfiti - Sudétyje yra sulfitay-Tartalmaz szulfitok - Obsahuje siricitany Vsebuje sulfit'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Contient des sulfites'],,,,,,,,,,,,,,,,
195,Tuna - La Gondola - 120g,5602910000955,120 g,,['La Gondola'],,['France'],[],,,[],,,,,,,,,,?,,214,,895 kj(214 kcal),,13,,"0,8",,0,,0,,23,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,
196,Plus - Santal,5603089001101,,,['Santal'],,"['France', 'Italie']","['Eau', 'jus de pomme ', '20%', 'LAIT écrémé ', '10%', 'sucre', 'dextrose', 'stabilisant: pectine', ""correcteur d'aciditè: acide citrique"", 'vitamines C et E', 'arôme']","['E440 - Pectines', 'E330 - Acide citrique']",['Lait'],"['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,10,,"9,8",,"0,4",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,
197,Parmalat Salsa De Nata Con Boletus,5603089001354,,,['Parmalat'],,['France'],['Cogumebs qumebs qumebsPctdr4rgneâ:s'],,,[],,,,,,,,,,?,,195,,816 kj(195 kcal),,18,,12,,"5,7",,4,,"2,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,
198,Sonatural shot - curcuma & cayenne,5603493006532,,,,,['France'],[],,,[],,,,,,,,,,?,,54,,226 kj(54 kcal),,"0,6",,"0,2",,"11,6",,"9,7",,1,,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,
199,Líquido aroma - Mimosa,5603722514869,,,['Mimosa'],,['France'],[],,,[],,,,,,,,,,?,,106,,444 kj(106 kcal),,1,,"0,2",,20,,20,,"4,8",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,
200,Magro Aroma - Mimosa,5603722515033,,,['Mimosa'],,['France'],[],,,[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"0,2",,"0,1",,"3,7",,"3,7",,"3,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,
201,Pleno - Mimosa,5603722516221,,,['Mimosa'],,['France'],[],,,[],,,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,"0,9",,"0,8",,0,,"0,007",,"0,003",,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,
202,Breakfast biscuit,5604127000001,,,,,['France'],[],,,[],,,,,,,,,,?,,446,,1866 kj(446 kcal),,16,,"1,6",,63,,18,,"8,4",,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,
203,Cantoliva Olives noires dénoyautées,5604253036509,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",['France'],[],,,[],,16.2 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,165,-24%,690 kj(165 kcal),-23%,"16,2",-23%,"2,5",-11%,1,-59%,"0,5",+66%,"1,3",+4%,"1,7",-53%,"0,68",-53%,11,-10%,D,-10%,,B,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,
204,"Beijinhos Pombal 90Gr,",5604551123482,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'Espagne']",[],,,[],,11 g,en quantité modérée,2.1 g,en quantité modérée,64.1 g,en quantité élevée,0.42 g,en quantité modérée,?,,432,+3%,1807 kj(432 kcal),+3%,11,-25%,"2,1",-67%,"72,2",+8%,"64,1",+29%,10,+138%,"0,42",+186%,"0,168",+186%,18,-1%,D,-1%,"['Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,,,,,,,
205,Crispy apple - Fruut - 20g,5605173300077,20 g,,['Fruut'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']","['France', 'Espagne']",[],,,"['Végétalien', 'Végétarien']",,0.5 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,?,,363,+8%,1519 kj(363 kcal),+8%,"0,5",-93%,"0,1",-96%,83,+43%,65,+50%,"1,1",-73%,0,-100%,0,-100%,9,+88%,C,+88%,"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,
206,Haricot Rouge - Quatrofolhas,5608087001337,,,['Quatrofolhas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",['France'],[],,,[],,0.6 g,en faible quantité,0.33 g,en faible quantité,0.6 g,en faible quantité,0.0192 g,en faible quantité,?,,79,-49%,331 kj(79 kcal),-51%,"0,6",-29%,"0,33",+139%,"0,6",-97%,"0,6",-58%,"8,5",-25%,"0,019",-95%,"0,008",-95%,-10,,A,,,B,,,,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,
207,Leite de coco,5608394421033,,,,['pt:Leite de coco'],['France'],[],,,[],,17 g,en quantité modérée,16 g,en quantité élevée,3 g,en faible quantité,0.03 g,en faible quantité,?,,172,,720 kj(172 kcal),,17,,16,,3,,3,,"1,6",,"0,03",,"0,012",,12,,D,,,,,,,,,,,,,,,,,,
208,Gran Café - 100g,5609060011497,100 g,,,,['France'],[],,,[],,,,,,,,,,?,,306,,1280 kj(306 kcal),,"0,1",,0,,42,,0,,21,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,
209,Pintarolas - Miguelañez - 22g,56001150,22 g,['Plástico'],['Miguelañez'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons']","['France', 'Portugal']","['chocolate de leite ', '67%', ' ', 'açúcar', 'manteiga de cacau', 'pasta de cacau', 'leite em pó', 'soro de leite em pó', 'manteiga concentrada', 'pasta de amêndoas e avelãs', 'emulsionante ', 'lecitina de soja', 'açúcar', 'amido de milho', 'corantes ', 'E171', 'E162', 'E150c', 'E160aii', 'E163', 'E100', 'agentes de revestimento ', 'E414', 'E903', 'aroma ', 'baunilha']","['E171 - Oxyde de titane', 'E162 - Rouge de betterave', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160aii - Carotènes végétaux', 'E163 - Anthocyanes', 'E100 - Curcumine', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba']",['Fruits à coque'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,0 g,en faible quantité,0 g,en faible quantité,22 g,en quantité élevée,,,?,,77,-85%,322 kj(77 kcal),-85%,0,-100%,0,-100%,22,-58%,22,-54%,0,-100%,,,,,,,,,,E,Pastilhas de chocolate de leite com capa de açúcar (cacau: 29% mínimo no chocolate de leite),,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,
210,56001259,56001259,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Icelandic Glacial - 500mL,5690351233834,500 mL,"['Bouteille', 'Plastique', 'Sans bisphénol A', 'rPET']",['Icelandic Glacial'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",['France'],['Eau minérale naturelle'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,0.00279 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,"0,003",-94%,"0,001",-94%,0,-100%,A,-100%,"['Kascher', 'en:Orthodox Union Kosher', 'CarbonNeutral Product']",,Eau minérale naturelle,,,['Carrefour Contact'],,,,,,,,,,"['Islande', 'Ölfus Spring']",
212,Oeufs de lompe rouges,5690510120043,,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'Oeufs de lompes rouges']",['France'],[],,,[],,4 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,5 g,en quantité élevée,?,,80,+5%,335 kj(80 kcal),+6%,4,+9%,"0,7",-8%,1,-12%,0,-100%,10,+5%,5,+9%,2,+9%,5,-24%,C,-24%,,,,,,,,,,,,,,,,,
213,Soda,5690541004183,,,,"['Boissons', 'Boissons gazeuses', 'Sodas']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,10.9 g,en quantité élevée,0.01 g,en faible quantité,?,,41,+52%,172 kj(41 kcal),+48%,0,-100%,0,-100%,"10,9",+61%,"10,9",+65%,0,-100%,"0,01",-28%,"0,004",-28%,14,+52%,E,+52%,,,,,,,,,,,,,,,,,
