,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
1172,MDD BS,3250392518590,['France'],[],[],?,362,1515 kj(362 kcal),37,25,0,0,11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Sorbet citron,3495040350685,['France'],[],[],?,131,548 kj(131 kcal),"0,09",0,"31,05","22,93","0,86",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Marrons au naturel bio,3770013905070,['France'],[],[],?,287,1201 kj(287 kcal),"1,175","0,227","64,8","24,9","0,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1175,Donuts Chocolat,2040400002349,['France'],[],[],?,432,1807 kj(432 kcal),27,13,41,"6,8","6,8",1,"0,4",B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,-0%,+4%,-4%,+5%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,27 g,en quantité élevée,13 g,en quantité élevée,6.8 g,en quantité modérée,1 g,en quantité modérée,-0%,+3%,-57%,-4%,-4%,20,-7%,E,-7%,,,,,,,,,,,,
1176,Hair & nails,3760269201958,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Le biscuit sec et nature,3527600000096,['France'],[],[],?,428,1791 kj(428 kcal),22,14,48,14,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Aceitunas verdes rellenas de anchoa,8410021090065,['France'],[],[],?,14,59 kj(14 kcal),15,3,35,0,35,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Poule,5412453011291,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Mini beignets fourrés pomme,0202148022962,['France'],[],[],?,328,1372 kj(328 kcal),17,"7,8",38,11,"5,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Beignets à la framboise,0260242013125,['France'],[],[],?,317,1326 kj(317 kcal),"9,6","1,5",50,20,"6,7","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Piment fort,4027900219185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Tomates cerises entieres all’ arrabbiata,8001060037441,['France'],[],[],?,145,607 kj(145 kcal),12,"1,4","6,8","4,9","1,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Skin-protect,4062853009612,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Paste corte,8007066210383,['France'],[],[],?,353,1477 kj(353 kcal),"1,4","0,3",73,3,"10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Beef jerky,2562184,['France'],[],[],?,255,1067 kj(255 kcal),"3,9","1,4",16,16,39,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Citronnade bio,3760199620393,['France'],[],[],?,40,167 kj(40 kcal),0,0,"9,6","8,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
