,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
374,Filliers Cream Jenever 17% 70 CL Chocolate,5412166230071,['France'],[],[],?,220,920 kj(220 kcal),?,,?,,?,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Saucisse - Oberti,3349010005405,['France'],[],[],?,203,849 kj(203 kcal),"14,9","5,7","0,8","0,6","16,4","2,5",1,,,,,,,,,,,,,,,,['Oberti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Candy’up - Candia,18772456,['France'],[],[],?,57,238 kj(57 kcal),"0,6","0,4",10,"9,7","0,09",10,4,,,,,,,,,,,,,,,,['Candia'],,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,
377,Céréales carotte maïs avec quinoa - Babybio,3288131500140,['France'],[],[],?,388,1623 kj(388 kcal),2,"0,6","3,4","2,7","0,05","0,003","0,001",,,,,,,,,,,,,,,,['Babybio'],,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
378,Petits citrons sauvages d'Égypte confits,3700238320464,['France'],[],[],?,26,109 kj(26 kcal),"0,3","0,1","2,4","2,2","0,9",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 30189', 'Nîmes (Gard, France)']",,,,,,,,
379,Diadyn multivitamin,4260593950007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Pizza Cantal aop,3242272370055,['France'],[],[],?,226,946 kj(226 kcal),"8,6","4,6",23,"2,8",12,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,
381,Glace liqueur d orange - Erhard,3428420013375,['France'],[],[],?,215,900 kj(215 kcal),10,6,27,22,"3,2","0,16","0,064",,,,,,,,,,,,,,,,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Fromage petit basque pur brebis,2663545048340,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,sfoglie di mais al peperoncino - solo mais - 100g,8051418680553,['France'],"['Farina di mais ', '97,69%', 'sale ', '1,7%', 'peperoncino ', '0,6%', 'olio extra vergine di oliva ', '0,01%', ' Ingredients: water', 'corn fl our ', '97,69%', 'salt ', '1,7%', 'chilli pepper ', '0,6%', 'extra virgin olive oil ', '0,01', ' Ingrédients: farine de maïs ', '97,69%', 'sel ', '1,7%', 'piment ', '0,6', ""huile d'olive vierge extra "", '0,01%', ' Il prodotto può contenere tracce di LATTE e UOVA', ' The product may contain traces of MILK and EGGS', "" Le produit peut contenir des traces de LAIT et d'ŒUFS"", 'Da consumarsi preferibilmente entro  A consommer de préférence avant le:']",[],?,388,1623 kj(388 kcal),"4,3","0,8",77,"2,1","7,4","1,7","0,68",,100g,,,,,,,,,,,,,,['solo mais'],,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,,,,,
384,Glace caramel Utopy de Normandie,3760312670007,['France'],[],[],?,199,833 kj(199 kcal),"8,7",8,22,21,"3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Platine 500G - Carrefour,3276556304603,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,
386,Noix de cajou crues,3068230016717,['France'],[],[],?,599,2506 kj(599 kcal),46,"8,3",24,"5,5",20,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,0%,-0%,-6%,+7%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,46 g,en quantité élevée,8.3 g,en quantité élevée,5.5 g,en quantité modérée,,,+0%,-2%,-15%,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
387,Filet de poulet roti,2431628045858,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",0,0,24,"1,4","0,56",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,+4%,+8%,-100%,+2%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,+4%,+3%,-100%,+4%,+4%,3,+17%,C,+17%,,,,,,,,,,,,
388,Amandes émondées,3580281210550,['France'],[],[],?,653,2732 kj(653 kcal),52,"3,9",19,"4,6",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Miel de Tilleul Blond Doré -  - 250g e,20491420,"['France', 'États-Unis']",[],[],?,?,,?,,?,,?,,,B,250 g e,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,['Pot en Verre'],,"['Göbber Gmbh', 'Bahnhofsrafe 40', 'D-27324 Eystrup']",,,['Recyclabe-a-70'],,,,,,
390,Potato croquettes - Lidl,4056489204015,['France'],[],[],?,196,820 kj(196 kcal),10,2,23,2,"2,5","1,3","0,52",,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Confiture Myrtille,3760252202214,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Miel de fleur la Vie Claire,3266191023267,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Cookies - Biocoop,3760121223524,['France'],[],[],?,477,1996 kj(477 kcal),23,12,37,23,"6,1","0,41","0,164",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",,-3%,-9%,-38%,-2%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,['Biocoop'],23 g,en quantité élevée,12 g,en quantité élevée,23 g,en quantité élevée,0.41 g,en quantité modérée,-4%,-3%,-27%,-39%,-39%,16,-29%,D,-29%,,,,,,['Bio'],,,,,,
394,Coconut Water,5060232812111,['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,5",4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Petite tresse jambon - Migros,7613404343296,['France'],[],[],?,262,1096 kj(262 kcal),11,"1,2",29,"3,3",11,"1,6","0,64",,,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Madeleines - 400g,8410718268418,['France'],[],[],?,430,1799 kj(430 kcal),20,"8,2",58,"29,5","4,4","0,5","0,2",B,400 g,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,-2%,-12%,+10%,-23%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,20 g,en quantité modérée,8.2 g,en quantité élevée,29.5 g,en quantité élevée,0.5 g,en quantité modérée,-2%,+18%,+7%,-38%,-38%,21,+14%,E,+14%,,,,,,,,,,,,
397,Huile d’olive bio,77028013,['France'],[],[],?,900,3766 kj(900 kcal),100,17,"0,5","0,5","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
398,Tapenade aux olives vertes,3760048386005,['France'],[],[],?,258,1079 kj(258 kcal),"27,6","3,8","1,1","0,5","1,2","3,4","1,36",C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,+17%,+27%,-50%,-26%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,27.6 g,en quantité élevée,3.8 g,en quantité modérée,0.5 g,en faible quantité,3.4 g,en quantité élevée,+17%,+18%,+30%,+18%,+18%,16,+18%,D,+18%,,,,,,,,,,,,
399,Con postal,8413365012762,['France'],[],[],?,310,1297 kj(310 kcal),"0,5",0,73,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Pates alimentaires de qualite superieure aux oeufs frais,3303070000114,['France'],[],[],?,372,1556 kj(372 kcal),3,"0,9",70,"2,2",15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Coulis de framboise,3760040453033,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Herbes de provence bio,3760002141398,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
403,Tablette des normands La choco -caramel - Chevaliers d'Argouges,3421371527847,['France'],[],[],?,558,2335 kj(558 kcal),36,21,54,54,"6,6","0,26","0,104",,,,,,,,,,,,,,,,"[""Chevaliers d'Argouges""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Pain complet,0260022008860,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Gâteau Gerblé,2080350090027,['France'],[],[],?,443,1854 kj(443 kcal),15,"1,4",66,66,6,"8,1","3,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,6 oeufs frais gros - La vie claire,01576962,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['La vie claire'],,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,
407,Wacky sticks,8690146125365,['France'],[],[],?,374,1565 kj(374 kcal),"0,7","0,5",89,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Confiserie gout fraise,8716100083059,['France'],[],[],?,360,1506 kj(360 kcal),"2,7","1,4",78,48,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Energy fruit jellies,3583787817827,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1",82,65,"0,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Gaspacho de Saison - Tomate - La Vie Claire,3266191068466,['France'],[],[],?,30,126 kj(30 kcal),"1,9","0,3",2,"1,6","0,7","0,85","0,34",,,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Star cake orange,8710543202626,['France'],[],[],?,409,1711 kj(409 kcal),"19,8","8,6",51,"32,7","5,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Activia noix de coco - Danone,54029040,['France'],[],[],?,92,385 kj(92 kcal),"2,9",2,"12,7","12,7","3,7","0,13","0,052",,,,,,,,,,,,,,,,"['Danone', 'Activia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Date Honey,7290016439120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Saucisses paysannes - Cora,3257981030077,['France'],[],[],?,75,314 kj(75 kcal),"28,2","16,4","0,6","0,6","14,5","1,6","0,64",,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,La coriandre moulue - Spigol,3102870044232,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Spigol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Fanta Strawberry & Kiwi,4260231223258,['France'],[],[],?,42,176 kj(42 kcal),"0,1","0,1","10,2","10,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Confiserie - Hema,8713745324233,['France'],[],[],?,339,1418 kj(339 kcal),"0,5","0,1","76,9","62,8","6,6",0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-19%,-97%,+15%,+57%,,,,,,,,['Hema'],0.5 g,en faible quantité,0.1 g,en faible quantité,62.8 g,en quantité élevée,0 g,en faible quantité,-19%,-98%,+27%,-100%,-100%,14,-23%,D,-23%,,,,,,,,,,,,
418,6 saucisses fumées à cuire - Clermont,6303720003318,['France'],"['Viande de porc 80%', ' gras de porc', 'eau', 'sel', ' lactose ', 'LAIT', 'épices et plantes arormatiques', 'dextrose', ' conservateurs: E250', 'E252', 'antioxydants: E 300,E316', ' acidifiants:E262 E330', 'aromes naturel', 'fumé au bois de hetre', 'sous boyau naturel de porc']","['Non végétalien', 'Non végétarien']",1248,?,1248 kj(298 kcal),"26,1","7,5","1,2","0,9","15,3","2,3","0,92",,6,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'en:smoked-alsatian-sausage-or-landjager']",+12%,,+19%,-5%,-1%,,,,,,,,['Clermont'],26.1 g,en quantité élevée,7.5 g,en quantité élevée,0.9 g,en faible quantité,2.3 g,en quantité élevée,+11%,-11%,+22%,+15%,+15%,20,+9%,E,+9%,['barquette plastique'],['France'],['liffré'],,4,"['en:produced-in-bretagne', 'Fumé au bois de hêtre']",['Lait'],['Leclerc'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E262 - Acétates de sodium', 'E330 - Acide citrique']",,,
419,Mélange Mexicain,2600692023882,['France'],[],[],?,533,2230 kj(533 kcal),34,"5,5",37,"4,2",17,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Tè alla pesca,8055965021067,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Blé coleslaw et petits pois doux,3564706645240,['France'],[],[],?,132,552 kj(132 kcal),8,"0,6",11,3,3,"0,83","0,332",B,,"['Plats préparés', 'Entrées', 'Coleslaw']",,+2%,-20%,+76%,+170%,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,8 g,en quantité modérée,0.6 g,en faible quantité,3 g,en faible quantité,0.83 g,en quantité modérée,+4%,-32%,-40%,+4%,+4%,3,-13%,C,-13%,,,,"['EMB 29241B', 'Rosporden (Finistère, France)']",,['Nutriscore'],,,,,,
422,Glasse,3564706628052,['France'],[],[],?,328,1372 kj(328 kcal),20,12,33,28,"3,6","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Potato croquettes - Lidl,4056489204008,['France'],[],[],?,201,841 kj(201 kcal),"10,5",3,22,2,"3,5","1,4","0,56",,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Lemon Lime - Sprite,06746500,['France'],[],[],?,40,167 kj(40 kcal),0,0,"10,8","10,8",0,,,,,,,,,,,,,,,,,,['Sprite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,La Floridine,3401297274360,['France'],[],[],?,151,632 kj(151 kcal),"4,8",2,"17,7","13,5",9,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Le pastin multi-céréales,3276550246657,['France'],[],[],?,261,1092 kj(261 kcal),4,"0,4","44,6","1,6","8,6","1,21","0,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,6223001360773,6223001360773,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Mimolette bio,2060908504459,['France'],[],[],?,323,1351 kj(323 kcal),24,15,"0,5","0,5",26,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
429,comté Rivoire - Jacquemin - 1kg 250g,2360654012704,['France'],"['Lait', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,418,1749 kj(418 kcal),35,23,"< 0,5","< 0,5",27,"0,86","0,344",D,1 kg 250 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-0%,+1%,+8%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Rivoire - Jacquemin'],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,-0%,+1%,+87%,+3%,+3%,13,0%,D,0%,['plastique sous vide'],,,,3,['AOP'],['Lait'],['Metro'],,,,
430,3700008523897,3700008523897,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Vivis,3850108058482,['France'],[],[],?,258,1079 kj(258 kcal),"24,5","17,5","2,8","2,8","6,6","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Chipirones rellenos,3760048332293,['France'],[],[],?,175,732 kj(175 kcal),"9,8","1,3","7,5",0,12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Tartinable Tomate confite,3760141325161,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Petits pavés précuits - Auchan,3596710484737,['France'],[],[],?,258,1079 kj(258 kcal),"1,5","0,8",51,"2,4","8,3","0,96","0,384",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains précuits']",,+2%,-39%,+6%,+8%,,,,,,,,['Auchan'],1.5 g,en faible quantité,0.8 g,en faible quantité,2.4 g,en faible quantité,0.96 g,en quantité modérée,+1%,+43%,-20%,-23%,-23%,-1,-146%,A,-146%,,,,,,"['Nutriscore', 'Nutriscore A']",,['Auchan'],,,,
435,"La Princesse Des Glaces, Camilla Lackberg",9782330006563,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,['Non alimentaire'],,-100%,,,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,
436,Chips saveur barbecue 6x30g - Auchan,3596710483037,['France'],[],[],?,536,2243 kj(536 kcal),33,"2,7",51,"3,9",6,"1,4","0,56",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue']",,+2%,+4%,-1%,-4%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Auchan'],33 g,en quantité élevée,2.7 g,en quantité modérée,3.9 g,en faible quantité,1.4 g,en quantité modérée,+1%,-6%,+33%,+2%,+2%,9,-20%,C,-20%,,,,,,"['Nutriscore', 'Nutriscore C']",,['Auchan'],,,,
437,Yaourt fermier,3760267350177,['France'],[],[],?,70,293 kj(70 kcal),"3,5","1,77","4,7","4,7","4,04","0,151","0,06",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,-24%,+7%,-57%,+7%,,,,,,,,,3.5 g,en quantité modérée,1.77 g,en quantité modérée,4.7 g,en faible quantité,0.151 g,en faible quantité,-24%,-14%,-53%,+31%,+31%,0,-100%,B,-100%,,,,,,,,,,,,
438,Sangria,8410702005005,['France'],[],[],?,67,280 kj(67 kcal),4,1,"4,1","1,1","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Roquefort vernières,0259031027429,['France'],[],[],?,365,1527 kj(365 kcal),31,20,"1,5","0,5",19,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Chips extra craquantes nature - Bouton D'or - 30g,0200005039030,['France'],[],[],2250,540,2250 kj(540 kcal),34,"2,7",50,"0,5",6,"1,1","0,44",B,30 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",+1%,+1%,+2%,-2%,+2%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"[""Bouton D'or""]",34 g,en quantité élevée,2.7 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,+0%,-9%,-61%,-17%,-17%,7,-36%,C,-36%,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,
441,Glace chocolat noir de Tanzanie - Thiriet,3292590515324,['France'],[],[],?,174,728 kj(174 kcal),"8,8","5,4",20,20,"3,3","0,1","0,04",,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,
442,Gomme d’acacia au miel -  - 100g,3518161003862,['France'],"['Gomme arabique', 'sucre roux', 'sirop de glucose', 'miel ', '5', '2%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1238,296,1238 kj(296 kcal),?,,"56,1","48,1",1,"0,2","0,08",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,4,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,"[""E414 - Gomme d'acacia""]",,,
443,Cookie gaby,3770015023048,['France'],[],[],?,419,1753 kj(419 kcal),25,"7,3","38,8",5,9,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Cobourg,5410469040649,['France'],[],[],?,166,695 kj(166 kcal),8,"3,2","0,5","0,5",23,"6,5","2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Batatas fritas gourmet,5601312067986,['France'],[],[],?,533,2230 kj(533 kcal),32,"2,9",52,"0,7","6,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Terrine au foie de canard au jus de truffes noires,3461952307154,['France'],[],[],?,290,1213 kj(290 kcal),26,11,11,0,13,"1,74","0,696",E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,-5%,-1%,+540%,-8%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,26 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1.74 g,en quantité élevée,-5%,+16%,-100%,+14%,+14%,20,+12%,E,+12%,,,,,,,,,,,,
447,Durstlöscher,4100060028382,['France'],[],[],?,43,180 kj(43 kcal),0,0,11,10,0,0,0,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'en:Boissons', 'en:Boissons gazeuses']",,+72%,,+78%,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,+70%,,+65%,-100%,-100%,13,+177%,E,+177%,['Tetra Pak'],,,,,,,,,,,
448,Thé vert citron fleur de sureau - La Vie Claire,3266191040073,['France'],[],[],?,8,33 kj(8 kcal),95,0,"1,9","1,9",0,0,0,,,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,8717763898790,8717763898790,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Thé noir citron,3760308960082,['France'],[],[],?,18,75 kj(18 kcal),"0,5","0,1","4,5","4,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'CH-BIO-006', 'Agriculture UE', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,,,
451,Compote,3660407050700,['France'],[],[],?,106,444 kj(106 kcal),"0,5","0,2",24,22,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,HADDOCK,0240609041466,['France'],[],[],?,101,423 kj(101 kcal),"0,7","0,1",0,0,24,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Energy fruit jellies,3583787817803,['France'],[],[],?,337,1410 kj(337 kcal),"0,5","0,1",84,63,"0,5","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Granola super nature miel et graines,3770007543264,['France'],[],['Sans huile de palme'],?,161,674 kj(161 kcal),23,11,49,"7,2","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,
455,Agua Mineral Natural,8420887031508,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Le mix à l’oignon - CroustiSud,3770000910179,['France'],[],[],?,487,2038 kj(487 kcal),29,"2,6",43,33,"5,2","0,38","0,152",,,,,,,,,,,,,,,,['CroustiSud'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Grillades Meditterranéennes - Spigol,3102870048735,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Spigol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Abricots,3760112618032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
