,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,packaging,labels,manufacturing,allergens,palm_ingredients,generic_name,link,brand_owner,origin_detail,producer_info
1149,Galette citron et pépites au citron vert - Franprix - 100g,3263851169716,C,100g,['Franprix'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,,['Franprix'],['France'],[],[],19 g,en quantité modérée,12 g,en quantité élevée,30 g,en quantité élevée,0.89 g,en quantité modérée,?,,473,-3%,1979 kj(473 kcal),-4%,19,-18%,12,-14%,70,+11%,30,+18%,5,-19%,"0,89",+30%,"0,356",+30%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
1150,Madeleines au Beurre d'Isigny - Franprix - 250g (10 * 25g),3263852661615,A,250 g (10 * 25 g),['Franprix'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['France', 'Normandie']","['EMB 55122A', 'Commercy (Meuse, France)']",['Franprix'],['France'],"['Farine de blé', ""beurre d'Isigny A"", 'O', 'P', ' 23 %', 'sucre', 'œufs frais 17,5 %', 'sirop de glucose-fructose', 'stabilisants : sorbitols', 'glycérol', 'arômes', 'poudres à lever : diphosphates et carbonates de sodium ', 'contient blé', 'sel', 'conservateur : sorbate de potassium']",['Non végétalien'],22 g,en quantité élevée,15 g,en quantité élevée,23 g,en quantité élevée,0.85 g,en quantité modérée,?,,423,-4%,1770 kj(423 kcal),-4%,22,-4%,15,+116%,51,-3%,23,-16%,"5,1",-10%,"0,85",+5%,"0,34",+5%,23,+25%,E,+25%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['E420 - Sorbitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"['Sachet', 'Plastique', 'Film en plastique']","['Point Vert', 'AOP', 'Triman']",['France'],"['Œufs', 'Gluten', 'Lait']",,Madeleines au beurre d'Isigny AOP,,,,
1151,12 Maxi galettes bretonnes - Leader Price - 350g,3263852669611,C,350 g,['Leader Price'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,"['EMB 29151C', 'Morlaix (Finistère, France)']",['Leader Price'],['France'],"['Farine de blé - sucre - beurre concentré reconstitué ', '22%', ' - œufs - poudre à lever ', 'diphosphate et carbonate de sodium', ' - sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",22.1 g,en quantité élevée,14.6 g,en quantité élevée,26.3 g,en quantité élevée,1.29 g,en quantité modérée,2076,-0%,495,+1%,2076 kj(495 kcal),+1%,"22,1",-5%,"14,6",+5%,"67,12",+7%,"26,3",+4%,"6,2",0%,"1,29",+89%,"0,516",+89%,26,+19%,E,+19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']",4,"['Cartonnage', 'Sachets plastique']","['Point Vert', 'Fabriqué en France']",,"['Œufs', 'Gluten', 'Lait']",,Galettes au beurre,,,,
1152,Goûters secs - Le Prix ! gagnant - 350g,3263852902916,C,350 g,['Le Prix ! gagnant'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['EMB 01072D', 'Ceyzériat (Ain, France)']",['Leader Price'],['France'],"[""Farine de blé - sucre - huile de palme - lait écrémé en poudre - poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'diphosphates - sel - lactosérum en poudre - arôme - émulsifiant : E472e - agent de traitement de la farine : disulfite de sodium']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",5.4 g,en quantité modérée,2 g,en quantité modérée,24 g,en quantité élevée,1.4 g,en quantité modérée,?,,397,-16%,1661 kj(397 kcal),-17%,"5,4",-74%,2,-80%,80,+25%,24,-19%,"7,2",+11%,"1,4",+138%,"0,56",+138%,16,-19%,D,-19%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",4,['Film plastique à jeter'],['Info-Tri Point Vert'],"['Biscuits Bouvard - 73 Rue Albert Métras - ZAC de la Teppe - 01250 Ceyzériat', 'Ain', 'Auvergne-Rhône-Alpes', 'France']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",['Huile de palme'],Biscuits,,,,
1153,Nectar 5 agrumes - Leader Price - 1L,3263855090443,D,1 L,['Leader Price'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,['Leader Price'],['France'],"['Jus de fruits à base de jus de fruits concentrés ', 'orange', 'citron', 'mandarine', 'pamplemousse', 'citron vert', ""pulpe d'orange 1 %"", 'eau', 'sucre', 'antioxydant : acide ascorbique']",[],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,187,-7%,44,-8%,187 kj(44 kcal),-6%,0,-100%,0,-100%,11,0%,11,+6%,0,-100%,0,-100%,0,-100%,5,+12%,C,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['E300 - Acide ascorbique'],3,['Brique'],,,,,Nectar d'agrumes à base de jus de fruits concentrés avec pulpe,,,,
1154,Mes Légumes vapeur nature - Leader Price - 600g,3263856740613,,600 g,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,"['EMB 22136', ""Loudéac (Côtes-d'Armor, France)""]",['Leader Price'],['France'],"['Courgettes grillées 53 %', 'poivrons rouges grillés 17 %', 'poivrons jaunes grillés 17 %', 'oignons grillés 13 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.1 g,en faible quantité,4.1 g,en faible quantité,0.01 g,en faible quantité,?,,35,-36%,146 kj(35 kcal),-35%,"0,4",-73%,"0,1",-66%,"4,9",-15%,"4,1",+57%,"2,1",+4%,"0,01",-95%,"0,004",-95%,-7,,A,,,,,,,,,,1,"['Surgelé', 'Sachet', 'Plastique']",,['France'],,,,,,,
1155,Rillettes de canard - Leader Price - 220g,3263856922613,D,220g,['Leader Price'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,"['EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)']",['Leader Price'],['France'],['Vinde de canard 55% - graisse de canard - viande de porc - conjonctif de porc - conjonctif de canard - sel - épices et plantes aromatiques'],"['Non végétalien', 'Non végétarien']",37 g,en quantité élevée,12.5 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,391,-2%,1636 kj(391 kcal),-3%,37,+1%,"12,5",0%,"0,5",-13%,0,-100%,14,-14%,1,-27%,"0,4",-27%,18,-7%,D,-7%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,3,,,,,,,,,,
1156,spécialité de soja - Franprix - 4x 100g,3263858061211,,4 x 100 g,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés']",,,['Franprix'],['France'],"['Spécialité fermentée au soja nature', ""issue de l'agriculture biologique Ingrédients Jus de soja* 97,5% "", 'eau - graines de soja* 10,4%', ' - amidon de maïs - sel - épaississant : pectines - ferments', "" *Ingrédients issus de l'agriculture biologique"", 'Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",[],2.6 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.08 g,en faible quantité,?,,54,-77%,226 kj(54 kcal),-76%,"2,6",-74%,"0,4",-75%,"2,9",-81%,0,-100%,"4,2",-65%,"0,08",-84%,"0,032",-84%,-3,,A,,,,,,,,,['E440 - Pectines'],4,['Pots'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['Soja'],,,,,,
1157,Roquefort AOP au lait cru de brebis BIO - Franprix - 100g,3263858070114,C,100 g,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,,['Franprix'],['France'],"[""lait cru de brebis* - sel - ferments lactiques et d'affinage "", 'contient lait', ' - présure animale - Penicillium roqueforti', "" *Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",32 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,3.65 g,en quantité élevée,?,,364,-1%,1523 kj(364 kcal),-0%,32,+0%,23,+3%,0,-100%,0,-100%,19,-2%,"3,65",+3%,"1,46",+3%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,3,,"['Bio', 'Bio européen', 'AOP', 'FR-BIO-01', 'AB Agriculture Biologique']",,['Lait'],,,,,,
1158,Yaourt à boire framboise - Leader Price,3263858363117,E,,['Leader Price'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté']",,,['Leader Price'],['France'],"['Lait partiellement écrémé - sucre 10', '3% - purée de framboise 6% - arôme - amidon transformé de tapioca - colorant: carmins - protéines de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1.3 g,en faible quantité,0.9 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,329,+8%,78,+8%,329 kj(78 kcal),+8%,"1,3",-14%,"0,9",-5%,14,+24%,13,+21%,"2,5",-14%,"0,1",-6%,"0,04",-6%,19,+19%,E,+19%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,"['E14XX - Amidons modifiés', 'E120 - Acide carminique']",4,,,,['Lait'],,,,,,
1159,Jambon de Parme - Franprix - 70g,3263858603510,E,70 g,['Franprix'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés italiens', 'Jambons de Parme', 'en:raw-cured-ham']",['Italie'],['IT 100 L CE'],['Franprix'],['France'],"['Jambon de porc', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",18 g,en quantité modérée,9 g,en quantité élevée,0.5 g,en faible quantité,5.5 g,en quantité élevée,1091,+1%,262,+3%,1091 kj(262 kcal),+2%,18,+11%,9,+60%,"< 0,5",+37%,"< 0,5",+372%,25,-7%,"5,5",+13%,"2,2",+13%,21,+16%,E,+16%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,3,"['Barquette', 'Plastique', 'Barquette', 'Film en plastique']",['AOP'],['Italie'],,,,,,,
1160,Des de poulet - Leader Price,3263858673315,,,['Leader Price'],,,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)', 'FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Leader Price'],['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"1,3",,"0,4",,1,,1,,21,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,
1161,Rondou - Leader Price - 200g,3263859360115,B,200 g,['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée non cuite', 'Fromages pasteurisés']",['France'],"['FR 72.264.001 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Leader Price'],['France'],"['Lait ', 'origine : France', ' - sel - ferments lactiques ', 'contient lait', ' - enzyme coagulante microbienne']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",26 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,?,,314,+0%,1314 kj(314 kcal),+0%,26,0%,18,+1%,0,-100%,0,-100%,20,+8%,"1,9",+32%,"0,76",+32%,16,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,"['Papier', 'Plastique']","['Point Vert', 'Croûte non consommable']","['Fromageries Bel Production France (Filiale Groupe Bel) - Route du Mans - La Tournerie - 72300 Sablé-sur-Sarthe', 'Sarthe', 'Pays de la Loire', 'France']",['Lait'],,,,,,
1162,Saint Felicien - Leader Price - 180g,3263859406110,D,180 g,['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Félicien']",,,['LEADER PRICE'],['France'],"['lait de vache thermisé - température inférieure à la pasteurisation - crème pasteurisée - sel - présure animale - lactiques', 'Lait origine : France - crème origine : France', ' Distribué par DLP Route de Presles en Brie 77220 Gretz - France Service consommateurs 0 800 35 oo oo 123 Quai Jules Guesde - 94400 Vitry - France ÀJETER VALABLE UNIQUEMENT POUR LA FP*NCE']","['Non végétalien', 'Non végétarien']",27 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,?,,298,+1%,1247 kj(298 kcal),+1%,27,+1%,19,+1%,"1,7",+79%,1,+116%,12,-5%,"1,3",+2%,"0,52",+2%,13,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['E270 - Acide lactique'],3,,,"['TECHE', 'Isère']",['Lait'],,,,,,
1163,Creme dessert chocolat noir - Leader Price,3263859640422,,,['Leader Price'],"['Desserts', 'en:Crèmes dessert', 'en:Crèmes dessert chocolat', 'en:Crèmes dessert chocolat noir', 'en:Crèmes dessert rayon frais', 'en:Desserts au chocolat', 'en:Desserts lactés', 'en:Produits laitiers']",,"['EMB 14630', 'Saint-Martin-des-Entrées (Calvados, France)']",['Leader Price'],['France'],[],[],3.4 g,en quantité modérée,2.2 g,en quantité modérée,13 g,en quantité élevée,0.15 g,en faible quantité,?,,117,+6%,490 kj(117 kcal),+6%,"3,4",-22%,"2,2",-39%,18,+36%,13,+12%,"3,6",-13%,"0,15",+30%,"0,06",+30%,3,-16%,C,-16%,,,,,,,,,,,,,,,,,,,
1164,Creme dessert chocolat - Leader Price,3263859651015,B,,['Leader Price'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",,"['EMB 62853', 'Vieil-Moutier (Pas-de-Calais, France)']",['Leader Price'],"['France', 'Mayotte']",[],[],0.9 g,en faible quantité,0.6 g,en faible quantité,11 g,en quantité modérée,0.13 g,en faible quantité,?,,86,-36%,360 kj(86 kcal),-36%,"0,9",-80%,"0,6",-79%,15,-20%,11,-31%,"3,6",-0%,"0,13",-13%,"0,052",-13%,0,-100%,B,-100%,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,,,,,,,,,,
1165,Purée aux 3 Pommes - Leader Price - 360g (4x90g),3263859730819,A,360 g (4x90g),['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']",,,['Leader Price'],['France'],['Pommes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,44,-31%,184 kj(44 kcal),-31%,0,-100%,0,-100%,10,-30%,10,-25%,0,-100%,0,-100%,0,-100%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,1,['Pots'],['Sans sucre ajouté'],,,,,,,,
1166,Boule Spéciale Tranchée - Leader Price - 400g,3263859760311,,400 g,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,"['EMB 59225', 'Feignies (Nord, France)']",['Leader Price'],['France'],[],[],1.1 g,en faible quantité,0.4 g,en faible quantité,2.4 g,en faible quantité,1.4 g,en quantité modérée,?,,247,-15%,1033 kj(247 kcal),-15%,"1,1",-78%,"0,4",-55%,"48,6",-1%,"2,4",-46%,"7,6",-18%,"1,4",+15%,"0,56",+15%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
1167,Mini coeurs - Confiserie Adam - 150g,3266052270090,E,150 g,['Confiserie Adam'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons']",,,['Zodio'],['France'],"['chocolat 48 % ', 'cacao 73 % min', ' ', 'masse de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'sucre', ""gommed'acacia"", 'amidon de riz', 'sirop de glucose', 'arôme', ""colorants : E100 E102 E104 E110 E122 E124 E129 E131 E132 E133 E151 E153 E155 E171 - agents d'enrobage : E901"", 'E903']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E322i - Lécithine', 'E100 - Curcumine', 'E102 - Tartrazine', 'E110 - Jaune orangé S', 'E124 - Ponceau 4R', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E153 - Charbon végétal médicinal', 'E171 - Oxyde de titane', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",4,['Boîte'],,,,,dragée au chocolat,,,,
1168,Paupiette De Veau 330g 1personne - les recettes Bocaron,3266110056895,,330g,['les recettes Bocaron'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,,,['France'],"['riz cuisiné ', '42%', 'paupiette de veau ', '38%', 'sauce ', '20%']",[],7.9 g,en quantité modérée,3 g,en quantité modérée,0.4 g,en faible quantité,0.55 g,en quantité modérée,?,,157,-15%,657 kj(157 kcal),-13%,"7,9",-5%,3,+19%,"13,5",-20%,"0,4",-82%,"7,8",+4%,"0,55",-46%,"0,22",-46%,1,-76%,B,-76%,,,,,,,,,3,['Sachet'],['Viande-francaise'],,,,,,,,
1169,Ravioli 4 Fromages - Saint Jean - 450g e,3266140060152,,450 g e,['Saint Jean'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage']",['France'],,['Super U'],['France'],"['Pâte 50 % : Semoule de blé dur de qualité supérieure 72,4%', 'eau', 'œufs frais 10,1% ', '140 g par kg de semoule', ' \rFarce 48% : Fromages 73 % ', 'ricotta 38%', 'emmental 20%', 'fromage frais 10%', 'fromage à pâte pressée cuite 5%,', 'flocon de pomme de terre ', 'pomme de terre déshydratées', ""extra d'épices"", 'eau', 'chapelure ', 'blé', 'huile de tournesol', 'fibre de blé', 'sel', 'arôme naturel ', 'lait', 'persil', ' ', 'Pourcentages exprimés sur la farce']",['Non végétalien'],8.1 g,en quantité modérée,4.3 g,en quantité modérée,1.7 g,en faible quantité,1.4 g,en quantité modérée,1117,+3%,265,+5%,1117 kj(265 kcal),+5%,"8,1",+1%,"4,3",+7%,"35,9",+7%,"1,7",-44%,"11,5",+13%,"1,4",+32%,"0,56",+32%,13,+77%,D,+77%,,,,,,,,,4,"['Frais', 'Plastique', 'Sachet']","['Point Vert', 'Blé français']",['France'],"['Œufs', 'Gluten', 'Lait']",,Pâte fraîche farcie aux 4 fromages,http://www.mysaintjean.fr/pates-fraiches/26-ravioli-4-fromages-3266140053307.html,,,
1170,Huile vierge de chanvre - La Vie Claire,3266191010571,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de chanvre']",,,['La Vie Claire'],['France'],"[""HUILE VIERGE DE CHANVRE PROCYaT DE la 31 ett? —t d'ure necswes un ISS NET25cI VOLUME""]",[],100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+4%,10,+6%,0,-100%,0,,0,-100%,0,,0,,11,+14%,D,+14%,,,,,,,,,,,['Bio'],,,,,,,,
1171,Saumon Sauvage sockeye d’Alaska - La Vie Claire - 150g,3266191012667,D,150 g,['La Vie Claire'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,"['FR 01.333.069 CE', 'Saint-André-de-Corcy (Ain, France)']",['La Vie Claire'],['France'],"['Saumon rouge ', 'Oncorhynchus Nerka', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",5.9 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,3 g,en quantité élevée,?,,145,-22%,607 kj(145 kcal),-21%,"5,9",-44%,"1,1",-47%,"1,1",+123%,0,-100%,23,+4%,3,+6%,"1,2",+6%,12,-8%,D,-8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,3,['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans colorants', 'Sans conservateurs']","['Dombes', 'France']",,,Saumon fumé,http://www.lavieclaire.com,,,
1172,"Petit Dej' Vitalité Cacao, Céréales Et Algues Bio - La Vie Claire",3266191093031,,,['La Vie Claire'],,,,['La Vie Claire'],['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"3,1",,"1,9",,"73,8",,"56,7",,"7,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,
1173,Barres chocolat noisettes-raisins - La Vie Claire,3266191109350,,,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,['La Vie Claire'],['France'],"['Céréales* 35% ', 'riz*', 'bIé*', 'avoine""', 'sucre de canne blond""', ""sirop de malt d'orge*"", 'seI de mer', 'pépite: de chocolat* 15% ', 'sucre de canne“', 'cacao“', 'beurre de càcao*', ' sirop de bIé*', 'noisettes*12%', 'raisins secs 8% ', 'raisin: sultanine*', 'huile de tournesol*', 'mieI*', 'huile de tournesol oIéique désodorisée* ', 'antioxydant: extrait de romarin', "" gomme d' acacià“"", '  *lngrédients agricoles issus de l’Agriculture BIologique _  Peut contenir des traces de graines de sésame', ' fruits à coques', 'arachides', 'lait', 'œufs et soja']",['Non végétalien'],18 g,en quantité modérée,4 g,en quantité modérée,23 g,en quantité élevée,0.13 g,en faible quantité,?,,448,+6%,1874 kj(448 kcal),+5%,18,+14%,4,-33%,62,+3%,23,-15%,"6,9",-8%,"0,13",-67%,"0,052",-67%,8,-39%,C,-39%,,,,,,,,['E392 - Extrait de romarin'],3,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['Gluten', 'Fruits à coque', 'Avoine']",,,,,,
1174,Cordon Bleu de Dinde - Le gaulois,3266980031534,D,,['Le gaulois'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",,,,['France'],"['Ingrédients ', 'à la mise en oeuvre', ' :Viande de filets de dinde traitée en salaison : 58% ', 'viande de filets de dinde : 48%', 'eau', 'fibres de BLÉ', 'sel', 'dextrose de blé', 'extrait de levure', 'arômes naturels ', 'dont LAIT', 'panure : 22% ', 'eau', 'farine de BLÉ', 'levure', 'sel', 'épices', 'jambon de dinde standard fumé : 10% ', 'Viande de dinde : 8%', 'eau', 'fibre de BLÉ', 'dextrose', 'protéine de BLÉ', 'arômes naturels', 'sel', 'extraits végétaux ', 'bette', 'carotte', 'ferments', 'gélifiant : carraghénanes', 'antioxydant : ascorbate de sodium', 'EMMENTAL fondu : 10 % ', 'EMMENTAL : 5%', 'FROMAGES', 'protéines de LAIT', 'eau', 'BEURRE', 'sels de fonte: citrates de sodium', 'polyphosphates', ' Huile de tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",10 g,en quantité modérée,3.1 g,en quantité modérée,1.9 g,en faible quantité,0.99 g,en quantité modérée,896,-2%,214,-4%,896 kj(214 kcal),-4%,10,-18%,"3,1",-3%,14,-3%,"1,9",+8%,16,+27%,"0,99",-26%,"0,396",-26%,2,-72%,B,-72%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",4,,['en:palm-oil-free'],,"['Gluten', 'Lait']",,,,,,
1175,Soupe de l'océan - Conserverie Courtin - 850ml,3268260000032,,850 ml,['Conserverie Courtin'],,,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,"1,3",,"0,3",,"0,4",,"0,4",,"5,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
1176,Bacon - Les Extra Fines du Forez - 90g,3268750004038,,90 g,['Les Extra Fines du Forez'],"['Viandes', 'Porc', 'Bacon', 'Bacon en tranche']",['Union européenne'],"['FR 42.165.006 CE', 'Panissières (Loire, France)', 'EMB 42165A', 'Panissières (Loire, France)']",,['France'],"['Viande de porc ', 'origine UE', 'sel', 'dextrose', 'antioxydant : ascorbate de sodium', 'conservateurs : nitrite de sodium', 'nitrate de potassium', 'arômes', 'épices', 'fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2.4 g,en faible quantité,0.9 g,en faible quantité,0.4 g,en faible quantité,3.77 g,en quantité élevée,?,,102,-23%,427 kj(102 kcal),-21%,"2,4",-44%,"0,9",-47%,"0,4",-44%,"0,4",-35%,"19,5",-12%,"3,77",+30%,"1,508",+30%,11,-7%,D,-7%,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,"['Barquette', 'Plastique', 'Frais']",,['France'],,,,,,,
