,name,bar_code,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,eco_score,ingredients_origins,link,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,producer_info,origin_detail
20,Barre amande miel,3465511443314,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,440,,1841 kj(440 kcal),,22,,"2,2",,46,,28,,13,,"0,01",,"0,004",,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,
21,Barres bii aux céréales germées,3465511453399,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,26,,"6,5",,45,,29,,12,,"0,01",,"0,004",,,,,,['Bio'],,,,,,,,,,,,,,
22,"Mix De Graines Germées Bio Alfalfa, Roquette, - Germline - 75",3465511710751,,75,['boîte plastique'],['Germline'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']",['France'],,['France'],"[""La roquette est une herbe potagère aromatique originaire des régions méditerranéennes et d'Asie Occidentale""]",,,[],,1.2 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,0.02 g,en faible quantité,?,,37,-37%,155 kj(37 kcal),-31%,"1,2",-54%,0,-100%,"0,8",-77%,"0,8",-33%,"4,5",+99%,"0,02",-94%,"0,008",-94%,-9,,A,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Biocoop'],B,['France'],,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,
23,Fines pousses Proti'mix - Germline,3465511891504,,,,['Germline'],,,,['France'],"['Pois vert germé', 'lentille germée', 'fénugrec germé']",,,[],,,,,,,,,,?,,102,,427 kj(102 kcal),,"1,1",,"0,26",,"12,1",,"0,8",,"7,7",,"0,03",,"0,012",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
24,Soupe de poissons de roche - Au Bec Fin,3466090010256,,,,['Au Bec Fin'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,['France'],"['Eau', 'poissons 30% ', 'divers poissons de roche', 'congres', ',\rsauce tomate ', 'tomate 98%', 'amidon de pomme de terre modifie', 'sel,\rmarjolaine', 'basilic', 'oignons', 'ail', 'huile de colza', 'acidifiant : acide citrique', ',\rConcentre de tomates', 'vin blanc 12° 2% ', 'sulfites', 'crabes ', 'crustacés', '\rsulfites', 'sel', ""huile d'olive vierge extra"", 'oignons', 'ail ', 'sulfites', ' poireaux', '\rpoivre blanc', 'plantes aromatiques', 'épices', 'safran']",['E330 - Acide citrique'],"['Crustacés', 'Poisson', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",3,5 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,1.5 g,en quantité modérée,?,,82,+71%,343 kj(82 kcal),+72%,5,+163%,"0,9",+100%,"1,8",-1%,"0,8",+23%,"7,2",+39%,"1,5",+70%,"0,6",+70%,-2,-329%,A,-329%,,,E,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,
25,Soupe de langoustines AU BEC FIN,3466090010560,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,81,,339 kj(81 kcal),,4,,"0,6",,"2,3",,"0,8",,"8,3",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,
26,Soupe de moules - Au Bec Fin,3466090011253,,,,['Au Bec Fin'],,,"['FR 83.042.002 CE', 'Cogolin (Var, France)']",['France'],"['eau', 'moules 25%', 'poissons ', 'poissons de roche', 'congres', 'tomates crustacés ', 'sulfites', 'vin blanc ', 'sulfites', 'sel marin', ""corail d'oursins huile d'olive vierge extra"", 'oignons ail frais plantes aromatiques poivre blanc', 'épices', 'safran pur']",,"['Poisson', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,36,,151 kj(36 kcal),,"1,6",,"0,3",,"2,1",,"0,9",,"3,1",,"1,07",,"0,428",,,,,,,,,,,,,,,,,,,,
27,Pâte Tomate Séchée Huile D'olive - Conserverie Au Bec Fin,3466090036676,,,,['Conserverie Au Bec Fin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",,,['France'],"['Tomates séchées 62%', ""huile d'olive vierge extra 38%"", 'plantes aromatiques', 'poivre blanc,']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,40 g,en quantité élevée,5.5 g,en quantité élevée,23 g,en quantité élevée,8.1 g,en quantité élevée,?,,531,+146%,2222 kj(531 kcal),+148%,40,+148%,"5,5",+197%,35,+187%,23,+174%,9,+150%,"8,1",+206%,"3,24",+206%,16,+227%,D,+227%,,,E,,,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,
28,Caviar de pois chiches - Au Bec Fin,3466090037109,,,,['Au Bec Fin'],,,,['France'],"['Pois chiches 48%', ""huile d'olive vierge extra"", 'eau', 'fromage de chèvre 9% ', 'lait', 'oignons', 'jus de citron concentré', 'piment', 'ail ', 'sulfites', 'basilic', 'plantes aromatiques', 'poivre blanc', 'sucre', 'cumin 0', ""1 vinaigre d'alcool 8% d'acidité 0,02%,""]",,"['Lait', 'Anhydride sulfureux et sulfites']",['Non végétalien'],,,,,,,,,,?,,316,,1322 kj(316 kcal),,27,,"4,7",,12,,"0,8",,"5,9",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,
29,Saucisson sec Porc Fermier,3466250014094,,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,['France'],[],,,[],,36 g,en quantité élevée,15 g,en quantité élevée,2.4 g,en faible quantité,4.8 g,en quantité élevée,?,,428,+6%,1791 kj(428 kcal),+6%,36,+14%,15,+22%,4,+79%,"2,4",+75%,22,-20%,"4,8",+3%,"1,92",+3%,25,+4%,E,+4%,,,D,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,
