,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,allergens,nova_score,packaging,additives,ingredients_origins,manufacturing,markets,brand_owner,origin_detail,producer_info,link,generic_name,palm_ingredients
72,Brekkies,3700260217114,['France'],[],[],?,0,0 kj(0 kcal),12,0,0,0,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Oeufs frais - Bib'heim - 30œufs frais,3262581330007,['France'],[],[],?,?,,?,,?,,?,,,C,30 œufs frais,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules']",,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,"[""Bib'heim""]",,,,,,,,,,,,,,,,,,"[""Savourez l'Alsace""]",,,"['Film en plastique', 'Etui en carton']",,,,,,,,,,
74,7 Wonders Duel,5425016923801,['France'],[],[],?,360.9,1510 kj(360 kcal),13,12,67,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Coulis de tomates,3380380094439,['France'],[],[],?,40,167 kj(40 kcal),"0,5",0,"6,6","4,4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mirinda - Pepsi,4060800139672,['France'],[],[],?,38,159 kj(38 kcal),"0,1",0,"9,4","9,4","0,1",,,,,,,,,,,,,,,,,,,['Pepsi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Concombre libanais au vinaigre,5281003554805,['France'],[],[],?,32,134 kj(32 kcal),0,0,8,4,0,"8,3","3,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Honny XL,8682340118359,['France'],[],[],?,521,2180 kj(521 kcal),29,25,59,36,"6,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Vin rouge de bordeaux,4056489276364,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,['Bordeaux'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Jambon boisé à l'ancienne,2602659028862,['France'],[],[],?,124,519 kj(124 kcal),"3,3","1,7","0,5","0,5",23,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Le guide de l’alimentation saine,9782501140607,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Vitamine C,3160920651748,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Hipp Bio Pastina Sabbiolina,4062300202306,['France'],[],[],?,355,1485 kj(355 kcal),"1,6","0,4","72,8",3,"10,8",,,,,,,,,,,,,,,,,,,['Hipp'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Delikatess Käse Würstchen,4000930581637,['France'],[],[],?,284,1188 kj(284 kcal),24,10,1,"0,8",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Tarte aux framboises,3251514237001,['France'],[],[],?,236,987 kj(236 kcal),"6,8","4,1",39,24,"2,8","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Financier caramel beurre salé,,['France'],[],[],?,515,2155 kj(515 kcal),33,17,46,36,"7,6","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Peperoncini Ripieni Ricotta & Câpres 280g,8019826424015,['France'],[],[],?,102,427 kj(102 kcal),"8,4",0,"3,95",0,"2,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Lasagnes à la bolognaise Monique ranou,25643336,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,8005023040110,8005023040110,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pinceau des charantes,3242890001904,['France'],[],[],?,0,0 kj(0 kcal),0,0,9,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Arachides coque grillées,3700056704583,['France'],[],[],?,609,2548 kj(609 kcal),"49,2","9,84","19,5","5,1","26,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
