,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
1815,Cacahuetes,3270722200102,['France'],[],[],?,601,2515 kj(601 kcal),"48,1","7,2","13,5","3,4",25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Préparation en poudre pour biscuits cookies au chocolat blanc,8051085011896,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Chorizo frais - Hiruak,2474756037524,['France'],[],[],?,?,,?,,?,,?,,,,,['Hiruak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Morbier - Carrefour,2227483023885,['France'],[],[],?,?,,?,,?,,?,,,D,,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1819,Muffin myrtille,2098143009842,['France'],[],[],?,?,,?,,?,,?,,,C,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits', 'Muffins aux myrtilles']",,,,,,,,,,,,,,,,,,,,,,,,,77.5%,13.0%,4.2%,3.1%,2.2%,0.0%,58,,,,,,,,,,
1820,Kopparberg Raspberry 500Ml Bottle,7393714515407,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Paté de campagne - André Loussouarn,3449480001485,['France'],[],[],?,313,1310 kj(313 kcal),"27,5",10,1,"0,2","15,2","1,8","0,72",D,,['André Loussouarn'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,27.5 g,en quantité élevée,10 g,en quantité élevée,0.2 g,en faible quantité,1.8 g,en quantité élevée,,+1%,+1%,+2%,-1%,-59%,-78%,+7%,+8%,+8%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
1822,Cannelle Tuyaux,3760022906496,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Creta verde,5204472400398,['France'],[],[],?,828,3464 kj(828 kcal),92,13,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Head Shot Cherry Blast,0804947008439,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5","0,05","0,05","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
