,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,link,markets,additives,allergens,nova_score,palm_ingredients,origin_detail,producer_info,brand_owner
737,"Fleur de yaourt citron, thé noir, bergamote - Mamie Nova - 230g",3456770020682,,230 g,['Mamie Nova'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,['France'],"['Lait entier', 'Sucre 7%', 'citron 6,2% ', 'jus et purée', 'jus de bergamote 2,3%', 'protéines de lait', 'amidon de maïs', 'arôme naturel de bergamote', 'thé noir 0,2%', 'huile essentielle de citron', 'ferments lactiques ', 'lait', ' Origine du lait : France', ' Peut contenir des traces de fruits à coque et de sésame']",['Non végétalien'],2.9 g,en faible quantité,1.9 g,en quantité modérée,10.5 g,en quantité modérée,0.09 g,en faible quantité,?,,85,-8%,356 kj(85 kcal),-7%,"2,9",-11%,"1,9",-7%,"11,4",+4%,"10,5",+4%,"3,4",-10%,"0,09",-22%,"0,036",-22%,2,-35%,B,-35%,,,,,,,,,['Carton'],,,,,,['Lait'],4,,,,
738,Purée d'amandes complètes - U Bio - 200g,3256228125613,,200 g,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande"", ""Purées d'amande complète""]","['Bio', 'Bio européen', 'Conditionné en France', 'AB Agriculture Biologique']",,['France'],"['AMANDES* complètes', "" *ingrédient issu de l'agriculture biologique"", ' Traces éventuelles de graines de sésame et autres fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",56 g,en quantité élevée,5.1 g,en quantité élevée,3.8 g,en faible quantité,0.01 g,en faible quantité,2714,,656,+4%,2714 kj(656 kcal),+3%,56,+3%,"5,1",+12%,11,+51%,"3,8",-12%,23,+2%,"0,01",-20%,"0,004",-20%,-2,-208%,A,-208%,,,,,,,,,['BOCAL'],,,,"['Magasins U', 'Super U']",,['Fruits à coque'],1,,,,
739,Madeleine coeur framboise - Ker Cadélac - 390g,3259426040641,B,390 g,['Ker Cadélac'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],"['Farine de BLÉ 21,5% - Sucre - Huile de colza - OEUFS entiers 16% - Sirop de glucose - Glycérine - Perles de sucre 3% ', 'Sucre', 'matière grasse végétale ', 'karité', 'denrée alimentaire colorante ', 'concentré de radis', 'cassis et pomme', 'colorant : extrait de paprika', ' - Purée concentrée de framboise ', 'équivalent à 5% de purée de framboise', ' - Poudres levantes : tartrates de potassium', ""carbonates de sodium - Emulsifiants:mono-et diglycérides d'acides aras "", 'origine végétale', ' - Arômes naturels - Sel - Epaississants : pectines - Jus concentré de citron']",['Non végétalien'],21 g,en quantité élevée,2 g,en quantité modérée,29 g,en quantité élevée,0.67 g,en quantité modérée,?,,427,-3%,1787 kj(427 kcal),-3%,21,-8%,2,-71%,56,+6%,29,+5%,"4,1",-28%,"0,67",-17%,"0,268",-17%,14,-24%,D,-24%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,"['Film en plastique', 'Sachet']",,,,,"['E422 - Glycérol', 'E160c - Extrait de paprika', 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium', 'E440 - Pectines']","['Œufs', 'Gluten']",4,,,,
740,Power Muesli noix-graines-fruits - Verival,9004617069079,B,,['Verival'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Végétarien', 'Végétalien', 'Nutriscore', 'Nutriscore D']",,['France'],[],"['Végétalien', 'Végétarien']",45 g,en quantité élevée,9 g,en quantité élevée,15 g,en quantité élevée,0.03 g,en faible quantité,?,,571,+37%,2389 kj(571 kcal),+37%,45,+244%,9,+171%,17,-72%,15,-11%,19,+93%,"0,03",-83%,"0,012",-83%,13,+164%,D,+164%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,,
741,4 Pasteis de nata - Picard - 240g,3270160822553,,240 g,['Picard'],['en:portugais'],,['82255'],['France'],"['Eau', 'farine de blé ', 'gluten', ' 23%', 'sucre', 'beurre ', 'lait', ' 8,2%', 'jaune d’œuf issu de poule élevée en plein air 5,2% ', 'liquide', 'pasteurisé', 'sirop de glucose', 'lait écrémé en poudre 2,6%', 'œuf entier issu de poule élevée en plein air 1,7% ', 'liquide', 'pasteurisé', 'amidon de maïs', 'sel', 'citron']",['Non végétalien'],9.9 g,en quantité modérée,6.6 g,en quantité élevée,16 g,en quantité élevée,0.45 g,en quantité modérée,?,,233,,975 kj(233 kcal),,"9,9",,"6,6",,30,,16,,"5,6",,"0,45",,"0,18",,12,,D,,,,,,,,,,['Portugal'],['Portugal'],['Portugais'],,['Picard'],,"['Gluten', 'Lait']",4,,,,
742,Purée pomme mirabelle - Les producteurs d’abord - 500g,3770003987611,A,500 g,['Les producteurs d’abord'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Purée de fruits sans sucres ajoutés']",,,['France'],"['Pommes 76,99%,mirabelle 23%', 'antioxydant : acide ascorbique 0,01%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,?,,61,-12%,255 kj(61 kcal),-12%,"0,1",-87%,0,-100%,14,+10%,11,+7%,"0,3",-46%,0,-100%,0,-100%,-3,,A,,37.4%,25.4%,14.3%,13.6%,7.2%,2.0%,96,,"['Verre', 'acier']","['en:mirabelle de France', 'en:pomme de France']",,,,['E300 - Acide ascorbique'],,1,,,,
743,Chocolat noir quinoa caramélisé - Bio Village - 100g,3564707161879,D,100 g,['Bio Village'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'IT-BIO-014', 'Nutriscore', 'Nutriscore D']",,['France'],[],[],38 g,en quantité élevée,23 g,en quantité élevée,32 g,en quantité élevée,0.01 g,en faible quantité,?,,560,+1%,2343 kj(560 kcal),+1%,38,-4%,23,-0%,42,+9%,32,+1%,"8,4",+10%,"0,01",-79%,"0,004",-79%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,['Leclerc'],,,,,,,
744,Veloute ensoleille courgette  de france au basilic - La Potagère - 2x 30cl,3274930001575,B,2 x 30 cl,['La Potagère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']","['Bio', 'Nutriscore', 'Nutriscore B']",,['France'],[],[],4.8 g,en quantité modérée,0.3 g,en faible quantité,1.4 g,en faible quantité,0.6 g,en quantité modérée,?,,81,+108%,339 kj(81 kcal),+108%,"4,8",+212%,"0,3",-50%,2,-58%,"1,4",-24%,"0,7",-18%,"0,6",-7%,"0,24",-7%,3,+124%,C,+124%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,,,,
745,porridge Myrtilles Hibiscus - T&C TERRES & CÉRÉALES BIO - 375g,3421557912153,,375 g,['T&C TERRES & CÉRÉALES BIO'],['Céréales pour petit déjeuner bio'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],"[""flocons d'avoine complets 78%"", ""son d'avoine 15%"", 'myrtilles lyophilisées 3', '5%', ""fleur d'hibiscus séchées 3%""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",6.5 g,en quantité modérée,1.1 g,en faible quantité,4.1 g,en faible quantité,0.01 g,en faible quantité,?,,371,,1552 kj(371 kcal),,"6,5",,"1,1",,61,,"4,1",,14,,"< 0,01",,"0,004",,-5,,A,,,,,,,,,,['Plastique'],['Union européenne'],,,['Carrefour'],,,1,,,,
746,Pizza chèvre miel - Lidl,4056489277774,,,['Lidl'],,"['Nutriscore', 'Nutriscore D']",,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,10,,"5,8",,"31,8",,"3,2",,"11,9",,"1,01",,"0,404",,,,,,,,,,,,,,['Surgelé'],,,,,,,,,,,
747,ultra doux enfants shampoing 2 en 1 Abricot et fleur de coton - Garnier - 250ml,3215666800063,,250ml,['Garnier'],"['Non alimentaire', 'Open Beauty Facts']",,,['France'],"[""À L'ABRICOT ET FLEUR DE COTON Pour faciliter le coiffage et faire du shampooing des enfants un grand 2 en 1 l'Abricot*"", 'reconnu pour son parfum délicieux', 'à la fleur de coton démèlante', "" Elle ne pique pas les yeux et élimine les neuds en un clin d'ceil"", ' Résultat : les cheveux sont doux', 'démêlés et brillants', "" Ils sont plus faciles à coiffer et sentent bon l'abricot ! *extroits DOUX ET RESPECTUEUX Pour Llitra DOUX Enfants"", ""Garnier a sélectionné ef optimisé des agents lavants d'orinine vénétole dans une formule hypoallergénique unique qui apporte douceur et respect quche DOUX POUR VOS CHEVEUX"", 'DOUX POUR LA PLANÈTE Extrait naturel Sans silicone pour un toucher naturel Formule hypoallergénique Usine engagée dans Flacon réalisé oec 30% le développement durable** de plastique recyclé et 100% recyclable *découvrez les performances sur garnier', 'com ***Ì mettre dans le bac de m 1099422 H-INGREÉDIENTS : AQUA / WATER', 'SODIUM LAURETH SULFATE', 'PEG-200 HYDROGENAIE BCERYL PALMATE', 'GLYCERIN', 'COCO-BETAINE', 'SODIUM CHLORIDE', 'PPG-5-CETETH-20', 'PEG-55 PROPTEE OUL OLEATE PEG-7 GLYCERYL COCOATE', 'SODIUM ACETATE', 'SODIUM HYDROXIDE', 'PRUNUS ARMENACA ER APRICOT KERNEL OIL', 'ISOPROPYL ALCOHOL PROPYLENE GLYCOL', 'CITRIC ACID', 'GOSSYPLM PERBACEUM EXTRACT/ COTTON EXTRACT', 'MALTODEXTRIN', 'POLYQUATERNIUM-10', 'POLYSORBATE 20', ' SODIUM BENZOATE', 'SALICYLIC ACID', 'PARFUM/FRAGRANCE', ' ', 'FLL C215590/1', ' Ne pas employer chez les enfants de moins de 3 ans', ' 36T603 GARNIER 14 rue Royale 75008 Paris FRANCE www', 'garnier', ""com/ultradoux TSA 75000 93584 ST OUEN CEDEX FR CENTRE CONSEILS CONSOMMATEURS GARNIER ON'Cristal 0969 36 30 50 Prix d'un oppel local depuúis un poste fixe En cas de contact avec les yeux"", 'les rincer Immédiatement', ' Attention: ne pas avaler', ' Ne pas laisser à la portée des jeunes enfants 12M 2197494 90008999']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Plastique'],,,,,"['E422 - Glycérol', 'E262i - Acétate de sodium', 'E330 - Acide citrique', 'E432 - Monolaurate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
748,Pate feuilletée sans gluten,6172452,,,,,,,['France'],[],[],,,,,,,,,?,,358,,1498 kj(358 kcal),,20,,"4,3",,37,,1,,"2,5",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,
749,Blé - Ebly,3487400004451,,,['Ebly'],,,,['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,"0,7",,"0,1",,43,,"0,9",,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Parmigiano Reggiano. Käse - Lidl,4056489192930,D,,['Lidl'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,"['France', 'Allemagne']",[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",0%,"0,64",0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
751,Petit salé aux lentilles - Carrefour,3560071235031,C,,['Carrefour'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']","['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,['France'],[],[],2.9 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,0.8 g,en quantité modérée,?,,94,-25%,393 kj(94 kcal),-22%,"2,9",-39%,1,-39%,"7,3",-6%,"0,7",-8%,"8,4",-11%,"0,8",-13%,"0,32",-13%,-1,,A,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,['Carrefour'],,,,,,,
752,Pain multicéréales - U - 500g,3256227575235,,500 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains multicéréales']",,,['France'],"['Farine de BLE 24%', 'eau', 'levain de seigle ', 'farine de SEIGLE', 'eau', 'farine complète de BLE 9%', 'farine de SEIGLE 6%', 'graines de lin brun 4%', 'graines de tournesol 3%', 'graines de SESAME 3%', 'SEIGLE complet concassé 2,8%', ""flocons d'AVOINE 1,8%"", 'ORGE complet concassé 1,3%', 'AVOINE complet concassé 1,3%', 'graines de millet 1%', 'sel', 'BLE complet concassé 1%', 'huile de colza', 'levure', ""correcteur d'acidité: acétates de sodium"", ""émulsifiant: mono - et diglycérides d'acides gras"", ""farine complète d'AVOINE 0,2%"", 'GLUTEN DE BLE', "" Certains ingrédients de ce produit ne proviennent pas d'Allemagne"", "" Traces éventuelles d'oeuf"", 'de lait', 'de fruits à coque et de soja']","[""Pourrait contenir de l'huile de palme""]",6.9 g,en quantité modérée,0.8 g,en faible quantité,2.3 g,en faible quantité,1.2 g,en quantité modérée,1064,,253,-7%,1064 kj(253 kcal),-6%,"6,9",+28%,"0,8",+9%,36,-19%,"2,3",+5%,"8,2",-1%,"1,2",0%,"0,48",0%,-2,-1100%,A,-1100%,,,,,,,,,,,,,['Magasins U'],"['E262 - Acétates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Avoine', 'Graines de sésame']",4,,,,
753,La Moussaka Boeuf & Aubergines avec une touche de menthe douce - Fleury Michon - 300g,3302740044786,,300 g,['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']","['Sans conservateurs', 'Nutriscore', 'Nutriscore B']","['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",['France'],"['Aubergines\xa015%', 'viande de boeuf 15%,\xa0lait écrémé réhydraté,\xa0tomates 12%,\xa0courgettes 12%', 'oignons,\xa0concentré de tomates', 'emmental 3', '9%,\xa0jus de cuisson du boeuf', 'huile de tournesol', 'amidon de riz', 'eau', ""huile d'olive vierge 0"", '7%', 'beurre,\xa0sel', 'ail,\xa0gélatine de boeuf,\xa0menthe douce 0', '1%,\xa0épices', 'herbes de provence 0', '08% ', 'basilic', 'origan', 'romarin,\xa0thym', ',\xa0thym']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",7.9 g,en quantité modérée,2.7 g,en quantité modérée,3.5 g,en faible quantité,0.79 g,en quantité modérée,496,-7%,?,,496 kj(119 kcal),-12%,"7,9",+32%,"2,7",+24%,"5,4",-42%,"3,5",+93%,"6,1",-31%,"0,79",-7%,"0,316",-7%,1,-56%,B,-56%,,,,,,,,,"['Barquette en plastique', 'Etui en carton']",['Bœuf origine France'],,,['Carrefour'],['E428 - Gélatine'],['Lait'],4,,,,
754,Le Nectar de Poire Williams,3335103440017,,,,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,"0,1",,"0,03",,"9,2",,"8,2",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,3660005986524,3660005986524,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Bio agave syrup - BEE& CEE - 250ml,5407003034752,,250ml,['BEE& CEE'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]","['Bio', 'Bio européen', 'NL-BIO-01']",,['France'],[],[],,,0 g,en faible quantité,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Picard - 400g,02532974,,400 g,['Picard'],,,,['France'],[],[],,,,,,,,,?,,?,,,,"7,1",,"0,9",,"7,9",,"2,1",,15,,"0,64",,"0,256",,,,,,,,,,,,,,,,,,['Picard'],,,,,,,
758,Ultra doux - Garnier - 300ml,3600542076760,C,300ml,['Garnier'],"['Produits laitiers', 'Crèmes']",,,"['République démocratique du Congo', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['Propre'],,,,,,,,,,,
759,pesto alla genovese - Barilla - 190g,7076848513753,B,190g,['Barilla'],"['Epicerie', 'Sauces', 'Sauces Pesto']",,['1261502226 (IB5)'],['France'],"['Huile de tournesol', 'basilic frais 30%', 'noix de cajou', 'fromage parmegiano regiano AOP 5% ', 'lait', 'fibres de mais', 'lactosérum en poudre ', 'lait', 'sel', 'protéines de lait', ""huile d'olive vierge extra"", 'sucre', 'extrait de basilic', 'arôme naturel ', 'lait', ""correcteur d'acidité : acide lactique"", 'ail']",['Non végétalien'],46 g,en quantité élevée,,,5.5 g,en quantité modérée,2.54 g,en quantité élevée,?,,?,,,,46,+12%,,,"9,8",+48%,"5,5",+78%,"4,7",+6%,"2,54",+9%,"1,016",+9%,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,['Pot en verre'],['Italie'],['Italie'],http://www.barilla.com,['intermarché'],['E270 - Acide lactique'],"['Lait', 'Fruits à coque']",4,,,,
760,Crème de marrons de l'Ardèche - Clément Faugier - 992g,0022314010018,C,992 g,['Clément Faugier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Crèmes de marrons']",['en:gluten-free'],,['France'],"['Châtaignes ', '50%', 'sucre', 'marrons glacés', 'sirop de glucose', 'eau', 'extrait de vanille Madagascar']",[],0.8 g,en faible quantité,0.2 g,en faible quantité,50.2 g,en quantité élevée,0 g,en faible quantité,?,,270,+8%,1130 kj(270 kcal),+8%,"0,8",+7%,"0,2",+38%,"63,6",+6%,"50,2",+1%,"1,3",+18%,0,-100%,0,-100%,11,-4%,D,-4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,Crème de marrons,['Conserve'],,,,,,,4,,,,
761,Sauce Piment Forte 482 G Huy Fong,0024463061095,,482 g,['Huy Fong'],"['Epicerie', 'Sauces', 'Sauces chili', 'en:Sriracha']",['Point Vert'],,"['France', 'Allemagne', 'Mexique', 'Suède', 'Suisse', 'États-Unis']","['Piments', 'sucre', 'sel', 'ail', 'vinaigre distillé', '\rAgents de conservation : sorbate de potassium et bisulfite de sodium\rgomme de Xanthane']",[],0.5 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,3.7 g,en quantité élevée,"334,88",-6%,80,-7%,"334,88 kj(80 kcal)",-5%,"0,5",-45%,0,-100%,16,+10%,9,-13%,2,+106%,"3,7",-6%,"1,48",-6%,11,+5%,D,+5%,,,,,,,,,"['BOTELLA', 'PLASTICO', 'Plast', 'Plastic', '01-PET', 'Green Dot', 'pet-bottle']","['États-Unis', 'Californie', 'de:ESTADOS UNIDOS']","['ESTADOS UNIDOS', 'USA', 'United States']",,"['WALMART', 'Coop', 'Migros']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,4,,,,Huy Fong Foods Inc.
762,Mayonnaise - Le choix du président - 890ml,0060383987152,D,890 ml,['Le choix du président'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,"['Canada', 'France']",[],[],73.3 g,en quantité élevée,6.67 g,en quantité élevée,0 g,en faible quantité,1.42 g,en quantité modérée,?,,666.6667,+9%,2789 kj(666 kcal),+9%,"73,333",+11%,"6,667",+8%,0,-100%,0,-100%,"1,333",+8%,"1,417",+7%,"0,567",+7%,20,+12%,E,+12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
763,Mori-nu silken Tofu firm - Morinaga - 349g,0085696608044,B,349 g,['Morinaga'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Viandes', 'Substituts de viande', 'Tofu']","['Végétarien', 'Sans gluten', 'Végétalien', 'Sans conservateurs', 'en:The Vegan Society', 'en:KSA Parve']",,"['France', 'Mexique', 'Suisse', 'Royaume-Uni', 'États-Unis']","['Eau', 'feves de soja ', '14,6%', 'protéine de soja isolée ', '2,4%', ""correcteur d'acidité "", 'E575', 'affermissant ', 'E509']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.94 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.045 g,en faible quantité,236,-60%,59,-60%,236 kj(59 kcal),-62%,"2,94",-66%,0,-100%,"2,35",+8%,"0,5",-19%,"7,06",-49%,"0,045",-93%,"0,018",-93%,-4,,A,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,Silken tofu,"['Carton', 'composite-carton']",['États-Unis'],['Germany'],,['Asda'],"['E575 - Glucono-delta-lactone', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",['Soja'],4,,,,Morinaga Nutritional Foods Inc
764,Crunchy Peanut Butter - Mississippi Belle Arkansas - 510gr,0613668024402,C,510 gr,['Mississippi Belle Arkansas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",['Sans lactose'],,['France'],"['Arachides grillées à sec ', '90%', 'sucre', 'huile végétale hydrogénée ', 'colza', 'huile de coton', 'sel']",[],49 g,en quantité élevée,7.5 g,en quantité élevée,7 g,en quantité modérée,1 g,en quantité modérée,?,,552,-8%,2310 kj(552 kcal),-8%,49,+2%,"7,5",-10%,"21,7",+51%,7,+10%,"22,8",-7%,1,+88%,"0,4",+88%,18,+64%,D,+64%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,Beurre de cacahuète,,,,,['Hyper U'],,,,,,,
765,Sirop d'érable bio - Asève - 250ml,0815126006542,A,250 ml,['Asève'],"['Aides culinaires', 'Édulcorants', 'Sirops', 'Aides à la pâtisserie', 'Sirops simples', 'Produits artisanaux', 'Sucres', ""Sirops d'érable"", ""Sirops d'érable ambrés"", ""Sirops d'érable foncés"", ""Sucres d'érable"", ""Sirops d'érable du Québec"", 'Aide culinaire sucrée', 'Produits sucrants']","['Bio', 'Ecocert', '100% naturel', 'Ecocert Canada', 'en:ca-org-006', 'CA-ORG-006']",,['France'],"[""Sirop d'érable bio""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,90 g,en quantité élevée,0.01 g,en faible quantité,1496,-12%,360,-8%,1496 kj(360 kcal),-7%,0,-100%,0,-100%,90,+72%,90,+131%,0,-100%,"0,01",-93%,"0,004",-93%,14,+1%,D,+1%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,Sirop d'érable,"['bouteille en verre', 'Sec']",['Canada'],['Canada'],,['Biocoop'],,,2,,,,
766,Pulpes de Tomates - Cirio,10003208,B,,['Cirio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",['Fabriqué en Italie'],,['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,0.02 g,en faible quantité,?,,32,+19%,134 kj(32 kcal),+22%,"0,1",-58%,"0,1",+138%,"5,3",+27%,"4,2",+19%,"1,2",+1%,"0,02",-90%,"0,008",-90%,-5,,A,,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,,,,,,,,,,,,
767,Ricola Cassis - 1boite,11507916,,1 boite,['Ricola'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'en:Confiseries', 'en:Snacks sucrés']","['en:Peu ou pas de sucre', 'en:Sans sucre']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,235,-40%,983 kj(235 kcal),-39%,0,-100%,0,-100%,98,+42%,0,-100%,0,-100%,0,-100%,0,-100%,2,-90%,B,-90%,,,,,,,,,,,,,,,,,,,,
768,Vintersaga Ginger thins - Ikea - 500g,1503742900007,C,500 g,"['Ikea', 'Sainsburys']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Contient de l'huile de palme""]",,,['France'],"['Farine de blé', 'sucre', 'margarine ', 'matières grasses et huiles végétales [palme', 'karité', 'palmiste', 'colza', 'noix de coco]', 'eau', 'sel', 'émulsifiant [E471]', 'arôme naturel', 'acidifiant [E330]', 'sirop de sucre inverti', 'poudre à lever ', 'E500', 'cannelle', 'gingembre ', '0,3%', 'clous de girofles', 'huile naturelle de citron']",['Huile de palme'],17 g,en quantité modérée,8.5 g,en quantité élevée,33 g,en quantité élevée,1.2 g,en quantité modérée,?,,462,-3%,1933 kj(462 kcal),-3%,17,-18%,"8,5",-16%,72,+12%,33,+12%,"5,4",-17%,"1,2",+104%,"0,48",+104%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['aluminium-tin'],,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E500 - Carbonates de sodium']",['Gluten'],4,,,,
