,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
905,Infusion aromatisée pomme cannelle - Lidl - 120g,3700472530155,,120 g,['Infusion aromatisée pomme cannelle'],['France'],"['Morceaux de pomme 66,7%', 'raisıns secs ', 'raisir secs', 'huile de tournesol', 'morceaux de caramel ', 'lait écrémé concentré sucré', 'sucre', 'sirop de glucose', 'matière grasse butyrique ', 'lait', 'humectant : sorbitols', 'émulsifiant E471', 'morceaux de cannelle 4%', 'arômes', 'amandes effilées', 'morceaux de gousses de vanille', ' Traces éventuelles de fruits à coques ', 'noisettes', ' et de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,?,,?,,?,,?,,,,,,,,,['Lidl'],,,,,,,,['métal'],['France'],['Lidl'],"['E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Lait'],4,,,,,,,,,,,,,,,,,,,,['France'],,,,
906,Carmencita Sal Rosa De Himalaya,8413700557460,B,,"['Epicerie', 'Condiments', 'Sels', ""Sels de l'Himalaya""]","['France', 'Allemagne', 'Espagne']",[],[],?,,0,-100%,?,,?,,?,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['Carmencita'],,,0 kj(0 kcal),0,0,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,,,-100%,-100%,-100%,,,,,,,,,,,,,
907,Beurre de choix - Migros BIO - 200g,7613269977742,E,200g,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']","['France', 'Suisse']",[],[],?,,742,+3%,82,+3%,"0,5",-32%,"0,5",-26%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['Migros BIO'],"['Bio', 'Migros Bio']",['CH-2411'],3105 kj(742 kcal),49,"0,5","0,01","0,004",,,['Migros'],,,,82 g,en quantité élevée,49 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,+4%,-8%,-19%,-99%,-99%,18,-18%,D,-18%,,,,,,,
908,Buen pan - Dulcesol - 400g,8410087412832,B,400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']","['France', 'Espagne']","['Farine de blé', 'eau', 'sucre', 'huiles végétales ', 'tournesol', 'soja', ' en proportion variable', 'dextrose', 'gluten de blé', 'levure', 'sel', 'émulsifiants: E-481 et E-471', 'conservateurs: E-282', 'E-200 et E-202', 'farine de soja', 'stabilisant E-412', 'agent de traitement de la farine: E-300 et arôme', ' Peut contenir des traces de fruits à coque geufs', 'lait', 'sésame et/ou produits dérivés Conserver dans un endroit frais et sec', 'non exposé à la lumière']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,247,-7%,"3,8",-15%,43,-6%,"8,1",-4%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,['Dulcesol'],,,1033 kj(247 kcal),"0,6",4,"1,2","0,48",,,,"['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E300 - Acide ascorbique']","['Gluten', 'Soja']",4,3.8 g,en quantité modérée,0.6 g,en faible quantité,4 g,en faible quantité,1.2 g,en quantité modérée,-8%,-7%,-23%,+5%,+5%,3,+107%,C,+107%,,,,,,,
909,Pizza jambon cuit et mini mozzarella (BIO) - la pizza bio - 430g,3664042002483,,430 g,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],?,,200,-13%,"5,1",-39%,"27,7",+3%,"10,5",+2%,,,,,,,,['la pizza bio'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'IT-BIO-005', 'Fabriqué en Italie']",,837 kj(200 kcal),"3,1","2,1","1,7","0,68",['Blister'],['Italie'],,,,,5.1 g,en quantité modérée,3.1 g,en quantité modérée,2.1 g,en faible quantité,1.7 g,en quantité élevée,-13%,-21%,-29%,+36%,+36%,7,-10%,C,-10%,,,,,,,
910,Yaourt nature,3291330008843,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['France'],[],[],?,,64,-11%,"2,7",-25%,"4,3",-12%,"4,6",+11%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,268 kj(64 kcal),"1,6","4,3","0,15","0,06",,,,,,,2.7 g,en faible quantité,1.6 g,en quantité modérée,4.3 g,en faible quantité,0.15 g,en faible quantité,-10%,-31%,-3%,+25%,+25%,-1,-277%,A,-277%,,,,,,,
911,Flans au lait fermier - Monoprix gourmet - 280g,3350033118768,B,280g,"['Biscuits et gâteaux', 'Pâtisseries', 'Flans pâtissiers']",['France'],"['Lait fermier 65% - œufs - sucre - amidon de maïs transformé - amidon de maïs - sUcre glace - colorant: caroténoïdes - arôme naturel de vanille', ' Traces de gluten', 'fruits à coque', 'graines de sésame et soja', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",['Non végétalien'],?,,165,-21%,"3,7",-52%,29,-0%,4,+9%,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,['Monoprix gourmet'],,"['FR 79.012.005 CE', 'Ardin (Deux-Sèvres, France)']",690 kj(165 kcal),"2,7",21,"0,15","0,06",['2'],,['Monoprix'],['E160 - Caroténoïdes'],['Œufs'],4,3.7 g,en quantité modérée,2.7 g,en quantité modérée,21 g,en quantité élevée,0.15 g,en faible quantité,-22%,-42%,+19%,-38%,-38%,6,-38%,C,-38%,,,,,,,
912,Fusilli - De Cecco - 500g,8001250006202,C,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur', 'it:pasta-integrale']","['France', 'Italie']",['Pâtes de semoule de blé dur complète de qualité supérieure'],[],?,,347,-2%,"1,3",-20%,68,+2%,12,-2%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['De Cecco'],['Fabriqué en Italie'],,1452 kj(347 kcal),"0,5","3,2",0,0,"['Carta', 'Plastica']",,['Il viaggiator goloso'],,,,1.3 g,en faible quantité,0.5 g,en faible quantité,3.2 g,en faible quantité,0 g,en faible quantité,-2%,+55%,+13%,-100%,-100%,-6,,A,,,,,,,,
913,Puree de myrtilles - Côteaux Nantais - 350g,3301597004493,,350g,,['France'],"['myrtilles* ', '100%', "" Ingrédient issu de l'agriculture biologique Sans sucres ajoutés conformément à la réglementation en vigueur Contient des sucres naturellement présent""]",[],288,,69,,"0,9",,"9,1",,"0,9",,,,,,,,,['Côteaux Nantais'],"['Bio', 'Bio européen', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,288 kj(69 kcal),0,"9,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,6 Oeufs bio de poules élevées en plein air -,3251320883263,C,,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",['France'],[],[],?,,155,+12%,5,-50%,"1,1",+77%,13,+4%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']","['0FRHOC01', '0FRSKG01']",649 kj(155 kcal),"0,7","1,1",1,"0,4",,,,,,,5 g,en quantité modérée,0.7 g,en faible quantité,1.1 g,en faible quantité,1 g,en quantité modérée,+12%,-72%,+119%,+268%,+268%,0,,B,,,,,,,,
915,Semola di grano duro - Barilla,8076800305012,,,,['France'],[],[],?,,351,,"1,5",,"71,8",,11,,,,,,,,,['Barilla'],,,1469 kj(351 kcal),"0,3","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"Panés céréales lentilles corail courgette curry - U - 2unités, 100g",3256227087820,,"2unités, 100 g",,['France'],"['Préparation à base de lentilles corail et de FROMAGE 70% : FROMAGE au LAIT de vache 13% ', 'FROMAGE au LAIT de vache', 'antiagglomérant : amidon de pomme de terre', 'lentilles corail précuites ', 'eau', 'lentilles corail 4,7%', 'pommes de terres précuites ', 'pommes de terre', 'sel', 'courgettes 7%', 'BOULGOUR précuit 7% ', 'eau', 'BOULGOUR 2,2%', 'oignons préfrits ', 'oignons', 'huile de tournesol', 'tomates semi-séchées marinées ', 'tomates', 'huile de colza', 'sel', 'ail', 'origan', 'eau', 'GLUTEN DE BLE', 'fibres de BLÉ ', 'fibres de BLE et de psyllium', 'fécule de manioc', 'vinaigre', 'plante aromatique', ""blanc d'OEUF en poudre"", 'curry 0,4% ', 'curcuma', 'cumin', 'coriandre', 'piment fort', 'sel', 'ail déshydraté', 'gingembre', ' Enrobage 30% : chapelure ', 'farine de BLE', 'levure', 'sel', 'enrobant ', 'eau', 'farine de BLE', 'huiles végétales ', 'tournesol', 'colza', ' [ % exprimés sur la totalité du produit]', ' Produit Fabriqué dans un atelier qui utilise du poisson', 'mollusque', 'soja et céleri']",['Non végétalien'],967,,231,,10,,23,,"9,6",,,,,,,,,"['U', 'U Bon & Végétarien']","['Sans arômes artificiels', 'en:FSC', 'Transformé en France']",,967 kj(231 kcal),"2,7","1,9","0,82","0,328",['Frais'],,['Magasins U'],,"['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,
917,Haricots blancs cuisinés extra,3450120012075,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Haricots blancs cuisinés']",['France'],[],[],?,,103,+14%,0,-100%,16,+39%,"7,3",+35%,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-027-RI']",,431 kj(103 kcal),0,0,"0,9","0,36",,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,+15%,-100%,-100%,+32%,+32%,0,,B,,,,,,,,
918,Véritables Rillettes du Mans sans conservateurs - Casino - 220g,3222477070080,C,220 g,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",['France'],"['Viande de porc 90 % ', 'origine : France', ' - gras de porc - sel - poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1772,+8%,429,+7%,41,+10%,0,-100%,15,-5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Casino'],,,1772 kj(429 kcal),15,0,"1,2","0,48",['Pot'],,['Casino'],,,3,41 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+6%,+5%,-100%,-4%,-4%,20,+3%,E,+3%,Rillettes du Mans supérieures,,,,,,
919,Suaves Lonchas - Burgo de Arias - 125g,3090291117379,D,125g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en tranches']","['France', 'Espagne']",[],[],1544,+11%,375,+10%,33,+23%,"0,5",-51%,19,-18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Burgo de Arias', 'Arias', 'Savencia']",,"['EMB 53014B', 'Azé (Mayenne, France)', 'FR 53.014.001 CE', 'Azé (Mayenne, France)']",1544 kj(375 kcal),23,"0,5","1,1","0,44",['Frais'],,,,,,33 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,+9%,+26%,-27%,-36%,-36%,13,-17%,D,-17%,Queso tierno,,,,,,
920,Fruits Muesli et Noix - JIBAL - 110g,6111246953518,,110g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['France', 'Maroc']",['المكونات : حليب كامل الدسم، سكر، مستحضر الموسلي والجوز، مادة التكثيف، نشا، بروتينات الحليب، مسحوق الحليب، خمائر حليبية'],[],434,+18%,103,+12%,3,-8%,"16,5",+50%,3,-20%,,,,,,,,['JIBAL'],,['LPL.65.01.13'],434 kj(103 kcal),2,"13,5","0,13","0,052",['pot plastic'],['Beni-Mellal Morocco'],['Marjane'],,,,3 g,en quantité modérée,2 g,en quantité modérée,13.5 g,en quantité élevée,0.13 g,en faible quantité,+13%,-2%,+34%,+13%,+13%,3,-2%,C,-2%,,,['Maroc'],http://www.jibal.ma,,,
921,Yogos kiwi - Migros - 180Grammes,7613404050415,C,180 Grammes,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au kiwi']","['France', 'Suisse']","['Yogourt à la crème ', 'lait écrémé [CH', 'crème ', 'CH', 'protéines du lait', 'kiwi et purée de kiwi 9,6%', 'sucre 7,4% épaississant: pectine', 'aliment colorant', 'arômes', ' Au lait écrémé et crème pasteurisés']",['Non végétalien'],?,,?,,?,,?,,?,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Migros'],,,,,,,,,,['Migros'],['E440 - Pectines'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,
922,Chocolat noir & Amandes + Biscuit - Gnaw - 100g,5060463490966,D,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",['France'],"['masse de cacao ', 'sucre ', 'beurre de cacao', 'amandes effilées ', '7%', 'biscuit * ', '5%', ' ', 'farine * ', 'blé', 'beurre ', 'lait', 'sucre', 'sel marin', ""poudre de vanille ingrédients issus de l'agriculture biologique"", ' Le chocolat noir contient des matières solides de cacao 58% min', ' Pour les allergènes', 'voir les ingrédients en gras', ' Ce produit a été fabriqué dans un atelier qui utilise régulièrement des noix', 'du gluten', 'des rie arachides et des produits contenant du lait']",['Non végétalien'],?,,560,+1%,39,+2%,"42,9",+6%,"6,3",-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Gnaw'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'GB-ORG-05']",,2343 kj(560 kcal),"22,2","38,4","0,1","0,04",['Plastique'],,,,"['Gluten', 'Lait']",4,39 g,en quantité élevée,22.2 g,en quantité élevée,38.4 g,en quantité élevée,0.1 g,en faible quantité,+1%,+14%,+10%,+58%,+58%,24,+12%,E,+12%,,,,,,,
923,Chocolat au lait aux noisettes grillées - HAZELNUT MULK - 100g,5400113614197,,100g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']","['Belgique', 'France']","['sUcre', '25% noisettes grillées', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'matières grasses laitières émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille']",['Non végétalien'],?,,590,+7%,42,+15%,42,-9%,9,+24%,,,,,,,,['HAZELNUT MULK'],"['Agriculture durable', 'en:UTZ Certified']",,2469 kj(590 kcal),17,38,"0,1","0,04",['Papier'],,['Delhaize'],['E322i - Lécithine'],['Soja'],4,42 g,en quantité élevée,17 g,en quantité élevée,38 g,en quantité élevée,0.1 g,en faible quantité,+7%,-19%,-8%,-28%,-28%,20,-15%,E,-15%,,,,,,,
924,Jamon serrano reserva - Realvalle,20077792,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']","['France', 'Espagne']","['jamón de cerdo', 'sal', 'azúcar', 'conservadores: nitrato potásico', 'nitrito sódico', ' antioxidante: ascorbato sódico']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,240,+0%,12,-5%,0,-100%,33,+9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Realvalle'],"['en:gluten-free', 'Point Vert']",,1004 kj(240 kcal),"4,4",0,"5,4","2,16",,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,3,12 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,5.4 g,en quantité élevée,+1%,-6%,-100%,+15%,+15%,16,-2%,D,-2%,,,,,,,
925,Vieira Cream Crackers 200Gr,5601008100119,,,,['France'],[],[],?,,427,,"14,8",,64,,"9,5",,,,,,,,,['Vieira'],,,1787 kj(427 kcal),"7,9","1,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Lemon Balm,20782252,,,,['France'],[],[],?,,232,,"0,5",,94,,"0,5",,,,,,,,,,['Fabriqué en Allemagne'],,971 kj(232 kcal),"0,1","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,"Pavé de saumon atlantique avec peau, salmo salar - U - élevé en Norvège, 2pièces, barquette, 250g",3256227361050,D,"élevé en Norvège, 2 pièces, barquette, 250 g","['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],['Saumon'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,1,+139%,"20,5",+1%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,"['U', 'U Bio']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10', 'Transformé en France']","['FR 62.160.729 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,"2,7",0,"0,09","0,036",['Frais'],,"['Magasins U', 'Super U']",,['Poisson'],1,,,2.7 g,en quantité modérée,0 g,en faible quantité,0.09 g,en faible quantité,,+33%,-100%,-75%,-75%,,,,,,,,,,,
928,Epinard branches à la crème - U - 1kg,3256227124396,B,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",['France'],"['Épinards branches ', 'France', ' 70%', 'eau', 'CREME fraîche ', 'France', ' 7%', 'LACTOSE et PROTEINES DE LAIT', 'amidon de riz', 'sel', 'farine de BLE', 'arômes naturels', "" Traces éventuelles d'autres céréales contenant du gluten"", 'oeufs', 'céleri', 'poissons', 'crustacés', 'soja', 'fruits à coques', 'graines de sésame et moutarde']","['Non végétalien', 'Non végétarien']",210,+69%,50,+32%,"2,7",+84%,"3,7",+86%,2,-26%,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,['U'],"['Fruits et Légumes de France', 'Transformé en France', 'Légumes de France', 'AGRICONFIANCE']",,210 kj(50 kcal),"1,8","0,8","0,7","0,28",['Surgelés'],,['Magasins U'],,"['Gluten', 'Lait', 'PROTEINES']",4,2.7 g,en faible quantité,1.8 g,en quantité modérée,0.8 g,en faible quantité,0.7 g,en quantité modérée,+35%,+174%,+14%,+111%,+111%,-3,,A,,,,,,,,
929,Carbonell Aceite De Oliva Virgen Extra Arbequina - 1l,8410010261865,C,1 l,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['France', 'Espagne']",[],[],?,,900,+5%,100,+5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Carbonell'],['es:Extracción en frio'],,3766 kj(900 kcal),15,0,0,0,"['Botella', 'Plástico']","['Alcolea (Córdoba)', 'España']",['Carrefour'],,,,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+7%,,-100%,-100%,6,-2%,C,-2%,,,['Espagne'],,,,
930,Les cuisinés - Lasagnes à la Bolognaise - Auchan - 1kg,3596710470709,D,1 kg,"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Plats préparés surgelés', 'Lasagnes à la bolognaise']",['France'],"['Eau', 'pâtes cuites 20% ', 'semoule de blé dur', 'eau', 'viande de boeuf 13% ', 'origine France', 'concentré de tomates 12%', 'tomates pelées concassées 5,5% ', 'tomates', 'jus de tomates', 'oignons 5%', 'crème fraîche 2,5% ', 'lait', 'emmental 2% ', 'lait', 'amidon de maïs', 'carottes', 'huile de colza', 'ail', 'sel', ""jus concentré d'oignons"", 'lait écrémé en poudre', 'sucre', 'farine de blé', 'basilic', 'thym', 'muscade', ' Traces éventuelles de poisson', 'crustacés', 'mollusques', 'oeufs', 'soja', 'céleri', 'moutarde et graines de sésame']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,135,+1%,"6,2",+2%,14,+12%,"5,1",-19%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,['Auchan'],"['Produit en braille', 'Nutriscore', 'Nutriscore B']",,565 kj(135 kcal),"2,5","3,3","0,72","0,288",,,['Auchan'],,"['Gluten', 'Lait']",3,6.2 g,en quantité modérée,2.5 g,en quantité modérée,3.3 g,en faible quantité,0.72 g,en quantité modérée,+1%,-1%,+21%,-9%,-9%,2,-13%,B,-13%,,,,,,,
931,Pur jus de Grenade - Bostan - 750ml,3770004172115,,750 ml,['Jus de fruit pressée'],['France'],"['100% jus de grenade', ' Une bouteille équivaut à environ 6 à 8 grenades']",[],?,,60.5,,15,,15,,"0,03",,,,,,,,,['Bostan'],"['Bio', 'Sans sucre ajouté']",,253 kj(60 kcal),0,13,"0,03","0,012",['Bouchon en plastique'],,['Naturalia'],,,1,15 g,en quantité modérée,0 g,en faible quantité,13 g,en quantité élevée,0.03 g,en faible quantité,,,,,,-3,,A,,,,,,,,
932,Monster energy juiced Mango Loco,5060517889906,,,"['Boissons', 'Boissons énergisantes']","['Belgique', 'France']","['Eau Gazéifiée', 'jus de fruits à base de concentré ', '15%', ' ', 'raisin blanc', 'mangue', 'goyave', 'pomme', 'ananas', 'fruit de la passion', 'abricot', 'pêche', 'orange', 'citron', 'sucre', 'sirop de glucose', 'acidifiant ', 'acide citrique', 'taurine ', '0', '4%', ""correcteurs d'acidité "", 'citrate de potassium', 'citrate de sodium', 'arôme', 'maltodextrine', 'conservateurs ', 'sorbate de potassium', 'benzoate de sodium', 'caféine ', '0', '03%', 'stabilisants ', 'gomme xanthane', 'alginate de sodium', 'vitamines [B2 ', 'riboflavine', 'B3 bricotinamide', 'B6 ', 'chlorhydrate de pyridoxine', 'B12 ', 'cyanocobalamine', ']', 'édulcorant ', 'sucralose', 'L-tartrate de L-carnitine ', '0', '004%', 'chlorure de sodium', 'inositol ', '0', '002%', 'colorant ', 'carotènes', 'huiles végétales ', 'noix de coco', 'graines de colza', 'amidon modifié']",[],211,+42%,49,+36%,?,,12,+50%,?,,,,,,,,,"['Monster Energy', 'Monster', 'Monster Energy Company']","[""Fabriqué dans l'UE""]",,211 kj(49 kcal),,12,"0,04","0,016",,,,"['E330 - Acide citrique', 'E332 - Citrates de potassium', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E955 - Sucralose', 'E160 - Caroténoïdes', 'E14XX - Amidons modifiés']",,4,,,,,12 g,en quantité élevée,0.04 g,en faible quantité,+42%,,+65%,-65%,-65%,,,,,,,,,,,
933,Soufflés à base de maïs à la cacahuète - U - 200g,3256227110948,,200 g,['Soufflé aux cacahouètes'],['France'],"['Semoule de maïs ', 'france', ' 61%', 'cacahuetes grillées 32%', 'huile de tournesol 5%', 'sel', 'base aromatisante goût épicé ', 'arôme naturel', 'cacao en poudre', 'poivre noir', ' traces éventuelles de lait et fruits à coque']",[],1974,,471,,21,,55,,13,,,,,,,,,['U'],"['Transformé en France', 'Maïs de France']",,1974 kj(471 kcal),3,"1,4","1,5","0,6",,['France'],['Magasins U'],,['Arachides'],4,21 g,en quantité élevée,3 g,en quantité modérée,1.4 g,en faible quantité,1.5 g,en quantité modérée,,,,,,8,,C,,,,['France'],,,,
934,Cauldron Foods Marinate Tofu 160G,5013683305466,B,160g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['France', 'Royaume-Uni']","['*Tofu ', '91%', '[Water', '*Soybeans', 'Firming Agent: Calcium Sulphate]', 'Marinade [Water', 'Salt', '*Corriander', '*Paprika', '*Pepper', '*Ginger', '*Mace', '*Tumeric', '*Chilli', 'Natural Flavours', '*Onion', '*Garlic', '*Maize Starch', '*Herbs', 'Citric Acid]', '*Sunflower Oil', ' *Produced under Organic Standards']","['Sans huile de palme', 'Végétalien', 'Végétarien']",965,+64%,232,+57%,17,+95%,1,-54%,18,+29%,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,['Cauldron'],"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Contient du soja', 'Ne pas congeler', 'Agriculture UE', 'Agriculture UE/Non UE', 'Riche en protéines', 'NL-BIO-01', 'Sans OGM', 'en:Vegetarian Society', ""À l'huile de tournesol"", 'en:Made in the Netherlands']",,965 kj(232 kcal),"2,5",1,"1,5","0,6","['card-sleeve', 'pp-tub', 'mixed plastic-film']",['United Kingdom'],"[""Sainsbury's""]","['E516 - Sulfate de calcium', 'E330 - Acide citrique']",['Soja'],4,17 g,en quantité modérée,2.5 g,en quantité modérée,1 g,en faible quantité,1.5 g,en quantité modérée,+55%,+75%,+61%,+119%,+119%,3,,C,,Marinated soybean curd,,['Pays-Bas'],https://www.cauldronfoods.co.uk/products/tofu/organic-marinated-tofu-pieces,,,
935,Steaks hachés,20293185,E,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],[],?,,218,+17%,15,+21%,0,-100%,20,+5%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Viande Française', 'Viande-bovine-francaise']",,912 kj(218 kcal),"5,7",0,"0,1","0,04",,,,,,,15 g,en quantité modérée,5.7 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,+16%,+9%,-100%,-54%,-54%,2,-27%,B,-27%,,,,,,,
