,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
979,Manhattan Eyeliner Original Japanese Ink black,4002554155324,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,,
980,Bordeaux Rosé,3354902001069,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins rosés', 'Bordeaux Rosé']",,,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,['France'],,,,,,,,
981,Olive oil lemon,5200114490093,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","15,3",0,0,0,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,91.6 g,en quantité élevée,15.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,+9%,,,,-100%,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
982,4010355881342,4010355881342,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Pâté de foie de porc (piment d’Espelette),3280950000818,['France'],[],[],?,441,1845 kj(441 kcal),42,17,"0,7","0,5",14,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,4010355339515,4010355339515,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,burger bacon chèvre,0209565025583,['France'],[],[],?,215,900 kj(215 kcal),"9,5","4,9",23,4,"8,9","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,4010355339508,4010355339508,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,4010355897015,4010355897015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Chupa Chups XXL,4602606014519,['France'],[],[],?,361,1510 kj(361 kcal),0,0,89,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Sante Coverstick No. 03,4025089060925,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,,
990,Banane Cavendish,0211236007026,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,La nature en confiture groseilles épépinées,3455149000348,['France'],[],[],?,224,937 kj(224 kcal),"0,5","0,1",51,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Pain complet,0207001007810,['France'],[],[],?,217,908 kj(217 kcal),"1,9","0,6",40,"1,5","9,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,La vache qui rit,3073766460286,['France'],[],[],?,990,4142 kj(990 kcal),"18,5","12,5","6,5","6,5","11,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Assortiments de gâteux de lune,3364691366812,['France'],[],[],?,375,1569 kj(375 kcal),"13,5",5,56,30,"6,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Amandes grillées aux épices,2600334036010,['France'],[],[],?,634,2653 kj(634 kcal),55,4,"5,7","1,8",24,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Filet de poulet - Maître Coq,3230890050022,['France'],[],[],?,221,925 kj(221 kcal),"9,2","1,2",18,"2,1",16,"1,1","0,44",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,9.2 g,en quantité modérée,1.2 g,en faible quantité,2.1 g,en faible quantité,1.1 g,en quantité modérée,,+69%,+70%,+219%,+61%,+3658%,+764%,-30%,+47%,+47%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Maître Coq'],,,,,,,,,
997,Baguette africaine,3276168572100,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,
998,Plateau panache Halal,2462626021650,['France'],[],[],?,205,858 kj(205 kcal),"14,75","4,19","0,71","0,35","17,67","1,69","0,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 53.121.001 CE', 'Javron-les-Chapelles (Mayenne, France)']",,,,,,,,,,,
999,Cocteleo Fantasia,8410564033222,['France'],[],[],?,533,2230 kj(533 kcal),32,11,53,"1,7","6,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Sablés fourrés pomme -,3257986878216,['France'],[],[],?,491,2054 kj(491 kcal),22,14,66,38,6,"0,58","0,232",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']","['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore E', 'AB Agriculture Biologique']",22 g,en quantité élevée,14 g,en quantité élevée,38 g,en quantité élevée,0.58 g,en quantité modérée,,+0%,-0%,-6%,+1%,+5%,+50%,-3%,-15%,-15%,26,+19%,E,+19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
1001,Gaspacho Andalou - Sains et Saufs,3770009733403,['France'],[],[],?,43,180 kj(43 kcal),"4,1","0,5","1,4","0,8","0,4","0,4","0,16",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Nutriscore', 'Nutriscore A']",4.1 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en faible quantité,0.4 g,en quantité modérée,,+5%,+4%,+67%,+30%,-58%,-69%,-49%,-40%,-40%,1,-16%,B,-16%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,['Sains et Saufs'],,,,,,,,,
1002,"Jus de raisins ""Grandeur Nature""",3760136840181,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,1",16,16,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Frisk white,87333473,['France'],[],[],?,13,54 kj(13 kcal),0,0,"5,3",0,0,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Pack nouilles légumes,3002820,['France'],[],[],?,483,2021 kj(483 kcal),"20,2","12,5",64,"1,6","7,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Liguini aux cèpes - Colomba,3336100002123,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FR 2A.004.008 CE'],,['Colomba'],,,,,,,,,
1006,Meringue vanille,0252032012463,['France'],[],[],?,281,1176 kj(281 kcal),0,0,67,65,"3,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Chinotto di Sicilia,8018005208286,['France'],[],[],?,50,209 kj(50 kcal),0,0,"12,7","12,2","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Jambon à l'ancienne,2453637024938,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+28%,+20%,+1%,+3%,-1%,-3%,-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['EMB 23004B', 'Anzême (Creuse, France)']",,,,,,,,,,,
1009,Beignets,0220407013124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Manette Game Cube,0873124007169,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Macaron,0252147032141,['France'],[],[],?,455,1904 kj(455 kcal),24,"6,6",50,42,"9,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Billes de maïs soufflé enrobées de chocolat noir,3770006856594,['France'],[],[],?,535,2238 kj(535 kcal),33,22,51,45,"5,9",,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Calcium et magnésium marine minéral complex,5060083071293,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Escalope de dinde,2614162013914,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
1015,Saucisse couteau,2103278021208,['France'],[],[],?,218,912 kj(218 kcal),17,"5,8","0,5","0,5",16,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Saucisse oignon muscadet,2103012021280,['France'],[],[],?,212,887 kj(212 kcal),27,16,57,"0,6",16,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,La rhubarbe à papa,8719109784415,['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,5","0,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Pain nordique,0217003010435,['France'],[],[],?,282,1180 kj(282 kcal),"8,4",1,40,"1,1","9,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,0016418109747,0016418109747,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Barre keto amande et pistache,5425035700049,['France'],[],[],?,483.4,2023 kj(483 kcal),35,"20,6","10,2","8,4","5,5","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Pain d'épices Rhum/raisins de rochefort-en-terre,3559710002554,['France'],[],[],?,315,1318 kj(315 kcal),"2,5","0,4","68,9","40,84","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Aqua Minerale Naturale,8007513900508,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Ozi box,8681812047029,['France'],[],[],?,394,1648 kj(394 kcal),"0,62","0,28","96,75","83,22","0,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Chocolat noir 71% - Le Chocolat des Français - 30g,3701198802120,['France'],[],[],?,566,2368 kj(566 kcal),"43,2",26,"29,1","25,6",8,"0,02","0,008",30 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']","['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01']",43.2 g,en quantité élevée,26 g,en quantité élevée,25.6 g,en quantité élevée,0.02 g,en faible quantité,,+3%,+3%,+19%,+23%,-37%,-38%,+10%,-86%,-86%,22,-6%,E,-6%,,,,,,,,,,['Le Chocolat des Français'],,,,,,,,,
1025,Hommos Tahina,6191460400234,['France'],[],[],?,220,920 kj(220 kcal),7,"0,5",33,6,12,33,"13,2",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,7 g,en quantité modérée,0.5 g,en faible quantité,6 g,en quantité modérée,33 g,en quantité élevée,,-16%,-16%,-65%,-80%,+211%,+348%,+85%,+3073%,+3073%,13,+161%,D,+161%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,
1026,Crispyzz fraise,5413401001944,['France'],[],[],?,323,1351 kj(323 kcal),"3,7","0,3",51,50,"7,6",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Poulet blanc,0203339041465,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Crispyzz mangue,5413401001906,['France'],[],[],?,323,1351 kj(323 kcal),"2,4","0,5",67,67,"3,2","10,07","4,028",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Coeur de thierache,3340040000071,['France'],[],[],?,340,1423 kj(340 kcal),26,17,"0,5","0,5","22,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Fromage de chèvre fermier,3760117980042,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,
1031,Découpe de poulet jaune,0263221026703,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Lucile Noyeau,7640153860132,['France'],[],['Sans huile de palme'],?,64,268 kj(64 kcal),"3,5","1,5","6,7","6,7","1,4","0,6","0,24",,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Boulot coupé,0214159006893,['France'],[],[],?,235,983 kj(235 kcal),"1,5","0,3",47,"2,2","7,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Filet de poulet,0213400034500,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,,,
1035,Les mélanges - Noberasco,8005120221351,['France'],[],[],?,596,2494 kj(596 kcal),47,"5,7",21,"8,3",18,"3,85","1,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Noberasco'],,,,,,,,,
1036,Raisin,2802212014763,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Hibiscus Sec,8422193000858,['France'],[],[],?,350.14,1465 kj(350 kcal),0,0,88,80,0,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Sirop de thym,32800012,['France'],[],[],?,50,209 kj(50 kcal),0,0,5,5,0,0,0,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Salade piémontaise,0204273027294,['France'],[],[],?,156,653 kj(156 kcal),11,"1,1","7,4","0,7","6,4","0,82","0,328",,C,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']",,11 g,en quantité modérée,1.1 g,en faible quantité,0.7 g,en faible quantité,0.82 g,en quantité modérée,,+4%,+5%,+3%,+7%,-11%,-3%,+57%,-18%,-18%,2,-40%,B,-40%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,,,,,,
1040,Pot au feu de canard aux 6 legumes - Fleurons de Lomagne - 585g,3700428406619,['France'],[],[],?,55,230 kj(55 kcal),"2,4","0,5","1,8","1,6",6,"0,7","0,28",585 g,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard']",,2.4 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en faible quantité,0.7 g,en quantité modérée,,-77%,-77%,-86%,-92%,-57%,+117%,-59%,-39%,-39%,0,-100%,B,-100%,80.1%,13.0%,2.0%,3.0%,1.1%,0.8%,38,,,['Fleurons de Lomagne'],,,,,,,,,
1041,Fougasse olives,0257727015743,['France'],[],[],?,364,1523 kj(364 kcal),20,"8,2",33,"0,9",12,"2,6","1,04",,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses']",,20 g,en quantité modérée,8.2 g,en quantité élevée,0.9 g,en faible quantité,2.6 g,en quantité élevée,,+21%,+21%,+83%,+70%,-12%,-55%,+12%,+77%,+77%,22,+63%,E,+63%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,
1042,Jardin Andalous - Palais des Thés,3700256732447,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,
1043,Jardin fruité - Palais des Thés,3700256732508,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,
1044,Amandes Entières Chocolat Noir - Mandy's - 165g,3760278560138,['France'],[],[],?,560,2343 kj(560 kcal),"39,6","16,5","37,4","35,5","8,2","0,16","0,064",165 g,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Amandes enrobées de chocolat']","['Bio', 'Bio européen', 'NL-BIO-01']",39.6 g,en quantité élevée,16.5 g,en quantité élevée,35.5 g,en quantité élevée,0.16 g,en faible quantité,,-1%,-1%,-2%,+1%,+2%,+7%,-25%,+68%,+68%,23,+1%,E,+1%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,"[""Mandy's""]",,,,,,,,,
1045,Filets d'anchois dans l'huile de tournesol,8410102201984,['France'],[],[],?,210,879 kj(210 kcal),"9,7","2,2",0,0,"28,9","9,2","3,68",,B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,9.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,9.2 g,en quantité élevée,,+3%,+1%,-23%,-9%,-100%,-100%,+39%,+35%,+35%,14,+12%,D,+12%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,,,,
1046,Peperoncini,8007548009283,['France'],[],[],?,232,971 kj(232 kcal),19,16,11,"1,9","4,8","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Cacahuète caramélisées,2081050200013,['France'],[],[],?,524,2192 kj(524 kcal),30,"3,9",44,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Tortilla de pomme de terre - 450g,3461007259667,['France'],[],[],?,157.39999389648,659 kj(157 kcal),"9,8","1,7","10,9",1,"5,7","1,4","0,56",450 g,B,"['Plats préparés', 'Omelettes de pommes de terre']",,9.8 g,en quantité modérée,1.7 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,,-1%,-0%,+4%,-3%,-8%,+6%,+9%,+31%,+31%,5,+33%,C,+33%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,,,,,,,,,,,,
1049,Gourmand au miel et aux amandes,3279130112489,['France'],[],[],?,335,1402 kj(335 kcal),"0,9","0,32","76,9","48,4","4,3","0,197","0,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Confiture de poire et framboise,3760085100770,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
1051,Canard a foie gras du sud ouest,2672677054587,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Canards']",,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
1052,Dips Sésame - Léa Nature,3456300013436,['France'],[],[],?,405,1695 kj(405 kcal),"8,3","1,3","65,8","1,5","13,5","1,9","0,76",,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Léa Nature'],,,,,,,,,
1053,Queen Pancakes,4260505020859,['France'],[],[],?,358,1498 kj(358 kcal),2,"0,7",27,"2,5",55,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Fruités du Cap Gris-Nez - 230g,3770001691336,['France'],[],[],?,329,1377 kj(329 kcal),27,20,"1,2","0,5",18,"1,9","0,76",230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Brioche au saucisson cuit veritable de Lyon,0223087035752,['France'],[],[],?,301,1259 kj(301 kcal),20,10,18,2,13,1,"0,4",,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Saucissons briochés']",,20 g,en quantité modérée,10 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,,-4%,-1%,+5%,+15%,-17%,-24%,-4%,-36%,-36%,16,-9%,D,-9%,73.3%,15.3%,2.8%,2.3%,1.3%,5.0%,43,,,,,,,,,,,,
1056,Limonade fruits des bois,2010000364543,['France'],[],[],?,30,126 kj(30 kcal),0,0,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 62412', 'Hardinghen (Pas-de-Calais, France)']",,,,,,,,,,,
1057,Pizza party,4251362150704,['France'],[],[],?,375,1569 kj(375 kcal),"5,1","1,5","39,6","3,1","33,9","2,51","1,004",,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Wodka Stolichnaya 40% 500ML Wyborowa,4600659010755,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,
1059,4062800008064,4062800008064,['France'],[],[],?,?,,?,,?,,?,,,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Banane,2860194007746,['France'],[],[],?,60,251 kj(60 kcal),7,5,8,6,30,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,7 g,en quantité modérée,5 g,en quantité modérée,6 g,en quantité modérée,0 g,en faible quantité,,-39%,-39%,+3186%,+5588%,-63%,-60%,+2400%,-100%,-100%,-5,,A,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
1061,Fleur de sel du bassin d'Arcachon,3770011498055,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Lomo,8421395334440,['France'],[],[],?,199,833 kj(199 kcal),5,"1,9","0,5","0,5",38,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Confiserie,2600280013127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Mira Sushi,3209045014950,['France'],[],[],?,152,636 kj(152 kcal),0,0,0,0,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Earl grey,67953,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Huile aromatique BASILIC,3700758102069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Foie Gras Francese Di Oca Intero,3332270006107,['France'],[],[],?,452,1891 kj(452 kcal),43,14,5,"0,5",12,"2,8","1,12",,B,"['Poissons et viandes et oeufs', 'Foies gras']",,43 g,en quantité élevée,14 g,en quantité élevée,0.5 g,en faible quantité,2.8 g,en quantité élevée,,-11%,-11%,-18%,-37%,+115%,-63%,+72%,+131%,+131%,25,+21%,E,+21%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,
1068,Terrine de campagne au pain d’épices - 100g,3760019310381,['France'],[],[],?,174,728 kj(174 kcal),17,7,6,"3,5","12,2","1,5","0,6",100 g,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,17 g,en quantité modérée,7 g,en quantité élevée,3.5 g,en faible quantité,1.5 g,en quantité modérée,,-46%,-46%,-40%,-35%,+162%,+303%,-13%,-6%,-6%,14,-28%,D,-28%,,,,,,,,,,,,,,,,,,,
