,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
274,Paris brest,0209172011818,['France'],[],[],?,296,1238 kj(296 kcal),23,13,17,11,"5,2","0,38","0,152",,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,23 g,en quantité élevée,13 g,en quantité élevée,11 g,en quantité modérée,0.38 g,en quantité modérée,,-15%,-15%,-9%,-1%,-35%,-30%,-7%,+9%,+9%,16,-10%,D,-10%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,
275,Glace Fermière,3760123340007,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Grenier Medocain,2473689021389,['France'],[],[],?,192,803 kj(192 kcal),12,"5,8","1,8","1,4",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,SNEAK Purple storm,5056090907038,['France'],[],[],?,4,17 kj(4 kcal),0,0,1,"0,2",0,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Biscuits au beurre et aux noisettes,7633400030327,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Pizza merguez,2206169028536,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Organic ECO slim filters,5903111503116,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Riz basmati 20 kg,2088854165760,['France'],[],[],?,160,669 kj(160 kcal),"0,3",0,36,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Iglo,9008695962529,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Iglo'],,,,,,,,,
283,Iglo,9008695976519,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Iglo'],,,,,,,,,
284,Vin blanc,3035131114910,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,9000143042029,9000143042029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Compote de pommes - Freshona,17597719,['France'],[],[],?,68,285 kj(68 kcal),3,1,15,14,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Freshona', 'Lidl']",,,,,,,,,
287,Crêpes dentelle chocolat noir,3488430103299,['France'],[],[],?,485,2029 kj(485 kcal),21,13,66,46,5,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Baguette,9256150087069,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Pain complet 400g,0201475008861,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Toasted corn,5028977010575,['France'],[],[],?,430,1799 kj(430 kcal),"11,5","4,2",34,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
