,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,ingredients_origins,nutriment_saturated-fat_tr_diff,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,traceability_code,generic_name,manufacturing,link,markets,additives,allergens,nova_score,brand_owner,palm_ingredients,producer_info
955,Haricots Blancs - M. de Turenne,3339330500599,,['France'],[],[],?,109,"2,7","0,7",13,"5,3",456 kj(109 kcal),"1,5","0,83","0,332",,['en:Haricots blancs'],,+3%,+419%,-4%,-8%,,,,,,,,['M. de Turenne'],,+443%,,2.7 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en faible quantité,0.83 g,en quantité modérée,+2%,+223%,+62%,+62%,1,,B,,,,,,,,,,,,,
956,Plante rose,3373020002291,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Millefeuille,3071130400159,,['France'],[],[],?,?,?,,?,?,,,,,B,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,,,,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,déodorant sanex - colgate-palmolive - 1,8718951316164,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Colgate-palmolive'],,,1,,,,,,,,,,,,,,,,,['Stick'],,,,,,,,,,,
959,Nail Lacquer - Essie,00000000,['Bio'],['États-Unis'],"['Organic blue corn', 'organic sunflower oil', 'sea salt', 'trace of lime']",[],?,500,25,"3,57","67,86","7,14",2092 kj(500 kcal),0,"0,715","0,286",,['Snacks'],,+11%,+20%,+21%,+14%,,,,,,,,['Essie'],,-60%,,25 g,en quantité élevée,3.57 g,en quantité modérée,0 g,en faible quantité,0.715 g,en quantité modérée,+11%,-100%,+36%,+36%,9,-50%,C,-50%,"['glass-jar', 'ps-lid']",,,,,,,,3,AHOLD,,
960,Yaourt nature brebis - La Bergerie,0002000000714,"['Peu ou pas de matière grasse', 'Bio', 'Sans matière grasse']",['France'],"['Lait de brebis écréme pasteurisé* ferments lactiques sélectionnés', "" * Issu de l'agriculture biologique""]",[],?,44,"0,1","0,07","4,3","6,3",184 kj(44 kcal),"3,6","0,13","0,052",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,-58%,-98%,-55%,+30%,,,,,,,,['La Bergerie'],,-98%,,0.1 g,en faible quantité,0.07 g,en faible quantité,3.6 g,en faible quantité,0.13 g,en faible quantité,-58%,-55%,+21%,+21%,-3,-216%,A,-216%,,,,,,,,,,,,
961,Triple Belgian Chocolaté Chunk Cookies - Marks & Spencer - 225g e,00011747,"['Point Vert', 'Pur beurre']","['France', 'Royaume-Uni']",[],[],?,522,"29,3",17,"57,4","5,6",2184 kj(522 kcal),"34,4","0,85","0,34",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat au lait', 'Cookies au chocolat blanc', 'Cookies au chocolat noir']",,+7%,+21%,-6%,-7%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,['Marks & Spencer'],,+30%,225 g e,29.3 g,en quantité élevée,17 g,en quantité élevée,34.4 g,en quantité élevée,0.85 g,en quantité modérée,+7%,+1%,+40%,+40%,23,-3%,E,-3%,"['Sachet', 'Plastique']",,,,,['Marks & Spencer'],,,,,,
962,Cookies Stem Ginger - Marks & Spencer - 225g,00011754,"['Végétarien', 'Pur beurre']","['Belgique', 'France', 'Pays-Bas', 'Royaume-Uni']","['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' -  Beurre ', 'Lait', ' ', '23%', ' - Gingembre confit cristallisé ', '18%', '  ', 'Gingembre conﬁt', 'Sucre', "" - Sucre - Flocons d'avoine "", 'contiennent Gluten', ' ', '12%', ' - Sirop de sucre inverti - Gingembre moulu - Poudre à lever: E503', 'Bicarbonate de soude', 'E450 - Lait en poudre écrémé - Sel']","['Non végétalien', 'Végétarien']",?,473,"20,8","13,7","63,6","6,1",1979 kj(473 kcal),"31,8","0,58","0,232",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",,+2%,+1%,+9%,-18%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Marks & Spencer'],,+72%,225 g,20.8 g,en quantité élevée,13.7 g,en quantité élevée,31.8 g,en quantité élevée,0.58 g,en quantité modérée,+2%,+41%,-6%,-6%,21,+36%,E,+36%,"['Barquette', 'Plastique']",,cookies au beurre avec du gingembre confit et de l'avoine,"['Royaume-Uni', 'Ecosse']",,['Marks & Spencer'],"[""E503 - Carbonates d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Avoine']",4,,,
963,Chicken Mustard & Worcester sauce hand cooked crisps - M&S - 150g,00028172,,"['France', 'Royaume-Uni']",[],[],?,?,?,,?,?,,,,,,"['Epicerie', 'Sauces']",,,,,,,,,,,,,['M&S'],,,150 g,,,,,,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,
964,4 Ultimate Buttermilk pancakes - Marks &Spencer - 280g,00065252,,['France'],"['Babeurre ', 'Lait', ' ', '31 %', ' Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de t calcium', 'Fer', 'Niacine', 'Thiamine', ' • Œuf pasteurisé • Lait entier • Huile de colza • Humectant : Glycérol • Sucre • Farine de blé fermenté déshydraté ', 'contient Gluten', 'Poudre à lever : E450', 'Bicarbonate de soude']",['Non végétalien'],?,251,"7,7","0,9","37,4","6,9",1050 kj(251 kcal),"9,5","0,67","0,268",,['Pancakes'],,-17%,-17%,-9%,-25%,,,,,,,,['Marks &Spencer'],,-55%,280 g,7.7 g,en quantité modérée,0.9 g,en faible quantité,9.5 g,en quantité modérée,0.67 g,en quantité modérée,-17%,-41%,-34%,-34%,1,-91%,B,-91%,"['Carton', 'Plastique', 'Sachet']",,Pancakes au babeurre - 4 Ultimate Buttermilk Pancakes,,,['Marks & Spencer'],"['E502 - Carbonates', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait']",4,,,
965,German wafer thin brunswick ham,00092999,,['France'],[],[],?,210,19,0,6,5,879 kj(210 kcal),4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Edamame - Wel pac,0011152291666,,['France'],[],[],?,136,"4,3","0,8","7,9",11,569 kj(136 kcal),"1,3","0,9","0,36",,,,,,,,,,,,,,,['Wel pac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Beurre de cacahuetes au miel - Crown - 340g,0012656707363,,['France'],[],[],?,170,12,2,12,6,711 kj(170 kcal),8,15,6,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,-72%,-75%,-17%,-76%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,['Crown'],,-76%,340g,12 g,en quantité modérée,2 g,en quantité modérée,8 g,en quantité modérée,15 g,en quantité élevée,-72%,+26%,+2714%,+2714%,14,+27%,D,+27%,,,,,,,,,,,,
968,organic Bread - Dave's Killer Bread,0013764027138,"['Bio', 'en:USDA Organic']","['France', 'États-Unis']","['organic whole wheat ', 'organic whole wheat flour', 'organic cracked whole wheat', 'water', 'organic dried cane syrup ', 'sugar', '21 whole grains and seeds mix ', 'organic whole flax seeds', 'organic sunflower seeds', 'organic ground whole flaxseeds', 'organic un-hulled brown sesame seeds', 'organic triticale', 'organic pumpkin seeds', 'organic rolled barley', 'organic rolled oats', 'organic rolled rye,organic un-hulled black sesame seeds', 'organic millet', 'organic rolled spelt', 'organic blue cornmeal', 'organic brown rice flour', 'organic yellow cornmeal', 'organic amaranth flour', 'organic rolled kamut khorasan wheat', 'organic quinoa', 'organic buckwheat flour', 'organic sorghum flour', 'organic poppy seeds', 'organic oat fiber', 'organic wheat gluten', 'organic molasses', 'sea salt', 'organic cultured whole wheat', 'yeast', 'organic vinegar,']",[],?,214,"3,57",0,"42,86","10,71",895 kj(214 kcal),"10,71","0,938","0,375",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,-20%,-20%,-6%,+27%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,"[""Dave's Killer Bread""]",,-100%,,3.57 g,en quantité modérée,0 g,en faible quantité,10.7 g,en quantité modérée,0.938 g,en quantité modérée,-20%,+106%,-18%,-18%,-2,-238%,A,-238%,,,,,,,,,4,Avb Corp.,,
969,Blueberry Monster,0014054093055,['Sans sucre ajouté'],['France'],[],[],?,53,0,0,12,"0,5",222 kj(53 kcal),10,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Pepperidge farm crackers - 6.6OZ (187g),0014100085508,,"['Autriche', 'France', 'États-Unis']","['made with smiles and enriched wheat flour ', 'flour', 'niacin', 'reduced iron', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'canola and/or sunflower oil', 'salt', 'contains 2% or less of: yeast', 'nonfat milk', 'sugar', 'baking soda', 'monocalcium phosphate', 'paprika', 'spices', 'celery', 'onion powder', 'contains: wheat', 'milk,']",['Non végétalien'],?,500,20,"1,67","66,67",10,2092 kj(500 kcal),"3,33","1,918","0,767",B,"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits apéritifs']",,+8%,+1%,+12%,+1%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Pepperidge Farm'],,-69%,6.6 OZ (187g),20 g,en quantité modérée,1.67 g,en quantité modérée,3.33 g,en faible quantité,1.92 g,en quantité élevée,+7%,-15%,-4%,-4%,12,-22%,D,-22%,"['Sachet', 'Plastique', 'produkt']",,Baked Snack Crackers - Goldfish Original Baked Snack Crackers,,,,"['E500ii - Carbonate acide de sodium', 'E341i - Phosphate monocalcique']","['Céleri', 'Gluten', 'Lait', 'Soja']",3,PEPPERIDGE FARM,,
971,Craquelins Goldfish Trio Fromage - Pepperidge farm - 200g,0014100170945,,"['Canada', 'France']","['FARINE DE BLÉ ENRICHIE', 'HUILE VÉGÉTALE ET/OU TOURNESOL', 'CHEDDAR ', 'LAIT CULTURE BACTÉRIENNE', 'SEL', 'ENZYMES', 'ROCOU', 'PARMESAN ', 'LAIT BACTÉRIENNE', 'SEL', 'ENZYMES', 'SEL', 'LEVURE', 'SUCRE', 'LEVURE AUTOLYSÉE ', 'ORGE', ""POUDRE D'OIGNON"", 'ASSAISONNEMENT ', 'CONTIENT DU CÉLERI', 'BEURRE', 'ROCOU', 'PHOSPHATE MONOCALCIQUE', 'BICARBONATE DE SODIUM', ""BICARBONATE D'AMMONIUM""]",['Non végétalien'],?,450,15,"2,5",65,15,1883 kj(450 kcal),0,2,"0,8",,,,,,,,,,,,,,,['Pepperidge farm'],,,200 g,,,,,,,,,,,,,,,,,,,,,,,"['E160b - Rocou', 'E341i - Phosphate monocalcique', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Céleri', 'Gluten', 'Lait']",4,,,
972,Pistaches grillees sans sel - Wonderful,0014113911658,,['France'],[],[],?,590,46,"5,6","17,4","21,4",2469 kj(590 kcal),"7,8",0,"0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées']",,-3%,-6%,+16%,-5%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,['Wonderful'],,-13%,,46 g,en quantité élevée,5.6 g,en quantité élevée,7.8 g,en quantité modérée,0 g,en faible quantité,-3%,+15%,-100%,-100%,3,-52%,C,-52%,,,,,,,,,,,,
973,Mélange romanesco (Romanesco gemuse mix) - Bofrost,0015869007336,,"['France', 'Allemagne']","['Fleurettes de jomanesco 30%', 'haricots verts fins', 'jeunes carottes chapeau de champignons', 'maïs en proportions variables', ' @ INGREDlËNTEkl korpanescoroosjes 30%', 'prinsessenbonen', 'jonge wortelen', 'champignons', 'rr,aïs', 'in wisselende verhoudingen', ' INGREDIENTES: Romanesco 30%', 'judias princesa', 'zanahorias baby', 'cabezas de champlhones y malZ en proporciones variables']",[],?,38,"0,4","0,1","4,8","2,3",159 kj(38 kcal),"2,2","0,03","0,012",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",,-17%,-63%,+3%,+1%,,,,,,,,['Bofrost'],,-63%,,0.4 g,en faible quantité,0.1 g,en faible quantité,2.2 g,en faible quantité,0.03 g,en faible quantité,-16%,+4%,-82%,-82%,-9,,A,,,,,,,,,,,,,
974,"Fiber One 90 Calorie Bar, Chocolate - 160g",0016000261648,,"['France', 'Mexique']",[],[],380,?,2,1,17,1,380 kj(91 kcal),5,"0,08","0,032",,"['Snacks', 'Snacks sucrés', 'Barres']",,,,,,,,,,,,,['Fiber One'],,,160 g,,,,,,,,,,,,,,,,,"['Caja', 'Cartón']",,Barras de avena sabor chocolate con chispas de chocolate,,,['Walmart'],,"['Gluten', 'Lait', 'Soja']",,,,
975,Crunchy granola bars - Nature valley - 98bars,0016000487598,['Sans arômes artificiels'],"['France', 'Polynésie française']","['98 BARS PER 2 BARS 190 1', '180mg 11', 'CALORIES SAT FAT 4% DV SODIUM | SUGARS 7% DV']",[],?,45.24,"16,67","2,38","69,05","7,14",189 kj(45 kcal),"26,19","1,089","0,435",,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,-89%,+6%,+15%,-5%,,,,,,,,['Nature valley'],,-60%,98 bars,16.7 g,en quantité modérée,2.38 g,en quantité modérée,26.2 g,en quantité élevée,1.09 g,en quantité modérée,-89%,-4%,+178%,+178%,11,-17%,D,-17%,,,,,,,,,,,,
976,Tamarin nectar,0016229905835,,['France'],[],[],?,89,"0,6",0,21,0,372 kj(89 kcal),19,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Tamarin sans noyaux,0016229916633,['Point Vert'],['France'],[],[],?,256,"0,6",0,57,"3,1",1071 kj(256 kcal),37,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Blueberry Muffins - Marks & Spencer - 260g e,00104302,"['Végétarien', 'Point Vert', 'Fabriqué au Royaume-Uni']","['France', 'Royaume-Uni']","['Farine de blé contient Gluten ', 'avec : Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', 'Myrtilles ', '17 %', 'œufs pasteurisés', 'Sucre', 'Huile de colza', ' Humectant : Glycérol', 'Fécule de maïs', 'Poudre à lever: E450', 'E501 Maltodextrine', 'Lactosérum en poudre ', 'Lait', 'mulsifiant: E471 Sel Arôme']","['Non végétalien', 'Végétarien']",?,326,"15,2","1,4","41,1","4,9",1364 kj(326 kcal),21,"0,4","0,16",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits', 'Muffins aux myrtilles']",,-8%,-11%,-13%,+2%,77.5%,13.0%,4.2%,3.1%,2.2%,0.0%,58,['Marks & Spencer'],,-56%,260 g e,15.2 g,en quantité modérée,1.4 g,en faible quantité,21 g,en quantité élevée,0.4 g,en quantité modérée,-8%,-18%,-34%,-34%,6,-55%,C,-55%,"['Sachet', 'Plastique']",,Muffins à la myrtille - 4 Blueberry Muffins,['Royaume-Uni'],,['Marks & Spencer'],"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E501 - Carbonates de potassium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']",4,,,
979,Rye & Wheat Crackers - Marks & Spencer - 150g e,00138932,,['France'],"['Farine de seigle contient Gluten ', '43%', 'Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' ', '43%', ' Huile de colza', 'Margarine ', 'Huile de palme ,Huile de colza', 'Sel', 'Sel de mer', 'Poivre noir grossièrement moulu', 'Miel', 'Lait en poudre écrémé']","['Huile de palme', 'Non végétalien']",?,419,"10,8","1,9","66,9","9,1",1753 kj(419 kcal),"2,3","1,38","0,552",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,-10%,-46%,+13%,-8%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Marks & Spencer'],,-65%,150 g e,10.8 g,en quantité modérée,1.9 g,en quantité modérée,2.3 g,en faible quantité,1.38 g,en quantité modérée,-11%,-41%,-31%,-31%,7,-55%,C,-55%,"['Carton', 'Boîte']",,,,,['Marks & Spencer'],,"['Gluten', 'Lait']",3,,['Huile de palme'],
980,Four Cheese Ravioli - Marks & Spencer,00154222,,['France'],[],[],?,165,"7,9","3,1","15,8","6,9",690 kj(165 kcal),"3,3","0,55","0,22",,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,
981,Cherries -  - 200g,00159814,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,4 oatmeal deli Rolls - Marks & Spencer,00174930,['Source de vitamine D'],"['France', 'Royaume-Uni']","['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', 'Eau', ""Flocons d'avoine "", 'contient Gluten ', ' ', '17 % ', ' Son de blé ', 'contient Gluten ', ' - Gluten de blé déshydraté', 'Huile de colza', 'Sirop de sucre', 'œufs pasteurisés', 'Farine de blé fermenté déshydraté ', 'contient Gluten ', 'Sel', 'Levure ', 'Levure', 'Levure enrichie en vitamine D', 'Sucre', 'Huile de palme', 'Émulsifiant : E471', 'E472e', 'Graisse de palme']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,270,"3,7","0,8","46,3","2,8",1130 kj(270 kcal),2,"0,8","0,32",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,-7%,-28%,-5%,-70%,,,,,,,,['Marks & Spencer'],,-11%,,3.7 g,en quantité modérée,0.8 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,-7%,-55%,-34%,-34%,2,-47%,B,-47%,"['Sachet', 'Plastique']",,4 petits pains moelleux à l'avoine à l'anglaise - 4 Oatmeal Deli Rolls,,,['Marks & Spencer'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Œufs', 'Gluten']",4,,['Huile de palme'],
983,Mozzarella di bufala campana - Marks & Spencer - 125g,00195102,,['France'],"['fromage mozzarella au lait de bufflonne pasteurisé', ' Contient lait']",[],?,260,22,"15,8","0,6",15,1088 kj(260 kcal),"0,6","0,75","0,3",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,-3%,-5%,-19%,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Marks & Spencer'],,0%,125 g,22 g,en quantité élevée,15.8 g,en quantité élevée,0.6 g,en faible quantité,0.75 g,en quantité modérée,-3%,-2%,+23%,+23%,11,+8%,D,+8%,,['IT 15-52 CE'],,,,,,['Lait'],,,,
984,Chili Sauce,0020717275164,['Halal'],['France'],[],[],?,45,"2,4","0,3","2,2","1,6",188 kj(45 kcal),"0,6","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Slow-simmered Sweet Honey Barbecue Sauce - Kraft - 18oz,0021000052387,"['Kascher', 'en:Organized Kashrut Kosher', 'en:No high fructose corn syrup']","['France', 'États-Unis']","['sugar', 'tomato puree ', 'water', 'tomato paste', 'vinegar', 'water', 'apple cider vinegar', 'modified food starch', 'molásses', 'honey', 'sált', 'contains less than 2% of: naturál hickory smoke flavor', 'mustard flour', 'dried garlic', 'spice', 'dried onions', 'paprika', 'potassium sorbate ', 'to preserve freshness', ' kraft foods group', 'inc,', 'northfield', 'il 60093-2753 usa © kraft f00ds refrigerate']",['Non végétalien'],?,60,0,0,12,0,251 kj(60 kcal),12,"0,33","0,132",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,-62%,-100%,-61%,-100%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,['Kraft'],,-100%,18 oz,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,0.33 g,en quantité modérée,-62%,-54%,-84%,-84%,3,-79%,C,-79%,['Bottle'],,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,3,,,
986,Purée de marrons Bio - Clément Faugier - 439g,0022314030238,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",['France'],[],[],?,87,"0,7","0,11","16,7","1,6",364 kj(87 kcal),"3,3","0,01","0,004",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pâtes à tartiner végétales', 'Châtaignes', 'Crèmes de marrons']",,-48%,-48%,-46%,-38%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,['Clément Faugier'],['France'],-58%,439 g,0.7 g,en faible quantité,0.11 g,en faible quantité,3.3 g,en faible quantité,0.01 g,en faible quantité,-47%,-52%,-89%,-89%,-4,,A,,['Conserve métallique'],,,['France'],,,,,,,,
987,Celsius - Ozarka - 500ml,0022592007014,,"['France', 'États-Unis']",['water'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,,?,?,,,,,,"['Boissons', 'Eaux', 'Eau potable']",,,,,,,,,,,,,"['Ozarka', 'Celsius Inc.']",['États-Unis'],,500 ml,,,,,,,,,,,,,,,,,"['Plastic', 'pet-bottle', 'pet-bottle']",,,,,,,,1,,,
988,Pulpe d'ananas - Del Monte,0024000135081,,['France'],[],[],?,63,0,0,14,"0,4",264 kj(63 kcal),12,0,0,,,,,,,,,,,,,,,['Del Monte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Slow Roasted Chick'n Thai Basil - Tofurky,0025583005358,"['Végétarien', 'Végétalien']",['France'],"['Simili poulet végétarien à base de tofu et gluten de blé', 'surc Ingrédlonts : Lanières de simili poulet végétarien ', 'eau', '35 de soja', 'agent affermissant ', ' chlorure de magnésium', 'chlor canne', 'extrait de levure', 'fibres diavoine', 'arôme naturel', 'fécu potassium', 'ail granulé', 'agent affermissant : lactate de calciu épices', 'acldlflant ', 'acide citrique', 'colorant dioxyde de titan soja ', 'eau', 'fèves de soja', 'blé', 'sel', 'les cultures-souches', 't hu concentré', ""sirop d'agave"", 'piment poblanoj épices']","['Végétalien', 'Végétarien']",?,170,8,"0,5",10,17,711 kj(170 kcal),3,1,"0,4",,,,,,,,,,,,,,,['Tofurky'],,,,,,,,,,,,,,,,,,,,,,,,,,"['E511 - Chlorure de magnésium', '', 'Risque modéré de sur-exposition', 'E270 - Acide lactique', 'E330 - Acide citrique']",['Gluten'],4,,,
990,Nestle Nesquik Powder Chocolate,0028000651688,"['Sans arômes artificiels', 'Sans caféine']","['France', 'Espagne', 'États-Unis']","[' SUGARY COCOA PROCESSED WITH ALKALI', 'SOY LECITHIN', 'I CARRAGEENAN', 'SALT', 'NATURAL FLAVOR', 'SPICE', 'VITAMINS AND MINERALS: SODIUM ASCORBATE ', 'VITAMIN C', 'FERRIC PYROPHOSPHATE ', 'IRON', 'NIACINAMIDE', 'ZINC OXIDE', 'THIAMIN HYDROCHLORIDE', 'COPPER GLUCONATE', 'MANGANESE SULFATE', 'BIOTIN', ' CONTAINS: SOY INGREDIENT', ' MAY CONTAIN: MILK AND WHEATS 99,9% CAFFEINE FREE']",[],?,357,0,0,"85,71","7,14",1494 kj(357 kcal),"78,57","0,625","0,25",,"['Boissons', 'Cacao et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Cacaos et chocolats en poudre', 'Boissons lyophilisées']",,+21%,-100%,+96%,-47%,,,,,,,,['Nesquik'],,-100%,,,,,,,,,,+20%,+115%,+12%,+12%,,,,,,,,,,,"['E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,4,Nestle USA Inc.,,
991,Chargement… - Doritos,0028400017299,,['France'],"['Maïs', 'huile végétale', 'huile de mai et/ou de soja et/ou de tournesol', 'cheddar', 'sel', 'beurre', 'farine de blé', 'protéine de petit lait', 'fromage romano', 'tomate en poudre', 'huile de soja partiellement hydrogénée', 'petit lait', 'ail en poudre', 'dextrose', 'sucre', 'phosphate disodique,acide lactique', 'arôme naturel', 'épice', 'acide citrique', 'parmesan', 'colorants artificiels ', 'E110,E129', 'inosinate disodique', 'gluanylate disodique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,500,"28,6","3,6",0,"7,1",2092 kj(500 kcal),0,"0,8","0,32",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,+3%,+26%,-100%,+11%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Doritos'],,+23%,,28.6 g,en quantité élevée,3.6 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,+4%,-100%,-32%,-32%,12,+24%,D,+24%,,,,,,,"['E339ii - Phosphate disodique', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E110 - Jaune orangé S', 'E129 - Rouge allura AC', 'E631 - Inosinate disodique']","['Gluten', 'Lait']",4,,,
