,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
232,Chocolats favoris,0765528130843,['France'],[],[],?,230,962 kj(230 kcal),15,9,22,21,3,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Saucisse de veau,3346239499008,['France'],[],[],?,248,1038 kj(248 kcal),21,"9,2","0,9","0,3",16,"2,1","0,84",,"['Viandes', 'Charcuteries', 'Saucisses', 'Viandes de veau', 'Saucisses de veau']",,+5%,+7%,-38%,+19%,,,,,,,,,21 g,en quantité élevée,9.2 g,en quantité élevée,0.3 g,en faible quantité,2.1 g,en quantité élevée,+5%,+16%,-40%,+19%,+19%,21,+27%,E,+27%,,,,"['FR 24.053.001 CE', 'Boulazac (Dordogne, France)']",,,,,,,,,,
234,Noix de cajou poivrées,2600703045391,['France'],[],[],?,603,2523 kj(603 kcal),46,"8,3",26,"6,1",20,"1,52","0,608",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou', 'en:peppered cashew nuts']",,+1%,-0%,+2%,+7%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,46 g,en quantité élevée,8.3 g,en quantité élevée,6.1 g,en quantité modérée,1.52 g,en quantité élevée,+1%,-2%,-6%,+142%,+142%,12,+59%,D,+59%,,,,,,,,,,,,,,
235,Twist arc en ciel - Bofrost,69021831,['France'],[],[],?,81,339 kj(81 kcal),0,0,"20,2","20,2","0,1","0,02","0,008",,,,,,,,,,,,,,,['Bofrost'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Pizza 4 fromages (croq maison),0210015034116,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Pizza,2764448037391,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Carotte croquante,3770011132041,['France'],[],[],?,53,222 kj(53 kcal),"0,35","0,05","10,5",9,"1,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Tw!st strawberry,8710573253346,['France'],[],[],?,563,2356 kj(563 kcal),34,"5,4",61,60,"2,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Filet de poulet - Maître Coq,0215499032993,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Ailes de poulet jaune,3700634202579,['France'],[],[],?,0,0 kj(0 kcal),"4,5",0,17,"0,2","0,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Maple syrup - Mcennedy - 250ml,13177492,['France'],[],[],?,?,,?,,?,,?,,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,,,,,,,,,,,,['Mcennedy'],,,,,,,,,,,,,,,,,,250 ml,,,,,,,,,,,,,
243,pain lin tournesol - Pain de Belledonne SAS - vendu au poids,2030337005827,['France'],"['FARINE DE BLE T80*', 'EAU', 'GRAINES ', '14%', 'LIN BRUN*', 'TOURNESOL*', 'LEVAIN BLE', 'SEL', "" *ISSU DE L'AGRICULTURE BIOLOGIQUE"", ' TRACES POSSIBLES SESAME', 'LUPIN', 'LAIT OEUFS LE PAIN DE BELLEDONNE - ZA LES BONS PRES - 73110 LA CROIX DE LA ROCHETTE']",[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,['Pain de Belledonne SAS'],,,,,,,,,,,,,,,,,,vendu au poids,"['Bio', 'Bio européen', 'FR-BIO-15']",['au poids'],,,3,['Satoriz'],,,['Haute-Savoie'],,,,
244,Filet de rouget Barbet,3435020038523,['France'],[],[],?,197,824 kj(197 kcal),14,"2,2","0,5","0,5",17,"0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Pain de mie,3513647434390,['France'],[],[],?,280,1172 kj(280 kcal),"5,1","0,5","49,9","4,5","7,1","1,24","0,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Faisselle fermière,3770003317067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,
247,Cantal entre deux,0207726027421,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Mini perennes - Leclerc,0216764006565,['France'],[],[],?,315,1318 kj(315 kcal),"6,6","0,7",54,"1,3","8,7","1,4","0,56",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Pate campagne tranche,2408488018698,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 50.292.001 CE', 'Marigny (Manche, France)']",,,,,,,,,,
250,Mélange Sambahia,2600223025583,['France'],[],[],?,465,1946 kj(465 kcal),18,"6,6","65,9","12,7",8,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Creamy sheese,5034795001213,['France'],[],"['Végétalien', 'Végétarien']",?,260,1088 kj(260 kcal),"23,1","19,9","4,8",1,"7,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,
252,Dejeun box poisson,0201543052482,['France'],[],[],?,177,741 kj(177 kcal),"5,8","0,9",24,"2,7",7,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Creme d'olive KALAMATA - Kalios,3770003906049,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Kalios'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Terre Des Anges 2009, 750ml",3331560500585,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Jambonneau,3760195330074,['France'],[],[],?,770,3222 kj(770 kcal),"11,4","3,8","0,5","0,5",20,"1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Aihki Dark Lager - Lapin Panimo,6430063530017,"['Finlande', 'France']",[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Lapin Panimo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Whisky,3099883045779,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Miel de montagne,3760055160988,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Fromage vache et brebis,2350282008545,['France'],[],[],?,444,1858 kj(444 kcal),38,27,"1,4","0,5",24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Miel de la Belle Hotesse,3461640070025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Curé nantais - Beillevaire,3483130000879,['France'],[],[],?,315,1318 kj(315 kcal),25,"16,7","0,5","0,5",22,"1,7","0,68",,,,,,,,,,,,,,,['Beillevaire'],,,,,,,,,,,,,,,,,,,,,"['FR 44.087.045 CE', 'Machecoul (Loire-Atlantique, France)']",,,,,,,,,,
262,Caramel beurre salé,3760072741689,['France'],[],[],?,399,1669 kj(399 kcal),"9,2","6,2","75,5","53,4","3,6","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Celeri - Leclerc,0203188010957,['France'],[],[],?,159,665 kj(159 kcal),14,"1,1","4,6","1,4",1,"1,1","0,44",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
264,Dieti Natura Gattilier,3700446414313,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,vin rouge,8413423112021,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Mix de légumes - Continente,5601312074823,"['France', 'Portugal']",[],[],?,183,766 kj(183 kcal),11,"1,6",49,21,4,"0,75","0,3",,,,,,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Éclaire ×6 café/chocolat,0203009017059,['France'],[],[],?,179,749 kj(179 kcal),"5,5","3,2",30,21,"2,1","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Pain diététique energus 10,0203779016405,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Arrangés de ced : pomme poire bi,3760221470071,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Seilón,8420209026755,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Jersey cream fudge,5030071000130,['France'],[],[],?,436,1824 kj(436 kcal),"14,7","4,6","74,3","63,9","1,8","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Chateau les berthets,3251091906598,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,
273,Cake angel,95393711,['France'],[],[],?,476,1992 kj(476 kcal),17,"9,3",78,76,"2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,La Perche,2602615045063,['France'],[],[],?,430,1799 kj(430 kcal),"33,5","14,1","6,7","2,63","25,4","4,47","1,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Aiguillettes de poulet - La Nouvelle Agriculture,0213329025122,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Bière blonde de soif,3760254480016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
277,3D candy rings,8714786255821,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Raisin rouge sans pepin,3661072374573,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Émietté de saumon aux 2 poivrons - La Perle des Dieux - 80g,3760148292091,['France'],"['Saumon Atlantique 52% ', 'saumon', 'sel', 'huile de colza', 'tomates 7,2%', 'poivrons rouges 5,1%', 'poivrons verts 5', '1%', 'ananas', 'concentré de tomates', 'vinaigre de vin blanc', 'sucre', 'sel', 'ail', 'fécule de manioc', 'piment fort', 'gingembre', '\rTraces de fruits à coques', 'moutarde et lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",939,227,939 kj(227 kcal),"18,7","1,8","3,5","2,5","11,1",1,"0,4",,['Emietté'],,,,,,,,,,,,,['La Perle des Dieux'],18.7 g,en quantité modérée,1.8 g,en quantité modérée,2.5 g,en faible quantité,1 g,en quantité modérée,,,,,,2,,B,,80g,,['Conserve'],,['Poisson'],3,"['Boutiques La Perle des Dieux', 'Web']",,,['Saint-Gilles-Croix-de-Vie'],,,https://www.laperledesdieux.com/emiettes/88-emiette-de-saumon-aux-deux-poivrons.html,
280,Ravioles cantal,3120026688888,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
281,menthol eucaliptus,8413901101059,['France'],[],[],?,392,1640 kj(392 kcal),0,0,98,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Fruity oat bars - 5x 25g,0886054001701,['France'],[],"['Végétalien', 'Végétarien']",?,359,1502 kj(359 kcal),"12,9",7,"46,9","29,9","4,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 x 25 g,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,
283,Swiss Selection Vodka Chocolate Truffles - 150g,7611466005527,['France'],[],[],?,495,2071 kj(495 kcal),30,20,"38,5",30,4,"0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,,
284,Snapple Juice Drink Mango Madness,76183202043,['France'],[],[],?,0,0 kj(0 kcal),0,0,23,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,sandwich au pain de moe blanc garni de poulet roti - 160g,3760012260034,['France'],[],[],?,259,1084 kj(259 kcal),"11,9",1,26,"2,8","9,3","1,2","0,48",C,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",,+16%,+42%,+1%,-8%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,11.9 g,en quantité modérée,1 g,en faible quantité,2.8 g,en faible quantité,1.2 g,en quantité modérée,+16%,-31%,-15%,-1%,-1%,3,+11%,C,+11%,160 g,,,,,,,,,,,,,
286,Citronnade - Leader Price,3036855094434,['France'],[],[],?,25,105 kj(25 kcal),0,0,"6,3",6,0,"0,03","0,012",,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,
287,Soupe Courgettes jaunes fenouil,3760249860151,['France'],[],[],?,24,100 kj(24 kcal),1,1,3,2,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Croissant tournesol × 10,2020000186021,['France'],[],[],?,430,1799 kj(430 kcal),25,12,42,"6,4","8,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Rhum,8501110080293,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Pains au chocolat et croissants - Leclerc,0201554032473,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Tuš Masleni Piskoti s Temno Čokolado - 125g,3831029356246,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,
292,Le fruit multifruits,6193639012767,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Orion Moist & Chewy Cake -cham Boonguhpang 6 Pieces,8801117530815,['France'],[],[],?,417,1745 kj(417 kcal),18,8,57,33,6,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Confiture,3760072742877,['France'],[],[],?,213,891 kj(213 kcal),0,0,51,51,0,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Assaist Bonanza,9010306033474,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Grand zig zag,0203017008469,['France'],[],[],?,222,929 kj(222 kcal),"0,8","0,1",43,"1,3","9,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Tahín De Sésamo Bio Vegetalia,8422791000496,['France'],[],[],?,636,2661 kj(636 kcal),"56,3","15,3","14,2","4,45","14,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
298,Chifferi alle mandorle,8008447004102,['France'],[],[],?,301,1259 kj(301 kcal),"2,13","0,3","64,47","26,1","7,98","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Yaourt nature,3760223030075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Rideenergy - Powerbar,4029679672451,['France'],[],[],?,413,1728 kj(413 kcal),17,"8,9",48,29,18,"0,145","0,058",,,,,,,,,,,,,,,['Powerbar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Rib's cuit thym citron vpf,2296664048412,['France'],[],[],?,314,1314 kj(314 kcal),27,11,"1,8","0,1",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
302,Miel d'oranger d espagne la maison du miel,3760084072009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Pomponnettes,3663350098164,['France'],[],[],?,418,1749 kj(418 kcal),"4,3",3,88,56,"4,4","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Mimolette Extra Vieille,0210864036866,['France'],[],[],?,385,1611 kj(385 kcal),29,21,"0,5","0,5",31,3,"1,2",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes extra vieilles', 'Fromages-du-nord-pas-de-calais']",,-2%,-0%,-44%,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,29 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,-2%,+2%,-34%,+0%,+0%,19,-2%,E,-2%,,,,,,,,,,,,,,
305,Gaufre - Carrefour,0202788006568,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
306,Poulet Bio,2435199051492,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
307,Brown Sauce,818872,['France'],[],[],?,125,523 kj(125 kcal),"0,3","0,1","29,9",24,"0,3","1,78","0,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Tropicale,13566661,['France'],[],[],?,34,142 kj(34 kcal),"0,5","0,1","8,5","8,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
309,Banane,2250108011875,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,
310,Tisane de la Parisienne,3554740401551,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Filets de canard - Auchan,2600169104496,['France'],[],[],?,212,887 kj(212 kcal),15,"4,7",0,0,18,"0,23","0,092",D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,+8%,+19%,-100%,-7%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['Auchan'],15 g,en quantité modérée,4.7 g,en quantité modérée,0 g,en faible quantité,0.23 g,en faible quantité,+7%,+27%,-100%,-79%,-79%,2,-55%,B,-55%,,,,,,,['Auchan'],,,,,,,
312,Moutarde curry coco,3760108020955,['France'],[],[],?,160,669 kj(160 kcal),11,1,5,3,7,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Thé glacé framboise,3770007299871,['France'],[],[],?,20,84 kj(20 kcal),0,0,"4,68","4,63","0,061","0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Veau fermier,0205828054970,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Mangue Bio,3760005723744,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
316,Gousse de vanille bourbon entière,3102870046687,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Pain aux cereales,0208008008336,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Pâté au Foie de Canard,3760146912663,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Sucre de coco,81329373,['France'],[],[],?,387,1619 kj(387 kcal),"0,2","0,1",96,90,"0,6","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
320,Jambon de la Forêt Noire - Monoprix,3350030141134,['France'],[],[],?,271,1134 kj(271 kcal),19,"7,5",1,"0,5",24,"4,5","1,8",,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,['Monoprix'],,,,,,,
321,Walnuts Feinschmecker-öl,4251228901969,['France'],[],[],?,832,3481 kj(832 kcal),"92,4",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,tasty tacos - 18x 80g,5900928082087,['France'],[],[],?,308,1289 kj(308 kcal),"7,6",4,48,"2,3","9,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 x 80 g,,,,,,,,,,,,,
323,Meli miel,5410038102006,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Meli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,"Pimms No.1 Likör Englischer Szene Aperitiv 0,7 Liter",5010262070043,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Sushi ginger pink,8717703635096,['France'],[],[],?,16,67 kj(16 kcal),"0,2","0,16",5,"4,4","0,2",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Calissons du Roy René,3102621005024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Palette de porc demi-sel,0290077027813,['France'],[],[],?,463,1937 kj(463 kcal),"5,1",2,"0,5","0,5","16,2","4,53","1,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
328,Preparation culinaire de vinaigre a la pulpe de mangue,3700600312189,['France'],[],[],?,91,381 kj(91 kcal),"0,1","0,1","19,9",14,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Focaccia,2685216004998,['France'],[],[],?,314,1314 kj(314 kcal),"11,3","1,6","45,9","1,2","7,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Mousse au chocolat au lait - 500g,0202059038700,['France'],[],[],?,299,1251 kj(299 kcal),"21,6","16,1","22,7",22,"3,1","0,29","0,116",D,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",,+9%,+31%,+3%,-48%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,21.6 g,en quantité élevée,16.1 g,en quantité élevée,22 g,en quantité élevée,0.29 g,en faible quantité,+11%,+59%,+11%,+32%,+32%,18,+36%,D,+36%,500 g,,,,,,,,,,,,,
331,Édition limitée haricots Ti Lima Le Forban,3297131001076,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,
332,Etui 250G Creme De Riz Petit Navire,3165440002001,['France'],[],[],?,350,1464 kj(350 kcal),1,0,77,0,"7,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,CK DANIEL'S Whisky 40°,3099873090413,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Palet de chevre du trieves,3384630300080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
