,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
1536,Salade légumes quinoa fruit a coque,5400119528764,['France'],[],[],?,189,791 kj(189 kcal),13,"1,5","9,9","3,4","6,3","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Pois verts cassés - Naturaline,31647090,['France'],[],[],?,329,1377 kj(329 kcal),2,"0,3","48,2","1,7","21,8","0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois cassés secs']",,-1%,+32%,-1%,-3%,64.4%,0.0%,18.1%,9.3%,5.1%,3.1%,95,['Naturaline'],2 g,en faible quantité,0.3 g,en faible quantité,1.7 g,en faible quantité,0.02 g,en faible quantité,-2%,+32%,-52%,-12%,-12%,-1,,A,,,,,,,,,,,,,,,
1538,Famous tea  breakfast blend - FORTNUM & MASON - 125g,5053826000025,"['France', 'Royaume-Uni']",[],[],14,2,,"0,021",,"0,196",,"0,195",,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['FORTNUM & MASON'],,,,,,,,,,,,,,,,,,125 g,,['tin box'],,,,['Waitrose'],,['Brahmaputra Valley Northern INDIA'],['United Kingdom'],,,http://www.fortnumandmason.com,
1539,Confiture de myrtille,3760148500752,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Pure collagen + - Eric Favre,3525722024167,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Eric Favre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Petit riz cantonais au poulet,3760050901944,['France'],[],[],?,83,347 kj(83 kcal),"3,3","0,29","8,5","2,8","3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Nectar d'abricot,3660668005969,['France'],[],[],?,57,238 kj(57 kcal),1,1,14,11,1,1,"0,4",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",,+8%,+418%,+13%,+168%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1 g,en faible quantité,1 g,en quantité modérée,11 g,en quantité élevée,1 g,en quantité élevée,+7%,+2581%,-7%,+9334%,+9334%,20,+32%,E,+32%,,,,"['EMB 42283A', 'Saint-Romain-en-Jarez (Loire, France)']",,,,,,,,,,
1543,Axoa de boeuf,3760050902897,['France'],[],[],?,75,314 kj(75 kcal),"3,2","0,521","4,8","1,6","3,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Pain d'épices du Quercy au miel et aux noix,2300003003182,['France'],[],[],?,345,1443 kj(345 kcal),"10,1","3,1","57,6","32,6","5,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Croûtons à l'Ail,2303634001435,['France'],[],['Sans huile de palme'],?,518,2167 kj(518 kcal),"28,9",3,"54,3","3,5","8,5","1,74","0,696",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,+10%,+41%,-8%,-10%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,28.9 g,en quantité élevée,3 g,en quantité modérée,3.5 g,en faible quantité,1.74 g,en quantité élevée,+9%,-0%,-5%,-11%,-11%,15,+3%,D,+3%,,['en:palm-oil-free'],,,,,,,,,,,,
