,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,generic_name,quantity,packaging,markets,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
519,Roller strawberry - Fini,8410525127465,['Fini'],['France'],"['Sirop de glucose et fructose', 'sucre', 'farine de blé ', 'gluten', 'amidon', 'acidifiant E296', 'graisse végétale ', 'palme', 'acidifiants: E330', 'E270', ""correcteur d'acidité: E325"", 'E331', 'sel', 'émulsifiant: E471', 'arômes', 'humedant: E422', 'colorants ', 'voir cachet']","['E296 - Acide malique', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E325 - Lactate de sodium', 'E331 - Citrates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol']",['Gluten'],['Huile de palme'],4,?,340,1423 kj(340 kcal),1,"0,6",81,54,"1,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,,
520,TOGOLO,8410525157004,,['France'],[],,,[],,?,334,1397 kj(334 kcal),0,0,79,64,"4,5","0,1","0,04",,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,
521,Fini,8410525174872,['Fini'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Fini Clear Strawberry Cream Twisted Tops,8410525179839,,['France'],[],,,[],,?,328,1372 kj(328 kcal),0,0,76,55,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Holiday - Fini,8410525179914,['Fini'],['France'],"['Sirop de glucose', 'sucre', 'gélatine de bœuf halal', 'eau', ' Acidifiants : E330', 'E270']","['E428 - Gélatine', 'E330 - Acide citrique', 'E270 - Acide lactique']",,[],4,?,323,1351 kj(323 kcal),0,0,76,52,6,"0,1","0,04",,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,
524,Candy fini booom,8410525181986,['Fini'],['France'],[],,,[],,?,380,1590 kj(380 kcal),0,0,95,80,0,"0,1","0,04",,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,
525,Cinema mix - Fini,8410525183768,['Fini'],['France'],"['SIROP DE GLUCOSE', 'SUCRE', 'EAU', 'GÉLATINE', 'DEXTROSE', 'AMIDON', 'ACIDIFIANTS : E330', ""E270 CORRECTEUR D'ACIDITÉ : E325"", 'HUMECTANT : E420', 'GÉLIFIANT: PECTINE', 'ARÔMES', 'CONCENTRÉS DE FRUITS ET PRÉPARATION ', 'CAROTTE', 'CASSIS NOIR', ""AGENTS D'ENROBAGE : E901 "", 'E903']","['E428 - Gélatine', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E325 - Lactate de sodium', 'E420 - Sorbitol', 'E440 - Pectines', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,"['Non végétalien', 'Non végétarien']",4,?,322,1347 kj(322 kcal),0,0,77,50,"4,9","0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,50 g,en quantité élevée,0.1 g,en faible quantité,,-10%,-10%,-100%,-100%,-8%,-14%,+131%,-17%,-17%,,,,,,0 g,en faible quantité,14,-3%,D,-3%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
526,Destroyer bubble gum - Fini - 5g,8410525193576,['Fini'],['France'],[],,,[],,?,?,,?,,?,,?,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,,,,,,,,,,,,,,,,,,5 g,"['Sachet', 'Plastique']",['Netto'],,,,,,,,,,,,,,,,,,,,,,
527,Spaguetti Multifruit,8410525202735,,['France'],[],,,[],,?,338,1414 kj(338 kcal),"0,8","0,5",81,56,"1,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Lenguas cola - Fini,8410525203282,['Fini'],['France'],[],,,[],,?,340,1423 kj(340 kcal),1,"0,6",81,54,"1,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Klet's peppermint - Fini,8410525206313,['Fini'],"['France', 'Espagne']",[],,,[],,?,161,674 kj(161 kcal),0,0,67,0,0,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+1%,+0%,-100%,-100%,+7%,-100%,-100%,-100%,-100%,,,,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
530,Klet's hierbabuena - Fini,8410525208959,['Fini'],['France'],[],,,[],,?,161,674 kj(161 kcal),0,0,67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Tennis gum balls - Fini,8410525211317,['Fini'],['France'],"['Sucre', 'sirop de glucose', 'gomme base ', 'lécithine de_soja_', 'arômes', 'acidifiant: E296', 'humectant: E422', 'colorants: voir cachet']","['E322i - Lécithine', 'E296 - Acide malique', 'E422 - Glycérol']",['Soja'],[],4,?,332,1389 kj(332 kcal),0,0,83,74,0,"0,2","0,08","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0 g,en faible quantité,74 g,en quantité élevée,0.2 g,en faible quantité,,+98%,+98%,-100%,-100%,+30%,+1438%,-100%,+660%,+660%,,,,"['Sachet', 'Plastique']",,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,
532,Poulpes - Fini - 100grammes,8410525215193,['Fini'],['France'],"['Sirop de glucose sucre eau gélatine de bœuf halal dextrose acidifiants : E330', 'E296', ""E270 correcteur d'acidité: E325 Arôme végétal "", 'carotte', 'Cassis Noir', ' colorants: E100 E160c']","['E330 - Acide citrique', 'E296 - Acide malique', 'E270 - Acide lactique', 'E325 - Lactate de sodium', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,[],4,?,334,1397 kj(334 kcal),0,0,78,52,6,"0,1","0,04",,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Halal']",,100 grammes,,,,,,,,,,,,,,,,,,,,,,,,
533,Burger gum - Fini,8410525216954,['Fini'],['France'],[],,,[],,?,320,1339 kj(320 kcal),0,0,80,70,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Regaliz Relleno Sahara Fini,8410525228315,['Fini'],"['France', 'Espagne']",[],,,[],,?,355,1485 kj(355 kcal),"0,9","0,5",86,69,"0,6","0,2","0,08","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons au réglisse']",0.5 g,en faible quantité,69 g,en quantité élevée,0.2 g,en faible quantité,,+11%,+11%,+12%,+26%,+18%,+70%,-79%,-50%,-50%,['en:gluten-free'],,,,,0.9 g,en faible quantité,14,+9%,D,+9%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
535,Hawaii - Fini,8410525228322,['Fini'],['France'],[],,,[],,?,353,1477 kj(353 kcal),"0,8","0,6",85,66,1,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Bonbon poulpes acides - Fini - 80g,8410525231506,['Fini'],['France'],[],,,[],,?,334,1397 kj(334 kcal),0,0,78,62,"5,5","0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries']",0 g,en faible quantité,62 g,en quantité élevée,0.1 g,en faible quantité,,-20%,-21%,-100%,-100%,+17%,+25%,+31%,-32%,-32%,"['en:gluten-free', 'Halal']",,80 g,,,0 g,en faible quantité,14,-23%,D,-23%,,,,,,,,,,,,,,,,
537,1.35KG Fini Cola Tornado 150,8410525231711,['Fini'],['France'],[],,,[],,?,359,1502 kj(359 kcal),1,"0,6",86,69,"1,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Minicables tornado - Fini,8410525233869,['Fini'],['France'],"['ÀiCF/R?/bFGLLCÇEàDEFRVCTOSE/FARb1EDE COLORANTS} E DULCES', ' MAHEU I GLUCOSEAvDFRLCTOSESî-Ë ETRMBEMMANIPULA PERJVADOSUCF? FRtJKTOSES{RUP', ""HERGESTELLT IN EINER I l' fNCRE01ENTï: ZUCCHERO* SCIROPPC OOMM8RANO 01 srÂtPA PROOOt70 VENNES 6EPiODU "", 'VAL']",,,[],,?,362,1515 kj(362 kcal),"1,2","0,8",86,69,"1,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,"Einhorn Brause Bonbon,1 STK Merken",8410525238031,,['France'],[],,,[],,?,50,209 kj(50 kcal),25,"9,5",26,"25,5","0,1",15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Unicorn Ball fizz,8410525239533,,['France'],[],,,[],,?,380,1590 kj(380 kcal),0,0,95,80,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Citrus Attack,8410525240829,,['France'],[],,,[],,?,367,1536 kj(367 kcal),"1,9","1,3",86,69,"1,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Almenderas rellenas - 250g,8410536000313,,"['France', 'Espagne']",[],,,[],,?,517,2163 kj(517 kcal),"24,5",10,29,29,13,"0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'es:Turrones de mazapán de cabello de ángel']",10 g,en quantité élevée,29 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-1%,-22%,+89%,-36%,-24%,+8%,+56%,+56%,,,250 g,,,24.5 g,en quantité élevée,21,+27%,E,+27%,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,
543,E Moreno Cream Polvor S / g S / S l / h,8410536004724,['E Moreno'],['France'],"['INGRÉDIENTS: Farine de pois chiche', 'sucre', 'saindoux', 'cannelle', 'sesamerarome: citro et antioxydants ', 'E-304', 'E-306', 'i Contient sesame']","['E304 - Acide palmityle-6-L-ascorbique', 'E306 - Extrait riche en tocophérols']",['Graines de sésame'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,?,505,2113 kj(505 kcal),"26,9","10,3","59,1","24,5","5,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E304 - Palmitate d'ascorbyle""]",,,,,
544,Turrón yema tostada - Carremi - 200g,8410538000670,['Carremi'],"['France', 'Espagne']","['Sucre', 'amandes', 'jaune d’œuf 16,5%', 'sirop de glucose et des conservateurs ', 'E200']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,466,1950 kj(466 kcal),23,"2,9",52,51,11,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', ""Tourons au jaune d'œuf grillé""]",2.9 g,en quantité modérée,51 g,en quantité élevée,0 g,en faible quantité,,+1%,+2%,-6%,+11%,+7%,+26%,+5%,-100%,-100%,"['Sans gluten', 'Point Vert', 'Fabriqué en Espagne', 'Produit Artisanal', 'Qualité Suprême']",Nougat au jaune d'œuf grillé. Turron Yema Tostada,200 g,"['Carton', 'Plastique']",['Duty Free'],23 g,en quantité élevée,17,+22%,D,+22%,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['Espagne'],,,,,,,
545,Chips & Snacks - Frit Ravich,8410564001023,['Frit Ravich'],['France'],[],,,[],,?,519,2171 kj(519 kcal),32,"3,4",49,"0,6","6,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,8410564001252,8410564001252,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Paprika Chips -,8410564001306,,"['France', 'Espagne']",[],,,[],,?,508,2125 kj(508 kcal),30,"3,1",50,"2,6",6,"2,4","0,96","['Snacks', 'Snacks salés']",3.1 g,en quantité modérée,2.6 g,en faible quantité,2.4 g,en quantité élevée,,+10%,+10%,+24%,-27%,+5%,-20%,-29%,+56%,+56%,,,,,,30 g,en quantité élevée,19,+56%,E,+56%,,,,,,,,,,,,,,,,
548,Cheese & Onion Chips,8410564001405,,['France'],[],,,[],,?,508,2125 kj(508 kcal),29,"3,2",53,2,"6,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Chips - Frit Ravich - 210g,8410564001610,['Frit Ravich'],['France'],"['Pommes de terre sélectionnées', 'huile de tournesol et sel']",,,[],3,?,519,2171 kj(519 kcal),32,"3,4",49,"0,6","6,9","1,6","0,64","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",3.4 g,en quantité modérée,0.6 g,en faible quantité,1.6 g,en quantité élevée,,-3%,-3%,-4%,+14%,-4%,-53%,+17%,+21%,+21%,,,210 g,"['Sachet', 'Plastique']",,32 g,en quantité élevée,11,+1%,D,+1%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,
550,Chips - Frit Ravich,8410564001726,['Frit Ravich'],['France'],[],,,[],,?,537,2247 kj(537 kcal),32,"3,1",55,1,"7,3","1,1","0,44","['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",3.1 g,en quantité modérée,1 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+5%,+8%,+0%,+2%,-57%,+28%,-17%,-17%,,,,,,32 g,en quantité élevée,13,+11%,D,+11%,,,,,,,,,,,,,,,,
551,Frites apéro - Frit Ravich,8410564001856,['Frit Ravich'],['France'],[],,,[],,?,530,2218 kj(530 kcal),34,"4,3",0,0,"6,5","1,3","0,52",,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,
552,CACAUETS - frit ravich,8410564002228,['frit ravich'],"['France', 'Espagne']",[],,,[],,?,635,2657 kj(635 kcal),53,11,"8,5","3,9",27,"0,01","0,004","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes']",11 g,en quantité élevée,3.9 g,en faible quantité,0.01 g,en faible quantité,,+7%,+7%,+14%,+52%,-46%,-32%,+11%,-99%,-99%,,,,,,53 g,en quantité élevée,7,+17%,C,+17%,D,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,
553,Cacahuetes salados - Frit Ravich,8410564002280,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,641,2682 kj(641 kcal),54,"9,5","5,9","4,2",28,"0,5","0,2","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', 'Cacahuètes décortiquées']",9.5 g,en quantité élevée,4.2 g,en faible quantité,0.5 g,en quantité modérée,,+4%,+4%,+9%,+25%,-44%,-1%,+8%,-32%,-32%,,,,,,54 g,en quantité élevée,9,+56%,C,+56%,D,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,
554,Cacahuetes,8410564002457,,['France'],[],,,[],,?,607,2540 kj(607 kcal),48,"8,7",14,4,24,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Chips PREMIUM Vegetales - Frit Ravich,8410564002648,['Frit Ravich'],['France'],[],,,[],,?,528,2209 kj(528 kcal),31,"3,9",57,15,"4,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Almendras,8410564005632,,"['France', 'Espagne']",[],,,[],,?,665,2782 kj(665 kcal),60,"4,8","3,7","3,7",23,"0,23","0,092","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",4.8 g,en quantité modérée,3.7 g,en faible quantité,0.23 g,en faible quantité,,+6%,+6%,+13%,+5%,-72%,-14%,+18%,+212%,+212%,,,,,,60 g,en quantité élevée,13,+656%,D,+656%,,,,,,,,,,,,,,,,
557,Pipas Mejicano - Frit Ravich - 45g,8410564008602,['Frit Ravich'],['France'],"['Graines de tournesol et arôme de barbecue [sel', 'sucre ', 'exhausteur de goût ', 'E621', 'E631', 'E627', ' arômes ', 'contient du gluten', ' ', 'épices', 'extrait de levure', 'fécule de maïs', 'protéine végétale', 'hydrolysée ', 'contient du soja', 'colorant E150d']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', ""E150d - Caramel au sulfite d'ammonium""]","['Gluten', 'Soja']",[],4,?,634,2653 kj(634 kcal),54,"5,5","3,8","2,3",30,"0,02","0,008","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol', 'Graines de tournesol grillées', 'Graines de tournesol en coque', 'Graines de tournesol en coque grillées']",5.5 g,en quantité élevée,2.3 g,en faible quantité,0.02 g,en faible quantité,,+29%,+27%,+32%,+32%,-64%,+15%,+57%,-99%,-99%,,"Pipas sabor Mejicano. - Graines de tournesol grilées, salées, pimentées.",45 g,"['Sachet', 'Plastique']",,54 g,en quantité élevée,7,-49%,C,-49%,C,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,
558,Almendras Saladas - frit ravich - 40g,8410564009340,['frit ravich'],['France'],"['almendras repeladas', 'aceite de girasol', 'sal']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,665,2782 kj(665 kcal),60,"4,8","3,7","3,7",23,"0,2","0,08","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",4.8 g,en quantité modérée,3.7 g,en faible quantité,0.2 g,en faible quantité,,+98%,+97%,+770%,+112%,-94%,-91%,+460%,+128%,+128%,,,40 g,,,60 g,en quantité élevée,2,-58%,B,-58%,,,,,,,,,['Girona'],,,['Espagne'],,,,
559,mais + tierno - Frit Ravich,8410564011091,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,461,1929 kj(461 kcal),16,"1,8",68,"1,3","8,1","1,6","0,64","['Snacks', 'Snacks salés']",1.8 g,en quantité modérée,1.3 g,en faible quantité,1.6 g,en quantité élevée,,-0%,-0%,-34%,-57%,+43%,-60%,-5%,+4%,+4%,,,,,,16 g,en quantité modérée,13,+7%,D,+7%,,,,,,,,,,,,,,,,
560,F.ravich Cockt.a / CLOS.200 - Frit Ravich,8410564011169,['Frit Ravich'],['France'],[],,,[],,?,567,2372 kj(567 kcal),58,0,0,0,21,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Còctel Oriental Fruits Secs Frit Ravich,8410564011312,['Frit ravich'],['France'],[],,,[],,?,402,1682 kj(402 kcal),"5,9","1,3",75,10,11,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Maxi Coctel - Frit Ravich,8410564011473,['Frit Ravich'],['France'],"['Arachides', 'maïs et produits frits d’apéritif avec goût à barbecue ', 'maïs', 'graisse végétale de palme', 'sel', 'arôme ', 'contient lait', 'maltodextrine de maïs', 'exhausteur de goût ', 'E-621 E-627 E-641 E-635', 'arôme fumée', 'acidifiant ', 'E-330', 'colorants ', 'E-160c E-160b', 'fèves', 'graisse végétales de palme', 'pois chiches', 'maïs géant', 'sel et huile de tournesol', ' Peut contenir fruits à coque']","['E330 - Acide citrique', 'E160c - Extrait de paprika', 'E160b - Rocou']","['Lait', 'Arachides']",['Huile de palme'],4,?,524,2192 kj(524 kcal),33,"9,1",34,"2,6",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,,
563,Cocteleo - Frit Ravich,8410564011602,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,524,2192 kj(524 kcal),33,"9,1",34,"2,6",19,"1,5","0,6","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",9.1 g,en quantité élevée,2.6 g,en faible quantité,1.5 g,en quantité modérée,,-16%,-16%,-38%,+99%,+158%,-40%,-3%,+1935%,+1935%,,,,,,33 g,en quantité élevée,21,+1121%,E,+1121%,,,,,,,,,,,,,,,,
564,TOPPY - Frit Ravich,8410564011787,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,494,2067 kj(494 kcal),29,"3,1",39,21,17,"0,09","0,036","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",3.1 g,en quantité modérée,21 g,en quantité élevée,0.09 g,en faible quantité,,+47%,+47%,+320%,+37%,-33%,-52%,+314%,+3%,+3%,,,,,,29 g,en quantité élevée,3,-37%,C,-37%,,,,,,,,,,,,,,,,
565,Cocktail de mais,8410564011985,,['France'],[],,,[],,?,528,2209 kj(528 kcal),30,"4,5",46,"2,7",14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Frit ravich,8410564012012,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,525,2197 kj(525 kcal),31,"8,2",43,"2,3",14,"3,1","1,24","['Snacks', 'Snacks salés']",8.2 g,en quantité élevée,2.3 g,en faible quantité,3.1 g,en quantité élevée,,+14%,+14%,+28%,+94%,-10%,-30%,+65%,+101%,+101%,,,,,,31 g,en quantité élevée,24,+97%,E,+97%,,,,,,,,,,,,,,,,
567,Còctel Mel Mostassa Frit Ravich,8410564012067,['Frit ravich'],"['France', 'Espagne']",[],,,[],,?,527,2205 kj(527 kcal),30,"4,4",47,"4,2",14,"1,6","0,64","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",4.4 g,en quantité modérée,4.2 g,en faible quantité,1.6 g,en quantité élevée,,-16%,-16%,-43%,-4%,+256%,-3%,-28%,+2071%,+2071%,,,,,,30 g,en quantité élevée,17,+888%,D,+888%,,,,,,,,,,,,,,,,
568,Pistacho Iran F.ravich - Frit Ravich,8410564024091,['Frit Ravich'],['France'],[],,,[],,?,637,2665 kj(637 kcal),55,6,"9,8","6,7",22,"1,8","0,72","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches']",6 g,en quantité élevée,6.7 g,en quantité modérée,1.8 g,en quantité élevée,,+5%,+5%,+12%,-6%,-37%,-3%,-1%,+75%,+75%,['en:gluten-free'],,,,,55 g,en quantité élevée,10,+68%,C,+68%,D,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,
569,Altramuces - Frit Ravich - 623g,8410564028082,['Frit Ravich'],['France'],"['Lupins', 'eau', 'sel', 'conservateurs ', 'E-270', 'E-211', 'E-202', 'acidifiant ', 'E-330', ' et antioxydant ', 'E-300']","['E270 - Acide lactique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",['Lupin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,295,1234 kj(295 kcal),"1,7","0,3",32,"0,5",32,"0,4","0,16","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Pickles', ""Pickles d'origine végétale"", 'Légumineuses en conserve', 'Pickles de légumineuses', 'Tramousses']",0.3 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en quantité modérée,,+176%,+172%,-37%,-26%,+708%,+68%,+169%,-88%,-88%,"['en:gluten-free', 'Point Vert']",Lupins en conserve,623 g,"['Bocal', 'Verre', 'métal']",,1.7 g,en faible quantité,-6,-188%,A,-188%,,,,,,,,,,,,,,,,
570,Pate feuilletée fourrée à la crème,8410564031341,,['France'],[],,,[],,?,0,0 kj(0 kcal),21,0,58,23,"3,6","0,75","0,3","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",0 g,en faible quantité,23 g,en quantité élevée,0.75 g,en quantité modérée,,-100%,-100%,-3%,-100%,+51%,+1423%,-38%,-26%,-26%,,,,,,21 g,en quantité élevée,6,-64%,C,-64%,D,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,,,,
571,Cintas con sabor de  bacon - Frit Ravich,8410564033093,['Frit Ravich'],"['France', 'Espagne']",[],,,[],,?,509,2130 kj(509 kcal),28,"3,4",59,"1,2","4,3","2,8","1,12","['Snacks', 'Snacks salés']",3.4 g,en quantité modérée,1.2 g,en faible quantité,2.8 g,en quantité élevée,,+10%,+10%,+16%,-20%,+24%,-63%,-49%,+82%,+82%,,,,,,28 g,en quantité élevée,19,+56%,E,+56%,,,,,,,,,,,,,,,,
572,Cortezas de Cerdo - Frit Ravich,8410564034083,['Frit Ravich'],['France'],"['Couennes de porc', 'graisse de porc', 'sel et antioxydants ', 'E-306 et E-304i']","['E306 - Extrait riche en tocophérols', ""E304i - Palmitate d'ascorbyle""]",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,?,484,2025 kj(484 kcal),23,"7,7",0,0,70,"3,7","1,48","['Snacks', 'Snacks salés', 'Couennes de porc frites']",7.7 g,en quantité élevée,0 g,en faible quantité,3.7 g,en quantité élevée,,-2%,-2%,-3%,-6%,-100%,-100%,+2%,+12%,+12%,['en:gluten-free'],,,,,23 g,en quantité élevée,23,0%,E,0%,,,,,,,,,,,,,,,,
