,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,generic_name,quantity,packaging,markets,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
795,Jumbo twist tutti frutti - Damel,8411500110090,['Damel'],['France'],[],,,[],,?,372,1556 kj(372 kcal),"3,6","3,3",83,66,"1,9","0,133","0,053",,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,
796,bonbons - Damel,8411500110359,['Damel'],['France'],[],,,[],,?,342,1431 kj(342 kcal),"1,5","1,2",80,61,"1,9","0,133","0,053","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",1.2 g,en faible quantité,61 g,en quantité élevée,0.133 g,en faible quantité,,-4%,-5%,-19%,+13%,-4%,+5%,-10%,+10%,+10%,,,,,,1.5 g,en faible quantité,15,+4%,D,+4%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
797,Cintas arcoiris pika - Damel,8411500110410,['Damel'],['France'],[],,,[],,?,342,1431 kj(342 kcal),"1,5","1,2",80,61,"1,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Ceintures france acide - Damel,8411500110816,['Damel'],['France'],"['Sucre', 'Sirop de glucose-fructose', 'FARINE DE BLÉ', 'Eau', 'Graisse végétale ', 'Coco', 'Acidifiants: E-330', 'E-296', 'Emulsifiant E471 ', 'Arômes', 'Conservateur: E-202', 'Colorants: Voir cachet']","['E330 - Acide citrique', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,?,351,1469 kj(351 kcal),"1,8","1,8",81,57,"2,8","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Cintas sabor a fresa pika - Damel,8411500111110,['Damel'],"['France', 'Espagne']",[],,,[],,?,342,1431 kj(342 kcal),"1,5","1,2",80,61,"1,9","0,1","0,04","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",1.2 g,en faible quantité,61 g,en quantité élevée,0.1 g,en faible quantité,,-4%,-5%,-19%,+13%,-4%,+5%,-10%,-17%,-17%,['Fabriqué en Espagne'],,,,,1.5 g,en faible quantité,15,+4%,D,+4%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
800,8411500111950,8411500111950,,['France'],[],,,[],,?,341,1427 kj(341 kcal),?,"0,1",?,73,"4,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Rellenitos sabor fresa - Damel,8411500112759,['Damel'],['France'],"['sucre', 'sirop de glucose - fructose', 'FARINE DE BLÉ,Eau', 'graisse végétale', 'coco', ',Acidifiant :E330,E296,Émulsifiant:E471,G gélatine', 'amidon de BLÉ', 'Arômes', 'Conservateur:E202,Colorant: voir cachet', 'agent de demoulage: huile de végétale de palme', ""cire d'abeille"", 'Cire de carnoube']","['E330 - Acide citrique', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E901 - Cire d'abeille""]",['Gluten'],"['Huile de palme', 'Non végétalien']",4,?,372,1556 kj(372 kcal),"3,6","3,3",83,66,"1,9","0,133","0,053",['Confiserie espagnole'],3.3 g,en quantité modérée,66 g,en quantité élevée,0.133 g,en faible quantité,,,,,,,,,,,,,,['boîte plastique'],,3.6 g,en quantité modérée,17,,D,,,,,,,,,,,,,,https://www.egolosinas.com/es/177-regaliz-tubo-brillo?p=4,,,
802,Damel,8411500114579,['Damel'],['France'],[],,,[],,?,339,1418 kj(339 kcal),"0,2","0,2",76,"0,2","6,2","0,133","0,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Gummy bears - Damel,8411500115385,['Damel'],['France'],[],,,[],,?,207,866 kj(207 kcal),"0,2","0,2",76,0,"5,7","0,133","0,053","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés']",0.2 g,en faible quantité,0 g,en faible quantité,0.133 g,en faible quantité,,-37%,-39%,-48%,+48%,-2%,-100%,+18%,+95%,+95%,,,,,,0.2 g,en faible quantité,-1,-108%,A,-108%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
804,Masmelos - Damel - 100grammes,8411500350632,['Damel'],['France'],[],,,[],,?,339,1418 kj(339 kcal),"0,5",0,"80,5","72,5","4,2","11,7","4,68",,,,,,,,,,,,,,,,,,['en:gluten-free'],,100 grammes,,,,,,,,,,,,,,,,,,,,,,,,
805,Calamares en tinta (Trozos),8411555050174,,['France'],[],,,[],,?,211,883 kj(211 kcal),"17,1","1,8","4,5",2,"9,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Atun claro en aceite de oliva - Cabo De Penas,8411555050792,['Cabo De Penas'],['France'],[],,,[],,?,209,874 kj(209 kcal),"12,9","2,2","0,2",0,"23,1","1,2","0,48","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", ""Thons pales à l'huile d'olive""]",2.2 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,,-24%,-24%,-36%,-29%,-41%,,+5%,+32%,+32%,,,,,,12.9 g,en quantité modérée,4,-33%,C,-33%,E,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,
807,Sardinillas aceite oliva con pimiento de padrón - Cabo de Peñas,8411555060609,['Cabo de Peñas'],['France'],[],,,[],,?,217,908 kj(217 kcal),"14,4","2,5","0,6",0,"21,2","1,5","0,6","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au piment""]",2.5 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,,-8%,-9%,-14%,-29%,+44%,-100%,-0%,+52%,+52%,,,,,,14.4 g,en quantité modérée,5,-5%,C,-5%,D,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,
808,"Mejillones en escabeche - Cabo de Peñas - 111g, 8/12",8411555100015,['Cabo de Peñas'],"['France', 'Espagne']","['Mejillones', 'aceite de girasol', 'vinagre de vino', 'especias y sal']",,['Mollusques'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,160,669 kj(160 kcal),"7,5","1,1",5,0,"18,1",2,"0,8","['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",1.1 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,-20%,-20%,-45%,-47%,+61%,-100%,+15%,+48%,+48%,,,"111 g, 8/12","['Caja', 'Cartón', 'Lata', 'En conserva']",,7.5 g,en quantité modérée,5,-10%,C,-10%,D,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,['ES 12.00424/PO CE'],,,,,,
809,Navaja Cabo De Peñas 6 / 8P,8411555110090,,['France'],[],,,[],,?,97,406 kj(97 kcal),"1,6","0,5","2,3",0,"18,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Calamars (trocos) -,8411555160040,,"['France', 'Espagne']",[],,,[],,?,125,523 kj(125 kcal),"6,4","0,9","3,8",0,13,"0,8","0,32","['Produits de la mer', 'Mollusques', 'Calamars']",0.9 g,en faible quantité,0 g,en faible quantité,0.8 g,en quantité modérée,,-21%,-24%,-32%,-37%,-14%,-100%,-1%,-29%,-29%,,,,,,6.4 g,en quantité modérée,-1,-138%,A,-138%,,,,,,,,,,,,,,,,
811,Calamares en salsa americana ecológica lata 65 g - Cabo de Peñas,8411555160408,['Cabo de Peñas'],['France'],[],,,[],,?,128,536 kj(128 kcal),"5,8","0,7",2,0,"16,6","1,1","0,44",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,
812,Bacalao a la vizcaína con aceite de oliva - Cabo de Peñas,8411555200012,['Cabo de Peñas'],['France'],"['Morue', 'tomate', ""huile d'olive "", '14%', ' oignon', 'farine de riz', 'poivron rouge', 'sel et épices']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,?,169,707 kj(169 kcal),"5,1","1,3",17,"0,6","13,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Olives farcies a la pâte d'anchois - Fruyper,8411578100252,['Fruyper'],"['France', 'Espagne']","['Eau', 'olives manzanilla vertes', 'pâte de anchois 6% ', 'eau', 'anchois', 'stabilisant E-401', 'sel', 'exhausteur de goût E-621', 'E-635', 'acidifiant E-330', 'antioxydant E-300', ' Peut contenir des traces de crustacés', ' ', 'Produit pasteurisé']","['E401 - Alginate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E330 - Acide citrique', 'E300 - Acide ascorbique']",['Poisson'],"['Non végétalien', 'Non végétarien']",4,?,149,623 kj(149 kcal),"14,1","2,4","5,6","0,5","1,7","3,6","1,44","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",2.4 g,en quantité modérée,0.5 g,en faible quantité,3.6 g,en quantité élevée,,-1%,-2%,-7%,-13%,+649%,+367%,+27%,+16%,+16%,,,,,,14.1 g,en quantité modérée,10,-17%,C,-17%,B,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
814,Aceitunas verdes rellenas de salmón,8411578110329,,['France'],[],,,[],,?,134,561 kj(134 kcal),"13,8","2,6","2,4","0,5","1,2","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Olives farcies aux poivrons Les Conviviales FRUYPER,8411578110350,['Fruyper'],['France'],"['Eau', 'olives vertes', 'pâte de poivron 6% ', 'eau', 'poivron E-401', 'sel', 'exhausteur de goût ', 'E-621', 'E-635', ',', ' E-330', 'antioxydants E300']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,[],4,?,189,791 kj(189 kcal),"19,9",3,"4,2","0,5","1,1","3,45","1,38","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",3 g,en quantité modérée,0.5 g,en faible quantité,3.45 g,en quantité élevée,,+33%,+32%,+43%,+30%,+122%,+102%,0%,-1%,-1%,,,,,,19.9 g,en quantité modérée,9,-20%,C,-20%,B,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
