,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
1007,Tonic' Barre,3760115096486,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,441,,1845 kj(441 kcal),,13,,2,,72,,65,,"7,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
1008,Tonic Barre Pistache & sel - MelTonic,3760115096530,,,,['MelTonic'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,"11,5",,"1,8",,"39,09",,27,,6,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
1009,"Confit d'oignon rouge, miel et épices - Famille Mary",3760115096554,,,,['Famille Mary'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,['France'],"['oignon rouge', 'sucre de canne', 'miel', 'vinaigre', 'vin blanc', 'sel', 'poivre', 'cannelle', 'muscade,clou de girofle', 'pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,47.3 g,en quantité élevée,2.19 g,en quantité élevée,?,,216,+29%,904 kj(216 kcal),+28%,"0,5",-70%,"0,1",-62%,"49,7",+42%,"47,3",+46%,"1,1",+10%,"2,19",+250%,"0,876",+250%,16,+143%,D,+143%,,,,,,,,,,,,,,
1010,Miel fleur de sel de noirmoutier - Famille Mary - 170g,3760115096615,,170 g,,['Famille Mary'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['France'],,,,,
1011,Gâteau Tonique - MelTonic,3760115097025,,,,['MelTonic'],,"['Bio', 'en:gluten-free']",['France'],[],,,[],,,,,,,,,,?,,373,,1561 kj(373 kcal),,"4,2",,"0,5",,77,,48,,"5,3",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
1012,Confiture Bio au miel et mirabelle de Lorraine - Famille Mary,3760115097407,B,,,['Famille Mary'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,54.6 g,en quantité élevée,0.01 g,en faible quantité,?,,227,+2%,950 kj(227 kcal),+1%,"0,1",-55%,"0,1",+107%,"56,1",+4%,"54,6",+6%,"0,5",+29%,"0,01",-51%,"0,004",-51%,11,+14%,D,+14%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
1013,Lait fermier de Normandie - Ferme du Marais - 1L,3760115150003,B,1L,"['Flacon plastique transparent PET', 'Bouchon plastique']",['Ferme du Marais'],"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits frais', 'Laits pasteurisés']",,['France'],['Lait demi-écrémé pasteurisé'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.113 g,en faible quantité,?,,46,-19%,192 kj(46 kcal),-17%,"1,5",-37%,1,-31%,"4,8",+1%,"4,8",+8%,"3,2",-2%,"0,113",+14%,"0,045",+14%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['76270 Fesques'],"['France', 'Normandie']","['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)']",['GrandFrais'],Lait frais pasteurisé demi-écrémé,,
1014,Yaourt brassé ferme du marais sans colorant sans ogm aromes naturel - Yaourt de la Ferme du Marais - 180g,3760115151130,B,180 g,,['Yaourt de la Ferme du Marais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts brassés aux fruits', 'Yaourts au citron']",['Sans colorants'],['France'],"['lait entier 75%', 'sacharose 7%', 'cellules de citron 5', '7%', 'poudre de lait 2', '4%', 'sucre', 'eau', 'cellules d orange 3%', 'jus concentré de citron', 'amidon de maïs', 'arômes naturels de citron', 'pectine 0', '06%', 'ferments lactiques', 'sorbate de potassium ', '\rsans OGM\r Nouvelle composition']","['E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,2.9 g,en faible quantité,1.7 g,en quantité modérée,11.2 g,en quantité modérée,0.09 g,en faible quantité,?,,95,-10%,397 kj(95 kcal),-10%,"2,9",-29%,"1,7",-35%,"14,5",+8%,"11,2",-11%,"2,8",-20%,"0,09",-25%,"0,036",-25%,3,-17%,C,-17%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Fesques'],['France'],"['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)']",['Auchan'],,ferme du marais yaourt arômes naturels sans OGM sans colorant,
1015,Yaourt de la ferme du marais sans colorant sans ogm arome naturel framboise - 180g,3760115151307,,180 g,['pot en verre'],['ferme du marais'],,['Sans colorants'],['France'],['SANS COLORANT\rSANS OGM\rAROMES NATUREL'],,,[],,,,,,,,,,?,,95,,397 kj(95 kcal),,"2,9",,"1,7",,"14,5",,"11,2",,"2,8",,"0,1",,"0,04",,,,,,,,,,,,,['Fesques'],,"['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)']",['Auchan'],,ferme du marais yaourt arômes naturels sans OGM sans colorant,
1016,Yaourt saveur Vanille,3760115153400,,,,,,,['France'],[],,,[],,,,,,,,,,?,,95,,397 kj(95 kcal),,"2,9",,"1,7",,"14,5",,"11,2",,"2,8",,"0,1",,"0,04",,,,,,,,,,,,,,,"['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)', 'FR 75.262.001 CE']",,,,
1017,Yaourt vanille,3760115153707,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['France'],[],,,[],,2.9 g,en faible quantité,1.7 g,en quantité modérée,11.2 g,en quantité modérée,0.09 g,en faible quantité,?,,95,+3%,397 kj(95 kcal),+3%,"2,9",-11%,"1,7",-17%,"14,5",+32%,"11,2",+11%,"2,8",-26%,"0,09",-22%,"0,036",-22%,3,-2%,C,-2%,,,,,,,,,,"['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)']",,,,
1018,yaourt de la ferme du marais,3760115153806,,,,,,,['France'],[],,,[],,,,,,,,,,?,,95,,397 kj(95 kcal),,"2,9",,"1,7",,"14,5",,"11,2",,0,,0,,0,,,,,,,,,,,,,,,,,,,
1019,Le fromage blanc,3760115155305,,,,,,,['France'],[],,,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,"0,1",,"0,06",,6,,"5,5",,"8,2",,"0,14",,"0,056",,,,,,,,,,,,,,,"['FR 76.262.001 CE', 'Fesques (Seine-Maritime, France)']",,,,
1020,Yaourt Abricot - Ferme du Marais - 125g,3760115162006,A,125 g,"['Pot', 'Verre']",['Ferme du Marais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', ""Yaourts à l'abricot"", 'Yaourts sucrés']","['Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",['France'],"['lait entier 75', '2 %', 'purée à base de concentré abricot 10', '36%', 'saccharose 6', '6%', 'poudre de lait', 'sucre', 'eau', 'amidon de maîs', ""arôme naturel d 'abricot"", 'pectine', 'jus concentré de carotte', 'ferments lactiques', 'sorbate de potassium\rSANS COLORANT\rSANS OGM\rarome naturel\rNouvelle composition']","['E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Fesques'],"['France', 'Normandie']","['FR 76.262.001', 'Fesques (Seine-Maritime, France)']",['Auchan'],Yaourt brassé abricot sans colorant sans ogm arome naturel,,
1021,Caboches d'Auvergne,3760115210035,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,18,,10,,53,,30,,8,,0,,0,,,,,,,,,,,,,,,,,,,
1022,Biscuits salés Cantal - Les Badines D'Auvergne,3760115210042,,,,"[""Les Badines D'Auvergne""]",,['Sans colorants'],['France'],"['farine', 'margarine', 'fromage de Cantal 11%', 'oeufs', 'oignons grillés 6%', 'arôme', 'poudre levante', 'sel Atelier utilisant des fruits à coque']",,['Œufs'],['Non végétalien'],4,,,,,,,,,?,,407,,1703 kj(407 kcal),,"26,3",,15,,"33,6",,1,,9,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,
1023,Les Badines d'Auvergne salés à la fourme d'Ambert,3760115210097,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,473,,1979 kj(473 kcal),,"33,4",,"0,7",,31,,1,,12,,1,,"0,4",,,,,,,,,,,,,,,,,,,
1024,Galette au beurre frais nature,3760115210967,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,115,,481 kj(115 kcal),,"23,5",,"18,8",,"51,6",,23,,"6,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1025,Tapenade,3760115211186,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1026,Les p'tits bilous d'Auvergne,3760115211544,,,,,,,['France'],[],,,[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,"19,3",,"15,44",,"47,6",,36,,"4,9",,0,,0,,,,,,,,,,,,,,,,,,,
1027,Les badines d'auvergne,3760115212008,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,473,,1979 kj(473 kcal),,"33,4",,"23,38",,31,,1,,12,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,
1028,Les croquants d'amamndes,3760115212435,,,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,,,,,,,,,?,,476,,1992 kj(476 kcal),,"17,5",,"3,5",,"66,2",,"25,9",,"13,3",,,,,,,,,,,,,,,,,,,,,,,
1029,La galette caramel beurre salé,3760115212527,,,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,,,,,,,,,?,,444,,1858 kj(444 kcal),,"21,7",,"17,39",,"56,2",,29,,6,,"0,81",,"0,324",,,,,,,,,,,,,,,,,,,
1030,Le moelleux au citron,3760115212565,,,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,,,,,,,,,?,,436,,1824 kj(436 kcal),,"22,75",,"18,2",,"51,6",,23,,"4,2",,,,,,,,,,,,,,,,,,,,,,,
1031,Les P'tits Bilous,3760115212794,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,"19,3",,"15,44",,"47,6",,36,,"4,9",,0,,0,,,,,,,,,,,,,,,,,,,
1032,Les p’tits Bilous - L’atelier auvergnat,3760115213579,,,,['L’atelier auvergnat'],,"['Sans colorants', 'Sans conservateurs']",['France'],"[""pilous FGV sog p'tit5 sucre"", ""blancs d'oeufs"", 'beurre', ""poudre d'amandes 1496,farine"", 'arôme vanille', ""extrait d'amandes 0"", '50% diuo : 09%3/2018 : 402017']",,"['Œufs', 'Lait', 'Fruits à coque']",['Non végétalien'],4,,,,,,,,,?,,384,,1607 kj(384 kcal),,"19,3",,"15,44",,"47,6",,36,,"4,9",,0,,0,,,,,,,,,,,,,,,,,,,
1033,Recolte du verger - St Mamet,3760115213586,,,,['St Mamet'],,['en:gluten-free'],['France'],"['MÉLANGE DE 4 FRUITS AU SIROP LÉGER AROMATISÉ : Pêches en cubes ', '17 à 30%', 'poires en cubes ', '17 à 30%', 'pommes en cubes ', '5 à 15%', 'bigarreaux dénoyautés colorés avec E127 ', '1 à 5%', ' eau', 'sirop de glucose-fructose', 'sucre', 'arômes naturels ', 'acidifiants: acide citrique ', ' SANS GLUTEN* ""comme tous les produits de la catégorie']",['E330 - Acide citrique'],['Gluten'],[],4,,,,,,,,,?,,61,,255 kj(61 kcal),,"0,5",,"0,1",,14,,11,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,
1034,Bergottes - L’atelier Auvergnat,3760115213661,,,,['L’atelier Auvergnat'],,['Sans conservateurs'],['France'],"['Bergottes Citron 50 g X 45 SACHETS Ingrédients ', ' citron 5%,zest citron l%,poudre levante no lot : 432017 : 24%3/2018']",,,[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,"29,4",,"17,64",,49,,29,,"7,8",,0,,0,,,,,,,,,,,,,,,,,,,
1035,P'tits Bilous 80 g X 30 SACHETS,3760115213708,,,,,,,['France'],[],,,[],,,,,,,,,,?,,100,,418 kj(100 kcal),,"19,3",,"15,44",,"47,6",,36,,"4,9",,,,,,,,,,,,,,,,,,,,,,,
1036,Gommes au sapin,3760115260085,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans colorants', 'AB Agriculture Biologique']",['France'],[],,,[],,,,,,,,,,?,,249,,1042 kj(249 kcal),,"0,1",,0,,30,,30,,"1,5",,,,,,,,,,,,,,,,,,,,,,,
1037,Bonbons myrtille,3760115260221,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,2",,"0,14",,"98,6",,72,,"0,5",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,
1038,Violette,3760115260337,,,,,,"['Bio', 'Sans colorants']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1039,Brisures de fruits rouges,3760115260436,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1040,Assortiment : Cerise Framboise Coquelicot,3760115260641,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,"0,5",,"0,2",,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,
1041,bonbons des Vosges,3760115260757,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1042,Noix sèches - Zweifel,3760115410015,,,,['Zweifel'],,,['France'],[],,,[],,,,,,,,,,?,,700,,2929 kj(700 kcal),,62,,"5,7",,13,,"5,9",,15,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
1043,Noix sèches de Corrèze,3760115410145,,,,,,,['France'],[],,,[],,,,,,,,,,?,,700,,2929 kj(700 kcal),,62,,"5,7",,13,,"5,9",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1044,MYRTILLES 125g,3760115412026,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1045,Marrons cuits bio - Bio je t'aime - 200g,3760115415126,,200 g,"['Carton', 'Plastique', 'Sous-vide']","[""Bio je t'aime""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Marrons', 'Marrons cuits']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'FR-BIO-09', 'AB Agriculture Biologique']",['France'],"['Marrons bio', 'eau']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.3 g,en faible quantité,0.2 g,en faible quantité,8.3 g,en quantité modérée,0.1 g,en faible quantité,?,,177,,741 kj(177 kcal),+18%,"1,3",+14%,"0,2",+6%,"35,6",+18%,"8,3",+46%,"2,6",+16%,"< 0,1",-22%,"0,04",-22%,-3,,A,,,,,,,,,['France'],['France'],,['Carrefour Contact'],,,
1046,Sucre de palme - 100 pour 100 équitable - 100g,3760115500068,B,100 g,,['100 pour 100 équitable'],"['Édulcorants', 'Sucres']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique', 'KH-BIO-602']",['France'],['sucre de palme biologique complet et artisanal du Camboge'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,['Cambodge'],['Cambodge'],,,Sucre de palme,,
1047,Domaine des trois vallées  -,3760115646100,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1048,Fenouil amande et cajou,3760115647022,,,,,,['Sans colorants'],['France'],[],,,[],,,,,,,,,,?,,124,,519 kj(124 kcal),,"9,85",,"1,36",,"4,02",,"2,45",,"2,12",,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,
1049,Velours de creme - Saveurs Sud,3760115647541,,,,['Saveurs Sud'],,['Label Rouge'],['France'],"['rouge ', '55%', 'ail', 'oignone bin huik 1%', 'poMe de tladdifaii« ligtm : à des %les', 'plats de p:yes', 'riz', 'de terre']",,,[],,,,,,,,,,?,,104,,435 kj(104 kcal),,"4,86",,"0,68",,"10,49",,"6,29",,"2,03",,"2,37",,"0,948",,,,,,,,,,,,,,,,,,,
1050,Moules,3760115743410,C,,,,"['Produits de la mer', 'Mollusques', 'Moules']",,['France'],[],,,[],,3.1 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,0.968 g,en quantité modérée,?,,125,-17%,523 kj(125 kcal),-17%,"3,1",-63%,1,-36%,7,+83%,0,-100%,"17,2",+19%,"0,968",-19%,"0,387",-19%,0,-100%,B,-100%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,
1051,Nougat amandes figue,3760115963047,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1052,Nougat a la violette,3760115965911,,,,,,,['France'],[],,,[],,,,,,,,,,?,,398,,1665 kj(398 kcal),,"1,7",,"1,7",,92,,83,,"3,3",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,
1053,Calzone margherita - Odel,3760116200202,,,,['Odel'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Calzone']",,['France'],[],,,[],,6.1 g,en quantité modérée,2.8 g,en quantité modérée,2.3 g,en faible quantité,1.2 g,en quantité modérée,?,,227,+8%,950 kj(227 kcal),+8%,"6,1",-1%,"2,8",-8%,31,+10%,"2,3",-32%,"10,8",+17%,"1,2",-1%,"0,48",-1%,4,-26%,C,-26%,,,,,,,,,,,,,,
1054,Pizza aux legumes grillés - Odel,3760116200356,,,,['Odel'],,,['France'],[],,,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"1,6",,"0,2",,31,,"2,9",,"6,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,
1055,Lasagne au saumon - Odel,3760116200455,D,,,['Odel'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,['France'],[],,,[],,6.8 g,en quantité modérée,2.5 g,en quantité modérée,2 g,en faible quantité,0.9 g,en quantité modérée,?,,310,+118%,1297 kj(310 kcal),+124%,"6,8",+6%,"2,5",-10%,15,+25%,2,-6%,"7,2",+7%,"0,9",+22%,"0,36",+22%,4,+59%,C,+59%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,
1056,Gratin au saumon - Odel,3760116200493,,,,['Odel'],,,['France'],[],,,[],,,,,,,,,,?,,175,,732 kj(175 kcal),,7,,2,,10,,"1,1",,"9,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,
1057,Filet de poulet Classe A,3760116240314,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],,,[],,1.8 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en faible quantité,1.03 g,en quantité modérée,?,,385,+194%,1611 kj(385 kcal),+197%,"1,8",-38%,"0,7",-6%,1,+109%,"0,5",+106%,"17,5",-23%,"1,03",+37%,"0,412",+37%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1058,Nuggets poulet - Délices & Snacks - 1kg,3760116240635,D,1 kg,"['Sachet', 'Plastique']",['Délices & Snacks'],"['Viandes', 'Surgelés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,"['Union européenne', 'Hors Union Européenne']",,,,,
1059,Filet de poulet,3760116241373,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],,,[],,1.4 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,121,-8%,506 kj(121 kcal),-7%,"1,4",-51%,"0,3",-60%,3,+526%,"0,7",+188%,"24,2",+6%,"1,8",+140%,"0,72",+140%,3,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1060,Veggy burger,3760116243766,,,,,,,['France'],[],,,[],,,,,,,,,,?,,210,,879 kj(210 kcal),,12,,"1,3",,19,,"2,5",,4,,10,,4,,,,,,,,,,,,,,,"['FR 22.272.010 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,
1061,Pops de poulet,3760116244695,,,,,,,['France'],[],,,[],,,,,,,,,,?,,285,,1192 kj(285 kcal),,19,,"4,6",,"14,6",,"2,3",,"13,9",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1062,cordon bleu,3760116246125,D,,,,"['Viandes', 'Plats préparés', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['Halal'],['France'],[],,,[],,13.6 g,en quantité modérée,3.9 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,?,,210,-5%,879 kj(210 kcal),-5%,"13,6",+12%,"3,9",+23%,"9,8",-29%,"1,1",-30%,"12,2",-8%,"1,1",-15%,"0,44",-15%,4,-44%,C,-44%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,
1063,Pilons de poulet cuit Tex Mex,3760116248310,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,['France'],[],,,[],,7 g,en quantité modérée,1.9 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,?,,139,-22%,582 kj(139 kcal),-22%,7,-25%,"1,9",-27%,"1,1",-21%,1,+52%,18,-7%,"1,4",+55%,"0,56",+55%,3,-11%,C,-11%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,
1064,Emincés de poulet,3760116249003,,,,,,,['France'],[],,,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,1,,"0,3",,"1,8",,"0,5",,20,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
1065,Tisane à sucer Gentiane Citron - Bioforez - 15g,3760116256247,,15g,['Sachet papier'],"['Bioforez', 'Tisane à sucer', 'Biopastille']",['Bonbons sans sucres ajoutés'],"['Bio', 'Sans sucre ajouté', 'Sans lactose', 'Sans cuisson']",['France'],"['Gomme acacia', 'gentiane ', '1,6%', 'agent de charge: carbonate de magnésium', 'huile essentielle de citron ', '0,6%', 'beurre de cacao ', '0,3%']","[""E414 - Gomme d'acacia""]",,[],4,0.2 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.127 g,en faible quantité,263,,?,,263 kj(63 kcal),,"0,2",,"0,2",,"13,2",,"0,5",,"1,1",,"0,127",,"0,051",,-5,,A,,,,,,,,,['St Just St Rambert'],,,['Azur Bio'],Bonbon aux plantes,,
1066,biopastille  - Bioforez - 15g,3760116256261,,15g,,['Bioforez'],,['Sans sucre ajouté'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1067,Tisane a Sucer Acerola 15G,3760116256322,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,,[],,,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1068,tisane a sucer - bioforez - 25,3760116256445,,25,,['Bioforez'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
