,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
247,Oemine Fer,3760099170073,,,,['Oemine'],,,['France'],[],,,[],,,,,,,,,,?,,515,,2155 kj(515 kcal),,"38,54",,0,,"14,93",,0,,"30,7",,0,,0,,,,,,,,,,,,,,,,,,,
248,"Zinc Krill - Œmine - 29,1g ( 60gélules)",3760099170165,,"29,1 g ( 60 gélules)","['Carton', 'boîte', 'Plastique']",['Œmine'],['Compléments alimentaires'],,['France'],"['Crevette', 'hydrolysat de protéine de riz', 'oxyde de zinc', ""agent d'enrobage "", 'gélatine de poisson']",['E428 - Gélatine'],"['Crustacés', 'Poisson']","['Non végétalien', 'Non végétarien']",4,12.3 g,en quantité modérée,,,,,,,1627,+26%,?,,1627 kj(389 kcal),+34%,"12,35",+96%,,,"3,03",-84%,,,"63,75",+86%,,,,,,,,,,,,,,,,['France'],,,,,,
249,Bloc Pur Menthol 7 GR,3760099311278,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
250,La claque - Yumi - 50ml,3760099400163,C,50 ml,"['Plastique', 'Frais']",['Yumi'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['Bio', 'Ecocert', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Fruits et légumes 100% ', 'Pomme Golden 69%', 'Gingembre 21%', 'citron jaune 10 %']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.3 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en quantité modérée,0.8 g,en quantité élevée,?,,39,-15%,163 kj(39 kcal),-15%,"0,3",+78%,"0,1",+256%,"7,2",-32%,"3,5",-64%,"0,6",+53%,"0,8",+7989%,"0,32",+7989%,2,-47%,C,-47%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
251,Sable gourmand,3760099502041,,,,,,['Bio'],['France'],[],,,[],,,,,,,,,,?,,235,,983 kj(235 kcal),,"9,3",,"3,1",,34,,14,,"3,4",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,
252,Biscuits Au Petit Epeautre - Celte Et Nature,3760099510268,,,,['Celte Et Nature'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans conservateurs']",['France'],"['farine de petit épeautre', 'sucre', 'huile de palme', 'œufs en poudre', 'sel', 'poudres à lever ', "" carbonates de sodium - carbonates d'ammonium"", ' Peut contenir des traces de lait', 'de fruits à coque', 'de soja', ""de sésame et d'arachide"", "" *Issu de l'agriculture biologique""]","['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Gluten'],"['Huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,530,,2218 kj(530 kcal),,27,,13,,63,,28,,7,,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,['Huile de palme']
253,Biscuits Au Sarrasin - Celte Et Nature - 130g,3760099510275,,130 g,,"['Celte Et Nature', 'Bio nature et santé']",,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['farine de sarrasin* 45,5%', 'sucre*', 'huile de palme*', 'œufs en poudre*', 'fibres de betterave*', 'sel', ""poudres à lever : carbonates de sodium - carbonates d'ammonium""]","['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,"['Huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,509,,2130 kj(509 kcal),,27,,13,,55,,27,,9,,"0,83",,"0,332",,,,,,,,,,,,,,"['Union européenne', 'Non Union Européenne']",,,,,['Huile de palme']
254,Coquilles celtes bio au petit epautre - Celte Et Nature,3760099510343,,,,['Celte Et Nature'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,431,,1803 kj(431 kcal),,"24,6",,"2,43",,"44,3",,"27,9",,"2,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
255,Coquilles celtes,3760099510350,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,429,,1795 kj(429 kcal),,"24,8",,"2,5",,"44,4",,"26,8",,6,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
256,Palets celtes au sarrasin sans beurre CELTE ET NATURE,3760099510411,,,,,,,['France'],[],,,[],,,,,,,,,,?,,535,,2238 kj(535 kcal),,"26,5",,"12,5",,"68,3",,"24,9",,"5,7",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,
257,Casarecce - Celte et Nature - 500g,3760099510466,B,500 g,"['Sachet', 'Plastique']",['Celte et Nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes sèches', 'Pâtes alimentaires sans gluten']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France']",['France'],['Farine de sarrasin'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.1 g,en quantité modérée,0.68 g,en faible quantité,2.6 g,en faible quantité,0.1 g,en faible quantité,?,,335,-4%,1402 kj(335 kcal),-5%,"3,1",+50%,"0,68",+35%,"70,5",+4%,"2,6",+150%,"12,6",+12%,"0,1",+344%,"0,04",+344%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['France', 'Bretagne']","['France', 'Bretagne']",,,Préparation céréalière sarrasin,,
258,Les pâtes celtes Casarecce,3760099510480,,,,,,,['France'],[],,,[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,"2,22",,"0,27",,68,,"2,31",,15,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
