,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
349,Dessertsosse schoko - Dm Bio,4010355599865,"['Dm Bio', 'DmBio']",['France'],[],"['Végétalien', 'Végétarien']",?,278,1163 kj(278 kcal),1,"0,6",65,57,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-02', 'en:EG-Öko-Verordnung', 'Fabriqué en Belgique']",,,,,,,,,,
350,Leinsamen Ganzes Korn,4010355825674,,['France'],[],[],?,471,1971 kj(471 kcal),"30,9",3,0,0,"28,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Das Gesunde Plus,4010355825902,['Das gesunde Plus'],"['Autriche', 'France']",[],[],?,20,84 kj(20 kcal),0,0,"0,2","0,2",0,"34,2","13,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Wundspray,4010355826947,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Das Gesunde Plus Husten- Und Bronchial Tee,4010355827180,['Das gesunde Plus'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Sucre de raisin - Das gesunde Plus,4010355896353,['Das gesunde Plus'],['France'],[],[],?,367,1536 kj(367 kcal),0,0,"91,8","91,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Fresh pastillen mint - Das gesunde Plus,4010355981073,['Das gesunde Plus'],['France'],[],[],?,242,1013 kj(242 kcal),"0,4","0,4","98,4","96,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,"Vital Snack allerbeste Kerne, Sonnenblumenkerne - Farmer s snack - 250g",4010442410196,['Farmer s snack'],"['France', 'Allemagne']",['Graines de tournesol'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,649,2715 kj(649 kcal),52,"4,5",20,"6,6",21,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,,,
357,Farmer's Snack Schokolata Soft & Sweet 40G,4010442458433,,['France'],[],[],?,494,2067 kj(494 kcal),"28,5",9,"48,4","43,6",9,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Mélange montagniar - Farmer's Snack,4010442458730,"[""Farmer's Snack""]",['France'],[],[],?,524,2192 kj(524 kcal),35,"4,7",33,26,16,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Sonntagsklösse - 200g,4010871010226,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
360,Räucherlachs - 200g,4010871053353,,['France'],[],[],?,169,707 kj(169 kcal),"9,4","1,5",0,0,21,"3,63","1,452",,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,-9%,-10%,-100%,-5%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,9.4 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,3.63 g,en quantité élevée,-9%,-27%,-100%,+29%,+29%,13,-1%,D,-1%,200 g,,,,,,,,,,,
361,"Gendarmes 2 Paires, Le Paquet, 0, 16Kg -",4010931257004,,['France'],[],[],?,444,1858 kj(444 kcal),38,15,"1,3","0,5",24,"4,3","1,72",,,,"['Viandes', 'Charcuteries', 'Saucisses']",,+74%,+83%,-9%,+59%,,,,,,,,38 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,4.3 g,en quantité élevée,+74%,+89%,-34%,+119%,+119%,25,+43%,E,+43%,,,,,,,,,,,,
362,"Odenwälder Marzipan ""Süße Früchtchen""",4010955500605,,['France'],[],[],?,442,1849 kj(442 kcal),"20,5",2,"55,2","50,3","9,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Salsa de chile chipotle,4011036004838,,['France'],[],[],?,114,477 kj(114 kcal),"1,4","0,5","15,7","15,7","4,4",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,4011061532269,4011061532269,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,St 200G M &M'S Cacahuete Mars - 200g,4011100007826,['M&m’s'],['France'],"['Cacahuètes ', '23%', ' enrobées de chocolat au lait ', '48%', "" et dragéifiées' hgrédients: sucre"", 'cacahuètes', 'pâte de cacao', 'lait écrémé en poudre', 'lactose eprotéines de lait', 'beurre de cacao', 'matière grasse de palme', 'matière grasse ct amidon', 'sirop de glucose', 'lactose', 'matière grasse de karité', 'stablTlsant ', 'gctmr• Foique', 'émulsifiant ', 'lécithine de soja', 'colorants* ', 'dextìne', 'agent dtenrobage ', '3e ecarnauba', 'huile de noix de coco', 'sel', 'arômes', ' ', 'Peut contenir', ' noisette', 'atrgnd$ Produit en France', ' Erdnüsse ', '23%', ' in Milchschokolade ', '48%', "" rràZ'Xkerùba'"", '-g• uaten: Zucker', 'Erdnüsse', 'Kakaomasse', 'Magermilchpulver', 'Milchzucker und MilcheiweiB', 'Kakaobutter', 'Palmfett', 'Butterreinfett ', 'aus Mitch', 'Starke', 'GIUk0sesirup', 'Milchzucker', 'Sheafett', 'Stabilisator ', 'Gummi arabicum', 'Emulgatot Walecithin', 'Farbstoffe*', 'Dextrin', 'ÜberZUgsmittel ', 'Carnaubawachs', 'Kokostvssd', 'Aromen', ' ', 'Kann enthalten: HaselnUSS', 'Mandel', ' Hergesteflt in FrankreicN TM/&/designs/O Mars E 100 ', 'El 20 ', 'E 133 ', 'E160a ', 'E160e ', 'E171 ']","['Huile de palme', 'Non végétalien']",?,511,2138 kj(511 kcal),"25,3","10,3","59,2","53,8","9,7","0,09","0,036","['Lait', 'Arachides', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,"['E322i - Lécithine', 'E1400 - Dextrines', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E171 - Oxyde de titane']",4,,,,,,,['Huile de palme'],
366,Ail Extra-Fort - 96 Gélules - Bakanasan,4011246987259,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Salami de boeuf aux paprika halal -,4011259041078,,['France'],[],[],?,342,1431 kj(342 kcal),30,15,1,1,17,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,
368,Falafel,4011259047803,,['France'],[],"['Végétalien', 'Végétarien']",?,323,1351 kj(323 kcal),17,"2,3",33,"2,5",8,2,"0,8",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels']",,+33%,+56%,+49%,-12%,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,17 g,en quantité modérée,2.3 g,en quantité modérée,2.5 g,en faible quantité,2 g,en quantité élevée,+32%,+60%,-1%,+60%,+60%,14,+503%,D,+503%,,"['Végétarien', 'Végétalien']",,,,,,,,,,
369,Falafel,4011259057925,,['France'],[],[],?,323,1351 kj(323 kcal),17,"2,3",33,"2,5",8,2,"0,8",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels']",,+33%,+56%,+49%,-12%,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,17 g,en quantité modérée,2.3 g,en quantité modérée,2.5 g,en faible quantité,2 g,en quantité élevée,+32%,+60%,-1%,+60%,+60%,14,+503%,D,+503%,,['Halal'],,,,,,,,,,
370,Medaillons de filet de dinde,4011364216880,,['France'],[],[],?,110,460 kj(110 kcal),2,"0,8",0,0,23,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Escalopes de dinde,4011364719077,,['France'],[],[],?,587,2456 kj(587 kcal),"6,8","0,9","0,7","0,5",19,"1,8","0,72",,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+385%,+415%,-77%,-17%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,6.8 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,+387%,+123%,-35%,+225%,+225%,14,,D,,,,,,,,,,,,,
372,Molino,4011396130420,,['France'],[],[],?,450,1883 kj(450 kcal),"20,3","8,1",56,"43,9","9,6","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Gambas 50/60 sauce aneth - Fischfeinkost GmbH,4011420044860,['Fischfeinkost GmbH'],['France'],"[""Inaédierfts: CREVETTES d 'Asie de I Est 60%"", ' huile de colza', 'eau', 'CAEME', ' sucre', "" JAUNE D'OEUF"", ' vinaigre d eau de vie', ' sel', ' siro de sucre inverti', ' AMIDON DE BCE', ' amidon modifié', ' aneth', 'GRAIh?s DE MOUTARDE', ' épices', ' acidifiant: acide citrique', 'acide malique', 'L', '+', '-acide tartrique', ' stabihsant: gomme de guar', 'gomme xanthane', 'gomme de caroube', ' carragheen: conservateurs: acide benzoïque', 'acide sorbique']",['Non végétalien'],?,326,1364 kj(326 kcal),"25,5","1,7","6,4","3,9","17,6","1,5","0,6","['Crustacés', 'Œufs', 'Moutarde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E296 - Acide malique', 'E334 - Acide L-tartrique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,,['ASC-C-00400'],,,,,,
374,Gambas 50/60 «Kashmir» - Fischfeinkost GmbH,4011420953971,['Fischfeinkost GmbH'],['France'],"['CREVETe géantes d Asie de I Est 5896', 'huile de colza de mangue eau', ' CREME', ' sucre', "" JAUNE D'OEUF SEMOULE AMENDE Sirop de sucre inverti"", ' cur NOIX DE COCO râpée', ' vinaigre d de vie', ' GPAINES DE M&TARDE', ' pavot', 'AMIDON DE El-E', 'amidon modifié', ' épices', ' sel', 'acidifiant: acide citrique', ' acide malique', ' tartrique: stabilisant: gomme de guar', 'gomme xanthane', ' gomme de caroube', 'carragheen', ' conservateurs: acide benzoïque', 'acide sorbique']",['Non végétalien'],?,233,975 kj(233 kcal),"18,6","2,2","2,6","2,5","12,6",2,"0,8","['Œufs', 'Lait', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E296 - Acide malique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,,['ASC-C-00400'],,,,,,
375,Choco bâtonnets chocolat blanc - System U,4011676001969,['System U'],['France'],"['Farine de blé', 'sucre', 'beurre de cacao', 'graisses végétales ', 'tournesol', 'palme', 'en proportion variable', 'lait écrémé en poudre', 'beurre concentré', 'sirop de glucose', 'émulsifiant ', 'lécithines de soja', 'sel de cuisine', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'arôme', 'Peut contenir des traces de: fruits à coque ', 'CH: noisettes', 'oeuf', 'arachides', 'graines de sésame', ' \rFabriqué en Allemagne']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,523,2188 kj(523 kcal),27,16,63,41,"6,5","0,3","0,12","['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['100% végétal', 'Fabriqué en Allemagne']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",4,,,,,,,,
376,Schwartau Ananas - 340g,4011800100315,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
377,Aprikose  Schwartau,4011800101268,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Johannisbeermarmelade,4011800106317,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
379,Schwartau Extra Wald-heidelbeere,4011800111311,['Schwartau'],['France'],"['Blueberries', 'sugar', 'glucose syrup - gelling agent pectin', 'acidifiercitriç acid']",[],?,232,971 kj(232 kcal),"0,2",0,"55,4","45,9","0,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E440 - Pectines'],4,,,,,,,,
380,Schwartau Hagebutte - 340g,4011800113315,['Schwartau'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
381,Marmelade Erdbeer-Holunder - 340g,4011800129606,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
382,Samt himbeer marmelade - Schwartau,4011800190118,['Schwartau'],['France'],[],[],?,203,849 kj(203 kcal),"0,1",0,"47,6","47,3","0,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Schwartau Pflaume,4011800193911,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Jahinnisbeergelee,4011800215002,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Mohn Back - Schwartau - 250g e,4011800428006,['Schwartau'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,Gâteau au pavot,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g e,['Fabriqué en Allemagne'],,,"['Sachet', 'Plastique']",,,,,,,
386,Corny Big - Nuts,4011800501518,['Corny'],['France'],"['Röstitud täisteraviljahelbed 28% ', 'KAER', 'NISU', 'ODER', 'glükoosi-fruktoosisiirup', 'SARAPUUPAHKLID 10%', 'teraviljahelbed ', 'NISUjahu', 'suhkur', 'maisijahu', 'riisijahu', 'ODRALINNASED', 'sool', 'karamelliseeritud suhkrusiirup', 'glükoosisiirup', 'suhkur', 'maisihelbed ', 'mais', 'sool', 'ODRALINNASE ekstrakt', 'kookosrasv', 'röstitud kookoshelbed', 'mesi', 'sool', 'emulgaator: päevalille letsitiin', 'karamelliseeritud suhkrusiirup', 'looduslik lohna ja maitseaine', 'Võib Sisaldada MANDLI ja MAAPÄHKU tükke,']",['Non végétalien'],?,432,1807 kj(432 kcal),"15,5","7,8","63,8",28,"6,7","0,59","0,236",['Gluten'],,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,+2%,-2%,+6%,-10%,,,,,,,,15.5 g,en quantité modérée,7.8 g,en quantité élevée,28 g,en quantité élevée,0.59 g,en quantité modérée,+2%,+31%,+3%,+51%,+51%,15,+14%,D,+14%,,,,4,,,,,,,,
387,Corny Peanut-chocolate American Style 6 Riegel,4011800501617,['Corny'],['France'],"['Müsliriegel Milchschokolade- Erdnuss Zutaten: Geròstete Erdnüsse 24%', 'Milchschokolade ', 'Zucker', 'Kakaomasse', 'Kakao- butter', 'Magermilchpulver', 'Butterfett', 'Emulgator Sonnen- blumen-Lecithine', 'Glukose- Fruktose-Sirup', 'geròstete Vollkorngetreideflocken ', 'Hafer- 1%', 'Weizen- 2%', 'Getreidecrispies ', 'Weizen- mehl 8%', 'Zucker', 'Reismehl 1%', 'Maismehl 1%', 'Gerstenmalz', 'Salz', 'Karame112uckersirup', 'Glukosesirup', 'Zucker', 'Corn- flakes ', 'Mais 4%', 'Salz', 'Gersten- malzextrakt', 'Kokosfett', 'Honig', 'Emulgator Sonnenblumen- Lecithinej Salz', 'Karamellzucker- sirupw Kann Schalenfrüchte enthalten']",[],?,483,2021 kj(483 kcal),"23,9","10,1","54,1","29,9",0,"0,44","0,176",['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Corny Typ Brownie American Style 6 Riegel,4011800501914,['Corny'],['France'],[],[],?,422,1766 kj(422 kcal),15,10,"63,3","33,5","6,5","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
389,Schwartau Clever Snack Banane-dattel-erdnuss,4011800514518,['Schwärtau'],['France'],"['Getrocknete Datteln 58%', 'geröstete Erdnüsse 20%', 'Bananenpulver 12%', 'Bananen 5%', 'Reismehl', 'natürliches Bananen-Aroma', ' Kann andere Schalenfrüchte und Gluten enthalten']",[],?,356,1490 kj(356 kcal),"10,6","1,8","54,2","40,4",7,"0,07","0,028","['Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
390,Corny gold -  - 4bars,4011800546212,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 bars,,,,,,,,,,,
391,S'more Style Bars - Corny,4011800655518,['Corny'],['France'],[],[],?,434,1816 kj(434 kcal),"15,7","12,4","65,8","33,2","5,7","0,45","0,18",,,D,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits à coques', 'Barre céréalière aux amandes ou aux noisettes']",,+1%,-9%,+14%,-25%,88.8%,5.9%,2.5%,1.8%,1.1%,0.0%,35,15.7 g,en quantité modérée,12.4 g,en quantité élevée,33.2 g,en quantité élevée,0.45 g,en quantité modérée,+1%,+215%,+49%,+25%,+25%,23,+139%,E,+139%,,['Edition limitée'],,,"['Carton', 'Plastique', 'Boîte']",,,,,,,
392,Tortellini Ricotta Cepes - Pasta Nuova,4011849200908,['Pasta Nuova'],['France'],[],[],?,275,1151 kj(275 kcal),?,"47,4",?,"4,1","3,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
393,Gnocchis sans Gluten - Pasta Nuova - 350g e,4011849900006,['Pasta Nuova'],['France'],"['Eau', 'semoule de maïs*', 'pommes de terre*', 'farine de maïs*', 'fécule de maïs*', 'fécule de pomme de terre*', 'sel marin', 'farine de riz*', ' *Biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,144,602 kj(144 kcal),"0,3","< 0,2","33,1","2,2","1,4","2,8","1,12",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi']",,-17%,-84%,0%,-70%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,0.3 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,2.8 g,en quantité élevée,-18%,-64%,+67%,+137%,+137%,11,+179%,D,+179%,350 g e,"['Bio', 'Bio européen', 'en:gluten-free', ""Informations incorrectes sur l'emballage"", 'DE-ÖKO-001', 'Agriculture UE/Non UE', ""Informations nutritionnelles incorrectes sur l'emballage""]",,3,"['Frais', 'Plastique', 'Sachet']",,,,,,,
394,Fish chicken rolls,4011905315355,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,
395,Fußballgebäck,4011941440103,,['France'],[],[],?,495,2071 kj(495 kcal),"22,4","12,8","66,4","28,5",7,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"Oassata, Mit Chili",4011970000255,,['France'],[],[],?,31,130 kj(31 kcal),"0,5","0,1","5,1","4,3","1,6","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Passata,4011970000286,,['France'],[],[],?,30,126 kj(30 kcal),"0,1","0,1","5,1","4,3","1,6","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Barba,4012093692945,,['France'],[],[],?,100,418 kj(100 kcal),0,0,100,100,0,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Rice cracker with peanuts - Nappa’s,4012093902860,['Nappa’s'],['France'],"['arachides', '26%', 'farine de blé', '24%', 'amidon de maïs', '19%', 'sucre', '16%', 'farine de maïs,', '8%', 'graines de sésame', '3%', 'fécule', 'dextrine', 'sauce de soja', 'soja', 'blé', 'koji', ""l'eau"", 'sel', ""sirop d'amidon de maïs"", 'algues', 'levant', 'E500ii', 'E503ii', 'la couleur', 'E160c', 'E141i', 'El 63', 'E150a', 'acide alimentaire', 'E330', 'sel', ""l'oignon"", ""l'ail""]",[],?,437,1828 kj(437 kcal),"15,5","2,3",62,"19,9","10,7","0,14","0,056","['Gluten', 'Arachides', 'Graines de sésame', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E160c - Extrait de paprika', 'E141i - Complexes cuivriques de chlorophylles', 'E150a - Caramel E150a', 'E330 - Acide citrique']",4,,,,,,,,
400,Barba,4012093692945,,['France'],[],[],?,100,418 kj(100 kcal),0,0,100,100,0,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Rice cracker with peanuts - Nappa’s,4012093902860,['Nappa’s'],['France'],"['arachides', '26%', 'farine de blé', '24%', 'amidon de maïs', '19%', 'sucre', '16%', 'farine de maïs,', '8%', 'graines de sésame', '3%', 'fécule', 'dextrine', 'sauce de soja', 'soja', 'blé', 'koji', ""l'eau"", 'sel', ""sirop d'amidon de maïs"", 'algues', 'levant', 'E500ii', 'E503ii', 'la couleur', 'E160c', 'E141i', 'El 63', 'E150a', 'acide alimentaire', 'E330', 'sel', ""l'oignon"", ""l'ail""]",[],?,437,1828 kj(437 kcal),"15,5","2,3",62,"19,9","10,7","0,14","0,056","['Gluten', 'Arachides', 'Graines de sésame', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E160c - Extrait de paprika', 'E141i - Complexes cuivriques de chlorophylles', 'E150a - Caramel E150a', 'E330 - Acide citrique']",4,,,,,,,,
402,100% orange,4012104034009,,['France'],[],[],?,41,172 kj(41 kcal),"0,2",0,"9,2","3,3","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Blutorange,4012104472221,,['France'],[],[],?,35,146 kj(35 kcal),"0,1",0,"8,1","7,9","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Minis viennoiseries x15 - Les 3 Meniers,4012159416003,['Les 3 Meniers'],['France'],"['ELeclerc@ minis viennoiseries XIS Ingtéaients mini pain DE BLÉ', 'CRÉME de pornrr,è de terje', 'poudte de LACTOSERUM', 'raisins 150K ', 'raisins de colza', '1208 levure', 'poudre de LAiT ENTIER GLUTEN 2E BLÉ', 'FARINE CE ELÉ MALTÉ enzymes', 'agent de traitement de ia farine E3C', 'C1', 'traceE OEUF SOJA ET FRUiTS Â COQUES', 'de 24 eau', 'sucre', 'LAIT ENTIER', ""OECF' FRAIS OE agent de tratternent de la farrne acide ascorbique"", 'dorure OECFB FRAS ttaces DE FRUITS À COQUES', 'enzymes ', ' xylanases', 'colorant caroténoides', 'rnini pain chocolat FARINE DE BLE eEURRE 22 CHOCOLAT 10% da cacao', 'OE SOJA', 'naturel', 'POUDRE DE LAIT ENTIER GLUTEN DE BLÉ', 'sel', 'FARINE DE BLÊ MALTÉ', 'de la 0 FRUITS A COQUES', 'de tournesol']",['Non végétalien'],?,300,1255 kj(300 kcal),15,10,35,11,"5,5","0,64","0,256","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E160 - Caroténoïdes'],4,,,,,,,,
405,Tarte Normande - Leclerc,4012162912332,['Leclerc'],['France'],"['pomme FROMENT', 'BEURRE OELIFS FRAIS', 'LAIT ENTIER EN POUDRE amidon FIBRE DE BLE naturei de vanille', 'antioxydant ', 'acide citrique', 'acide colorant I caroténoides sucre slace amylacée ', 'sucre', ' Fabriqué et cuit dans notre laboratoire qui utilise BLE', ' LAIT OEUFS', 'FRUITS A COQUES et ARACHIDE', ' A conserver entre O et 4ec']",[],?,292,1222 kj(292 kcal),14,"9,2",36,22,"3,6","0,21","0,084","['Œufs', 'Gluten', 'Lait', 'Arachides']",,,"['Tartes', 'Tartes sucrées', 'Tartes normandes']",,+8%,+18%,+3%,-0%,,,,,,,,14 g,en quantité modérée,9.2 g,en quantité élevée,22 g,en quantité élevée,0.21 g,en faible quantité,+8%,+26%,+9%,+4%,+4%,16,+17%,D,+17%,,['Point Vert'],['E330 - Acide citrique'],,,,,,['Leclerc'],,,
406,Bautzner Senf,4012260003710,,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,"Briolino Brioche Brötchen, Mit Vollmilchschok...",4012263015406,,['France'],[],[],?,355,1485 kj(355 kcal),12,"3,5",53,17,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
