,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
1269,Ayran,4030957171078,,['France'],[],[],?,41,172 kj(41 kcal),"2,1","1,4","3,1","3,1","2,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Fromage - Adigejskij,4030957181244,['Adigejskij'],['France'],"['Illarena grasa en FR: Fromaan-a', '—:', '--—', ""cf%hrchsaturatest di cillé acidi grassisaturi I 'JCIdos rrsossatrrcdosl dontacides rassaturés: uenhydrate/ carbohydrate/ carboidrati/ hidratos de carbono/ glvodes: •davon711"", 'ker/ ofll/hi', 'h suoats/ di de los cuales azüca,é/']",[],?,337,1410 kj(337 kcal),26,17,"0,6","0,6",26,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en Allemagne', 'Entrepreneurs + Engagés']",,,,,,,,,,
1271,Zakuska Sauerampfer 275GR,4030957371003,['Zakuska'],['France'],"['GEHACKT :utèten: Seuerampfer 9596', 'Wasser', 'Speiseg!z von Sellerie und SgJg entha!ten', ' im Kühlschrank autewahren', ' trocken la en', ' Hergestellt in Pollen Süd GmÈH', 'Ohmstrage 7', 'D-71083 Herenberg', ' www', 'monolith-gruppe', 'eu FR: OSEILLE HACHÉ ln:rédients: oseille 95%', 'eau', 'sel', ' Le produit traces de le céleri et Conser- réfricérateur après ouverture', ' A consom- xëdeprâérence avant/e:voircouverde', ' Corr mer eu sec et au frais', ' Fabriqué en Pologne']",[],?,13,54 kj(13 kcal),"0,5","0,1","1,4","0,5","1,4","1,9","0,76",['Céleri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,
1272,Tomaten chili,4030957431400,,['France'],[],[],?,61,255 kj(61 kcal),"0,3","0,1",10,"9,6","2,9","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Mayonnaise Polonaise - Babcia Magdalena - 400ml,4030957459022,['Babcia Magdalena'],"['France', 'Allemagne', 'Pologne']","['Huile de colza 78%', 'eau', ""jaune d'oeuf 6% sucre"", ""vinaigre d'alcool"", 'sel', 'moutarde ', 'eau', '_ amertume', ""vinaigre d'alcool"", 'sel', 'sucre', ""régulateurs d'acidité "", 'acide citrique', 'acide malique', 'acide tartrique', 'épices', 'arômes', 'concentré de courge et carotte ', 'pour corriger la couleur', 'antioxydant E385']",[],?,690,2887 kj(690 kcal),75,"5,8","2,9","2,8",1,"0,6","0,24","['Œufs', 'Moutarde']",Mayonnaise Polonaise,D,"['Epicerie', 'Sauces', 'Mayonnaises']",,+13%,+13%,+8%,-19%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,75 g,en quantité élevée,5.8 g,en quantité élevée,2.8 g,en faible quantité,0.6 g,en quantité modérée,+13%,-6%,+92%,-55%,-55%,15,-16%,D,-16%,400 ml,,"['E330 - Acide citrique', 'E296 - Acide malique', 'E334 - Acide L-tartrique', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",4,"['Bocal', 'Verre', 'métal']",,,,,,,
1274,Gurken Hrustjaschie -,4030957511126,,['France'],"['concombres', 'sucre', 'sel', 'acidifiant: acide acētique', 'aneth', 'extraits đépices ', 'avec moutarde', 'aulx,']",[],?,109,456 kj(109 kcal),"0,5","0,1","4,2","4,1",1,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Assorti Cornichons et Tomates,4030957521019,,['France'],[],[],?,35,146 kj(35 kcal),"0,5","0,1","4,5",4,"0,8","1,5","0,6",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,+30%,+69%,+31%,-21%,,,,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,4 g,en faible quantité,1.5 g,en quantité modérée,+36%,+46%,+53%,-13%,-13%,1,-54%,B,-54%,,,,,,,,,,,,
1276,Sarrasin précuit - Waldemar Völker - 1000g,4030957563859,['Waldemar Völker'],"['France', 'Allemagne']",[],[],?,332,1389 kj(332 kcal),"3,3","0,4",62,"1,2",13,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000g,,,,,,,,,,,
1277,Préparation pour Chachlik,4030957571168,,['France'],[],[],?,964,4033 kj(964 kcal),"5,5","0,9",30,"6,3","6,6",49,"19,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Limonade,4030957604019,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Konfiture - Karlsson,4030957631329,['Karlsson'],['France'],"['DE Himbeer - Konfitüre Hergeste taus 46 Früchtenje 100g', ' Gesamtzuckerge - halt62• Putaten: Zucker', 'Himbeeren', ' Kühl und Offnen gekühlt aufbewahren', ' @Confiture aux framboises Préparé avec 46 grammes de fruits pour 100 arammes', ' Teneur totale en sucres: 62 grammes pour 100 gram - mes', ' ln rédients: sucre', 'framboises', ' Conserver au sec etau rais', "" onserveraufraisa rès l'ouverture Hergestellt in Litauen für: Monolith Süd GmbH"", 'Ohmstrage 7', '0-71083 Herrenberg Fabriquéenlituanie', ' 430g Www', 'monolith-gruppe', 'eu']",[],?,268,1121 kj(268 kcal),"0,5","0,1",66,62,"0,6","0,01","0,004",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",,+22%,+95%,+24%,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.5 g,en faible quantité,0.1 g,en faible quantité,62 g,en quantité élevée,0.01 g,en faible quantité,+21%,+114%,+22%,-54%,-54%,8,-11%,C,-11%,,,,,,,,,,,,
1280,Halva,4030957711076,,['France'],[],[],?,550,2301 kj(550 kcal),32,"2,5",47,27,16,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Halva aux arachides avec graines de tournesol,4030957711083,,['France'],[],[],?,831,3477 kj(831 kcal),30,"3,7","43,5","43,5","25,5",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Yop chocolat,4030957761040,,['France'],[],[],?,94,393 kj(94 kcal),"2,2","1,4",14,"12,6",4,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Baranki-Kajfovie,4030957761347,,['France'],[],[],?,333,1393 kj(333 kcal),"4,6","1,9",63,"9,5",10,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Black bread croutons with crab flavour - Жигулёвские - 50g,4030957761620,['Жигулёвские'],"['France', 'Russie']",[],[],?,?,,?,,?,,?,,,,Black bread croutons with crab flavour,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons', 'en:Black bread croutons with crab flavour', 'en:Сухарики из чёрного хлеба с ароматом краба']",,,,,,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,
1285,Сухарики Жигулевские - Жигулёвские - 50g,4030957761644,['Жигулёвские'],"['France', 'Allemagne', 'Russie']","['black bread ', 'wheat flour', 'rye flour', 'salt', 'yeast', 'spices', 'unhardened vegetable fat', 'salmon flavour ', 'fish components', 'flavour enhancer ', 'monosodium glutamate', 'caviar flavour ', 'fish components', 'flavour enhancer ', 'monosodium glutamate']",[],1904,456,1904 kj(456 kcal),18,"8,6",60,"3,5",10,4,"1,6","['Poisson', 'Gluten']",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",-4%,-4%,-12%,+2%,+6%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,18 g,en quantité modérée,8.6 g,en quantité élevée,3.5 g,en faible quantité,4 g,en quantité élevée,-4%,+186%,-5%,+105%,+105%,23,+58%,E,+58%,50 g,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,['Kunststoff'],,,,['Mix-Markt'],,,
1286,Croutons,4030957761965,,['France'],[],[],?,520,2176 kj(520 kcal),29,"2,1",58,"7,3","5,9","1,7","0,68",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,+10%,+41%,-1%,-37%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,29 g,en quantité élevée,2.1 g,en quantité modérée,7.3 g,en quantité modérée,1.7 g,en quantité élevée,+10%,-30%,+98%,-13%,-13%,16,+10%,D,+10%,,,,,,,,,,,,
1287,Prianiki à la Pêche - Völker,4030957781161,['Völker'],['France'],"['Farine de blé', 'sucre', 'eau', 'huile de palme', 'huile de colza', 'poudre à lever : E503', 'E500', ' conservateur : E282', 'arôme', ""correcteur d'acidité : acide citrique""]","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,395,1653 kj(395 kcal),"5,8","1,9",78,44,"6,5","0,02","0,008",['Gluten'],"Biscuits sucrés ""Prianiki!"" avec arôme de pêche.",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,-17%,-72%,+22%,0%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,5.8 g,en quantité modérée,1.9 g,en quantité modérée,44 g,en quantité élevée,0.02 g,en faible quantité,-17%,-81%,+49%,-97%,-97%,14,-29%,D,-29%,,,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E282 - Propionate de calcium', 'E330 - Acide citrique']",4,"['Sachet', 'Plastique']",,,['Lituanie'],,,['Huile de palme'],
1288,"Monolith ""julietta"", Cookies - Karlsson",4030957791320,['Karlsson'],['France'],"['farine de blé crème aux fruits 30 % ', 'concentrés de pulpe de fruits 52 % ', 'pommes', 'cassis', 'aronia', 'cérises', 'fraises', 'prunes', 'sucre', 'sirop de glucose', ' gélifiant pectine', 'fécule modifiée', 'acidifiant E330', 'conservateur E202', 'humectant E420', 'colorant El 63', 'huile de palme partiellement hydrogénée', 'sucre', ' lait maiqre en fécule de de terre', 'fructose', 'produit de petit-lait', 'humectant E420', 'émulsifiants E471 ', 'lécithine de soia ', ' arôme', 'colorants: E160a', 'El 71 ', ' poudre à lever E503', "" Le produit peut contenir traces d'?ufs"", ' sésame', 'cacahouètes et fruits à coques', ' Conserver au sec', ' Fabriqué en Pologne A consommer de préférence avant le: / Da preferibilmente entro il: 600']","['Huile de palme', 'Non végétalien']",?,429,1795 kj(429 kcal),16,"8,5",66,34,"4,6","0,03","0,012",['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E160a - Carotènes mélangés', ""E503 - Carbonates d'ammonium""]",4,,,,,,,['Huile de palme'],
