,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
584,Slitti Dark Chocolate Covered Arabica Coffee Beans,8055687130511,"['en:gluten-free', 'Pur beurre de cacao']",['France'],"['INGREI', 'IE', ""VTI: Cc 'ü "", '10%', ' CIOCCOLATO FOSI', 'EVIE di cacao', 'zucchero', 'burro di cacao', ' Gi E ', 'Gotrzrzl', 'acca', ' ', 'Cacao rninimo 0%', ' ISGREDIE', '\\TS: coffee beans ', '107c', ' EXTRA DARK CHOCOLATE ', ' tr=ss', 'szgar', 'cocoa butter', ' Coaring aser', 'l: E ', 'Shell•c', ' ', 'Cocoa minimum 60%', "" ZUTATE\\': "", '10%', ' ZARTBITTER SCIIOKOLADE ', ' Zucker', 'Kakaobutter', ' Aser', ""' des Cierzag: E "", 'Schel!cck', ' ', 'Kakao Afindestens 60%', ' - GLUTEN-FREE Giutenfrei']",[],?,565,2364 kj(565 kcal),"38,6","23,6",42,"33,9","7,1",['Slitti'],['Gluten'],,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Pistacchi - Slitti,8055687132324,['en:gluten-free'],['France'],[],[],?,610,2552 kj(610 kcal),"42,5","19,1","44,8","39,6","10,7",['Slitti'],,,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Taralli Gout Pizza,8055687840045,['Sans conservateurs'],['France'],[],[],?,458,1916 kj(458 kcal),"15,81","2,4",3,"2,2","9,83",,,,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Grissoni - Danieli,8055687840052,"['Sans colorants', 'Sans conservateurs']",['France'],"[""DANIEN ' PRODUITS DE BOULANGERIE Ingredients Farine de blè tendre de type 00"", ""huiie d'olive levure de bière"", 'selt vin blanc ', 'contient des sulfites', ' Produit dans un etablissement utilisant des fruits a coques des oeufs,des graines de ses:-le et du lait', ' Ne pas exposer le produit a une source de châf9Ur', ' ', 'Sans conservateur', "" ni 'olorant"", "" Allergènes Contient des glutins et des sulfites Produit importé par - 'AGI"", ""' www"", 'sia i', 'eu eso Netto: Gr', '300 INFORMAZIONI NUTRIZlONALt Valon medi per 100 g', 'dj prodotto']",['Non végétalien'],?,465,1946 kj(465 kcal),"15,7","2,3","71,1","2,2","9,7",['Danieli'],['Anhydride sulfureux et sulfites'],,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Cioccolata Di Modica Con Limone Interdonato Bio (50G),8055731090020,['Bio'],['France'],[],[],?,483,2021 kj(483 kcal),"34,1","22,8","43,1","37,4","3,8",,,,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Zenzero latte - Nonna,8055731090853,['Bio'],['France'],"['travaille a froid au lait et nrrédients: Pâte amère de cacao* — origine: auateur — variété: Nacional Fino de Aroma', 'sucre de canne*', 'lait en poudre*', 'beurre de cacao*', 'gingembre* ', '0,8% min']",['Non végétalien'],?,538,2251 kj(538 kcal),"35,2","20,1","47,3","40,5","6,1",['Nonna'],,,"2,56","1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Trafilata in Bronzo,8055731800148,,['France'],[],[],?,354,1481 kj(354 kcal),"1,2","0,5",75,"3,5","13,5",,,,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Ravioli braisée,8055731980062,['AOP'],['France'],[],[],?,231,967 kj(231 kcal),"4,2","1,6","38,1","0,8","10,3",,,,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Raviolidel plin,8055731980192,,['France'],[],[],?,231,967 kj(231 kcal),"4,7",2,"35,2","0,8",11,,,,"1,12","0,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Tortelloni avec Radicchio et Speck,8055731980338,,['France'],[],[],?,221,925 kj(221 kcal),"8,3",3,"27,8","1,2","13,2",,,,"1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Tradizionalemente fresco,8055731981236,,['France'],[],[],?,290,1213 kj(290 kcal),6,"0,6","55,6","0,9","10,5",,,,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Ravioli avec bourrache,8055731982608,,['France'],[],[],?,227,950 kj(227 kcal),"4,6","1,8","35,1","0,8","11,2",,,,"0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Gnocchis casalinghi,8055731982615,,['France'],[],[],?,163,682 kj(163 kcal),"0,2","0,2","38,2","0,3","2,1",,,,"1,42","0,568",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,0.2 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,1.42 g,en quantité modérée,,-2%,-3%,-85%,-46%,+15%,-75%,-50%,+26%,+26%,7,+96%,C,+96%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,
597,Ravioli Ricotta et épinards,8055731983681,,['France'],[],[],?,217,908 kj(217 kcal),"5,5","4,1","30,7","2,3","11,1",,,,1,"0,4",B,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Tortellini', 'Ravioli ricotta & épinards']",,5.5 g,en quantité modérée,4.1 g,en quantité modérée,2.3 g,en faible quantité,1 g,en quantité modérée,,+1%,+2%,-12%,+36%,+3%,-19%,+34%,-4%,-4%,5,-8%,C,-8%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,,,,,,,
598,Caramelle aux tomatte et mozzarella,8055731983766,['Fabriqué en Italie'],['France'],[],[],?,243,1017 kj(243 kcal),"8,1",7,"29,8","1,1","12,7",,,,"0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Tortellacci viande de veau,8055731984350,,['France'],[],[],?,200,837 kj(200 kcal),"3,2","1,4","31,9","0,6",11,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Café Italien Coffee Amaretto,8055732941253,,['France'],[],[],?,458,1916 kj(458 kcal),"17,5",0,0,0,"28,5",['Italien Coffee'],['Lait'],,"0,9","0,36",,,['Boissons'],,17.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité élevée,,+718%,+695%,+4943%,-100%,-100%,-100%,+5646%,+2069%,+2069%,13,+70%,E,+70%,,,,,,,,,,,,,,,,
601,Nutribetix mousse choco,8055742000049,['en:gluten-free'],['France'],[],[],?,115,481 kj(115 kcal),"2,9","0,6","15,6","7,4","7,8",,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Croccante alle mandorle,8055742075016,,['France'],[],[],?,523,2188 kj(523 kcal),"35,3","6,1","40,8","26,8","10,6",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Crema a la nocciola,8055742170001,['Fabriqué en Italie'],['France'],[],[],?,488,2042 kj(488 kcal),32,2,43,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Rosso siciliano,8055742241350,,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1","7,9",6,1,,,,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,"Expresso Seta, 10 Capsules compatibles machines Dolce Gusto,",8055742990616,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Dolce Gusto', 'Dosettes Dolce Gusto']",,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,
606,Cioccolato - Tziano Bonini - 140g,8055742990746,['Fabriqué en Italie'],"['France', 'Italie']",[],[],?,386,1615 kj(386 kcal),"6,8",6,70,"65,6",8,['Tziano Bonini'],,,"1,3","0,52",,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Caffe al ginseng - Tiziano Bonini,8055742990753,,['France'],[],[],?,449,1879 kj(449 kcal),"12,3","12,3","81,3","57,8","3,4",['Tiziano Bonini'],,,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Orzo,8055742995161,['Fabriqué en Italie'],['France'],[],[],?,11,46 kj(11 kcal),0,0,"2,57","0,1","0,18",,,,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Cioccolato,8055765930019,['Sans lactose'],['France'],[],[],?,494,2067 kj(494 kcal),27,17,54,50,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,GNOCCHI - Lescure,8055960708536,,['France'],[],[],?,151,632 kj(151 kcal),"0,4","0,1",33,"0,1","4,2",['Lescure'],,,"0,6","0,24",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,0.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en quantité modérée,,-10%,-10%,-71%,-73%,-0%,-92%,0%,-47%,-47%,1,-72%,B,-72%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,
611,Aranciata rossa - Macario retrò drink - 250ml,8055965020022,,['France'],[],[],?,?,,?,,?,,?,['Macario retrò drink'],,,,,,250ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Macario,8055965021050,,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,5",2,"0,7","9,7",,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Risitto al tartuffo,8055965101981,,['France'],[],[],?,355,1485 kj(355 kcal),"1,02","0,19","79,34","0,41","7,05",,,,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,SCORZETTE DI LIMONE,8056039700055,,['France'],[],[],?,373,1561 kj(373 kcal),"8,25","0,02","77,14","69,11","1,54",,,,"0,062","0,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Torrone Ricoperto all Arancia -  - 140g,8056039700215,,"['France', 'Italie']",[],[],1476,?,1476 kj(353 kcal),"20,4","4,2","61,9","60,2","3,6",,,,"0,02","0,008",,140g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Aceto balsamico di modena I.G.P.,8056040760017,['en:gluten-free'],['France'],[],[],?,330,1381 kj(330 kcal),0,0,81,69,"1,5",,,,0,0,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0 g,en faible quantité,,+124%,+125%,-100%,-100%,+155%,+136%,+126%,-100%,-100%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
617,Vinaigre balsamique,8056040760291,['Fabriqué en Italie'],['France'],[],[],?,266,1113 kj(266 kcal),0,0,10,7,2,,,,"6,49","2,596",B,,"['Vinaigres', 'Vinaigres balsamiques']",,0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,6.49 g,en quantité élevée,,+81%,+83%,-100%,-100%,-67%,-75%,+214%,+7738%,+7738%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
618,Blanc creme,8056040760772,['Fabriqué en Italie'],['France'],[],[],?,240,1004 kj(240 kcal),0,0,"9,1",7,"0,3",,,,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Antica acetaia dodi,8056040760901,,['France'],[],[],?,333,1393 kj(333 kcal),0,0,80,80,"1,2",['Dodi'],,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Pesto genovese,8056093300260,,['France'],[],[],?,437,1828 kj(437 kcal),45,8,"1,6","1,2","5,9",,,,2,"0,8",C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,45 g,en quantité élevée,8 g,en quantité élevée,1.2 g,en faible quantité,2 g,en quantité élevée,,-3%,-2%,+2%,+23%,-73%,-48%,+24%,-19%,-19%,20,+3%,E,+3%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,
621,Gnocchi napoletani,8056098110420,,['France'],[],[],?,359,1502 kj(359 kcal),"1,5",0,74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Pure coconut water,8056099190025,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5",6,0,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Te alla pesca,8056300950578,,['France'],[],[],?,405,1695 kj(405 kcal),"1,4",0,98,93,"0,6",,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Cappuccino caramel,8056370761296,,['France'],[],[],?,42,176 kj(42 kcal),"0,8","0,8","8,5","6,6","0,2",,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Café biologique,8056370761470,"['Bio', 'Bio européen']",['France'],[],[],?,94,393 kj(94 kcal),"0,03","0,03","21,4","0,8","1,5",,,,"0,03","0,012",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,+92%,+60%,-98%,-97%,+158%,-83%,-21%,-79%,-79%,,,,,,,,,,,,,,,,,,,,
626,Vellutata gusto cappuccino,8056450891318,['en:gluten-free'],['France'],[],[],?,554,2318 kj(554 kcal),39,"6,8","49,7","46,7","10,4",,,,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Vellutata fondente - Borgodoro,8056450892209,,['France'],"['Sucre', 'huile de tournesol', 'cacao maigre 20%', 'noisettes', 'beurre de karité', 'émulsifiants ', 'lécithine de soja', 'extrait naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,540,2259 kj(540 kcal),"31,3","10,8","59,7","59,7","4,8",['Borgodoro'],"['Lait', 'Fruits à coque', 'Soja']",4,"0,025","0,01",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",,31.3 g,en quantité élevée,10.8 g,en quantité élevée,59.7 g,en quantité élevée,0.025 g,en faible quantité,,+3%,+4%,-3%,+33%,+19%,+37%,-23%,-86%,-86%,26,+27%,E,+27%,,,,,,,,,,,,['E322i - Lécithine'],,,,
628,Cioccolato al latte Biologico 39% Cacao - Otto Chocolates - 100g,8056450920162,"['Bio', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'Fairtrade International', 'IT-BIO-014', 'Fabriqué en Italie']","['France', 'Italie']",[],[],2358,?,2358 kj(564 kcal),"37,2","22,3","46,3","45,1","9,9",['Otto Chocolates'],"['Lait', 'Soja']",,0,0,D,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,37.2 g,en quantité élevée,22.3 g,en quantité élevée,45.1 g,en quantité élevée,0 g,en faible quantité,+3%,,+2%,+8%,+14%,-11%,-8%,+38%,-100%,-100%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,Cioccolato al latte Biologico,['Carton'],['Italie'],['Noz'],,,,,
629,Pesto ligure & tomato sauce,8056457280184,,['France'],[],[],?,215,900 kj(215 kcal),"21,3","3,1","2,3","2,3","2,1",,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Sève de bouleau -,8056459021174,,['France'],[],[],?,41,172 kj(41 kcal),0,0,3,1,0,,,,,,,,['Sèves de bouleau'],,0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,,,,+720%,+682%,-100%,-100%,+173%,+36%,-100%,,,,,,,,,,,,,,,,,,,,,,
631,8056459021464,8056459021464,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Fagottino au Basilic - Sarandrea - 250g,8056459861251,['Fabriqué en Italie'],['France'],[],[],?,325,1360 kj(325 kcal),"6,98","3,01","1,11",0,"19,31",['Sarandrea'],,,"1,25","0,5",,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches']",,6.98 g,en quantité modérée,3.01 g,en quantité modérée,0 g,en faible quantité,1.25 g,en quantité modérée,,+27%,+27%,+21%,+24%,-97%,-100%,+96%,+40%,+40%,11,+161%,D,+161%,,,,,,,,,"['Frais', 'Plastique']",['Italie'],,,,,,
633,Sombrero a la burrata,8056459861404,,['France'],[],[],?,277,1159 kj(277 kcal),"8,11","3,42","38,33","0,91","11,86",,,,"1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Grissini Integrali S. andrea 200 GR - Sarandrea,8056459867536,['Sans conservateurs'],['France'],"['wholc wheat Vater', 'malt extract ', 'malt bariey and salt', 'lard', 'breweris yeast', 'cxtravirgin It may contain traces of: sesame and INGREDIÉNTS: Farine de blé eau', 'extrait de malt ', ""malt d'orge et de mais"", 'sel', 'saindoux', 'levure de bière', ""huile extra vierge d'olive"", ' Il peut contenir des traces des: sesame et fruits à coque', ' ZUTATEN: Woizenvollkornmehl 98%', 'Wasser', 'Malzoxtrakt ', 'Gerstenmalz und Schmalz', 'Blerhefet Ollvonëlqtra vergine', ' ln Spuronmthalten: Sesam und 9EDlENtES\\']","['Non végétalien', 'Non végétarien']",?,385,1611 kj(385 kcal),"5,1","1,1",64,"5,6",16,['Sarandrea'],,,"0,63","0,252",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,5.1 g,en quantité modérée,1.1 g,en faible quantité,5.6 g,en quantité modérée,0.63 g,en quantité modérée,,-9%,-8%,-53%,-51%,-4%,+124%,+40%,-67%,-67%,3,-77%,C,-77%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
635,Taralli des Pouilles - Biogoloso,8056477814703,['Bio'],['France'],[],[],?,467,1954 kj(467 kcal),"19,1","1,6","64,7","0,2",9,['Biogoloso'],,,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Paste di Meliga,8056479000005,,['France'],[],[],?,375,1569 kj(375 kcal),11,6,63,23,6,,,,"15,8","6,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Fusilloni - Lagano,8056479190034,,['France'],"['semoule de dur de qualité supérieure', 'eau']",[],?,355,1485 kj(355 kcal),"1,4","0,3","73,8","3,58",12,['Lagano'],,1,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,1.4 g,en faible quantité,0.3 g,en faible quantité,3.58 g,en faible quantité,0 g,en faible quantité,,+7%,+7%,-46%,-57%,+19%,+29%,+3%,-100%,-100%,-1,,A,,,,,,,,,,,,,,,,,
638,Gnocchi sardi n°65,8056515160656,['Fabriqué en Italie'],['France'],[],[],?,365,1527 kj(365 kcal),"1,5","0,3",73,1,12,,,,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,8056539530329,8056539530329,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Steaks haché végetaux - Mu Soia,8056646060078,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-009', 'Sans conservateurs']",['France'],"['e guar*', 'gomme xanthane', 'b re de karité* ', 'farine de pois amidon de matis* ', 'gomme Ion de légumes*lIégUm en proportion variable ', 'oignon* t chiches*', 'arômes naturels b céleri*', 'carotte* r poireau*', ' sel', 'sirop de ', 'extrait de levure* ', 'épices ', 'PROC LERI', ' Peut contenir des traces ail*', 'ALLERGENES: MOUTADE', 'FRUITS A COQUE PISfAéHE', ' *PAODPIITS ISSUS DE?AGRlCULTURE BIOLOGIQUÇ VIA conserver au réfrigirateur à température comprise entre ooc et 40c', ' A consommer 2411 une fois ouvert']",[],?,240,1004 kj(240 kcal),15,"2,5","8,8","2,9",16,['Mu Soia'],,4,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E415 - Gomme xanthane'],,,,
641,8056646510177,8056646510177,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Bruschette con delicate cipolline,8056732080713,,['France'],[],[],?,524,2192 kj(524 kcal),"29,6","19,6","55,6","2,4","8,1",,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Cioccolato di Modica,8056732680166,,['France'],[],[],?,393,1644 kj(393 kcal),14,0,56,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Sugo al basilico,8056732890442,,['France'],[],[],?,84,351 kj(84 kcal),"7,1","1,2","2,8","2,6","1,6",,,,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,J. Gasco indian tonic,8056736060049,['Fabriqué en Italie'],['France'],[],[],?,33,138 kj(33 kcal),0,0,8,8,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Sauce nature - Bio In Pentola,8056736090442,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],"['Végétalien', 'Végétarien']",?,370,1548 kj(370 kcal),"39,3","4,1","2,1","0,6","1,8",['Bio In Pentola'],,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,sauce mayo au curcuma - Biopetitsproducteurs.com,8056736090459,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,369,1544 kj(369 kcal),39,"3,6","2,5","0,6","1,8",['Biopetitsproducteurs.com'],,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Sauce mayo cocktail - Recette Artisanal,8056736090497,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE', 'IT-BIO-007']",['France'],"['Boisson soja* ', 'eau', 'de tournesol*', 'eau', 'vinaigre de cidre', 'concentré de tomate - Ion demaie,jus de citron*', 'sel', 'sucre de canne* 0,9%', 'gomme de ', 'k']","['Végétalien', 'Végétarien']",?,364,1523 kj(364 kcal),"36,7","3,7","7,6","4,6","0,5",['Recette Artisanal'],,3,"1,5","0,6",,,"['Epicerie', 'Sauces', 'Sauces cocktail']",,36.7 g,en quantité élevée,3.7 g,en quantité modérée,4.6 g,en faible quantité,1.5 g,en quantité modérée,,-27%,-27%,-28%,-21%,-14%,-30%,-63%,-1%,-1%,14,-16%,D,-16%,,,,,,,,,,,,,,,,
649,Sauce mayo citron gingembre - Bio Petits Producteurs,8056736090503,['Bio'],['France'],"['I\\GRÉDIENTS : Boisson soja* ', 'eau', 'soja', ' eu', 'jus de citron* 5,6%', 'amidon de de cidre*', 'sel', 'gomme de guar', ""moutarde* I issu de l'agriculture biologique"", ' ', 'Trace possible de conserver au réfrigérateur et à consommer rapidemefl']",[],?,365,1527 kj(365 kcal),"38,3","3,9","2,7","0,7",2,['Bio Petits Producteurs'],['Soja'],4,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E412 - Gomme de guar'],,,,
650,Tomate et basilic,8056736090824,['Bio'],['France'],[],[],?,43,180 kj(43 kcal),2,"0,3","4,4","2,7","1,4",,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Condimento aromatizzato a base olio extea vergine di  oliva - Tenuta Sant’Ilario,8056736501023,,['France'],"[""Virgin olive oil 97% Mandarin Flavored oils of fine Tenuta Sant'llario are great for salads"", 'roasstl your most delicious recipes', ' Store away from right and store at 15-200C ZUTATEN: Natves OWenôl extra 97% Mandarine Aroma Aromaôle Linie Tenuta Santllario sind ideal fur Salate', ""Braten Ihre Rezepte 'delicious"", ' Trocken und lichtgeschütt bei einer Temperatur von 15-200C PRODOTTO IMBOTTIGLIATO DA', ""? Tenuta Sant'llario AZIENDA AGRICOLA COLANCECCO LAILA""]",[],?,899,3761 kj(899 kcal),"99,9","14,46",0,0,0,['Tenuta Sant’Ilario'],,,0,0,,,['Matières grasses'],,99.9 g,en quantité élevée,14.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+12%,+12%,+13%,-37%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,,,
652,Mozzarella,8056736560112,,['France'],[],[],?,278,1163 kj(278 kcal),23,"17,8","0,8","0,7","17,4",,,,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
