,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,markets,labels,manufacturing,traceability_code,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,brand_owner,palm_ingredients
494,Woopers,0010700501806,,"['France', 'États-Unis']","['Sugar', ' corn syrup', ' hydrogenated palm kernel oil', ' whey ', 'milk', ' cocoa', ' malted milk [barley malt', ' wheat flour', ' milk', ' salt', ' baking soda]', "" confectioner's glaze"", ' lecithin ', 'soy', ' salt', ' natural flavor and artificial flavor', ' calcium carbonate', ' tapioca dextrin']","['Huile de palme', 'Non végétalien']",?,463,"17,07","75,61","2,44",1937 kj(463 kcal),"17,07","58,54","0,58","0,232",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",,-11%,-44%,+41%,-60%,,,,,,,,,,,,,,,,17.1 g,en quantité modérée,17.1 g,en quantité élevée,58.5 g,en quantité élevée,0.58 g,en quantité modérée,-11%,+3%,+24%,+196%,+196%,27,+11%,E,+11%,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E1400 - Dextrines']",4,"['Gluten', 'Lait', 'Soja']",,"Leaf, Inc.",
495,Jolly Rancher hard candy,0010700517227,,"['France', 'États-Unis']","['Corn syrup', ' sugar', ' contains 2% or less of: malic acid', ' natural and artificial flavor', ' artificial color ', 'red 40', ' blue 1', ' yellow 6', ' mineral oil', ' soy lecithin']",[],?,389,0,"94,44",0,1628 kj(389 kcal),0,"61,11","0,14","0,056",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-7%,-100%,+42%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,61.1 g,en quantité élevée,0.14 g,en faible quantité,-8%,-100%,+23%,-5%,-5%,14,-23%,D,-23%,"['E296 - Acide malique', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E110 - Jaune orangé S', 'E905a - Huile minérale de qualité alimentaire', 'E322i - Lécithine']",4,['Soja'],,"Leaf, Inc.",
496,Jolly rancher,0010700529817,,"['France', 'États-Unis']","['Sugar', ' corn syrup', ' modified cornstarch', ' contains 2% or less of: lactic acid', ' calcium lactate', ' tartaric acid', ' natural flavor and artificial flavor', ' sodium lactate', ' citric acid', ' artificial color [red 40', ' yellow 5', ' blue 1]']",[],?,333,0,"83,33",0,1393 kj(333 kcal),0,60,"0,168","0,067",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-21%,-100%,+25%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0.168 g,en faible quantité,-21%,-100%,+21%,+14%,+14%,14,-23%,D,-23%,"['E270 - Acide lactique', 'E327 - Lactate de calcium', 'E334 - Acide L-tartrique', 'E325 - Lactate de sodium', 'E330 - Acide citrique', 'E129 - Rouge allura AC', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,,"Leaf, Inc.",
497,Jolly Rancher Hard Candy - Original,0010700606037,,['France'],[],[],?,350,0,85,0,1464 kj(350 kcal),0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Jolly Rancher Gummies Assortment,0010700708601,,"['France', 'États-Unis']","['Corn syrup', ' sugar', ' gelatin', ' contains 2% or less of: malic acid', ' sorbitol', ' natural and artificial flavor', ' mineral oil', ' artificial color ', 'red 40', ' yellow 6', ' yellow 5', ' blue 1', ' carnauba wax', ' soybean oil']","['Non végétalien', 'Non végétarien']",?,308,0,"71,79","5,13",1289 kj(308 kcal),0,"56,41","0,225","0,09",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-27%,-100%,+8%,+22%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,56.4 g,en quantité élevée,0.225 g,en faible quantité,-27%,-100%,+14%,+53%,+53%,13,-29%,D,-29%,"['E428 - Gélatine', 'E296 - Acide malique', 'E420 - Sorbitol', 'E905a - Huile minérale de qualité alimentaire', 'E129 - Rouge allura AC', 'E110 - Jaune orangé S', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E903 - Cire de carnauba']",4,,,"Leaf, Inc.",
499,Hard rock,0010869021788,,['France'],[],[],?,40,11,8,6,167 kj(40 kcal),5,6,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Jennesse Honey Pecans,0010904301028,,['France'],[],[],?,120,7,18,1,502 kj(120 kcal),"0,5",13,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Petits gâteaux à l'anis,0010950000005,,['France'],[],[],?,388,"2,9","81,5","7,9",1623 kj(388 kcal),"0,84","46,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,450g,0011000002765,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Tartiflette,0011010000010,,['France'],[],[],?,?,?,?,?,,,,,,C,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Tartiflettes']",,,,,,68.3%,16.4%,4.8%,5.7%,2.8%,2.0%,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Sauerkraut,0011100007479,,['France'],[],[],?,?,?,?,?,,,,,,C,"['Plats préparés', 'Choucroutes']",,,,,,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Kroger, english muffins",0011110020932,['Kroger'],"['France', 'États-Unis']","['Whole wheat flour', 'water', 'yeast', 'vital wheat gluten', 'molasses', ' contains 2% or less of soybean oil', 'salt', 'corn meal', 'vinegar', 'calcium sulfate', 'citric acid', 'calcium citrate', 'soy flour', 'enzymes', ' calcium propionate', 'potassium sorbate and sorbic acid ', 'preservatives']",[],?,213,"2,46","42,62","11,48",891 kj(213 kcal),"0,82","3,28","0,942","0,377",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,-35%,-60%,-22%,+21%,,,,,,,,,,,['Kroger'],,,,,2.46 g,en faible quantité,0.82 g,en faible quantité,3.28 g,en faible quantité,0.943 g,en quantité modérée,-35%,-30%,-16%,-26%,-26%,-4,-178%,A,-178%,"['E330 - Acide citrique', 'E282 - Propionate de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",3,['Soja'],,The Kroger Co.,
506,Mapple Crème Sandwich Cookies - Kroger - 12.3oz,0011110808899,['Kroger'],['France'],[],[],?,140,5,22,1,586 kj(140 kcal),"2,5",12,"0,7","0,28",,,,,,,,,,,,,,,12.3 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Fruit Spread - Simple Truth Organic,0011110838797,['Simple Truth Organic'],"['France', 'États-Unis']","['Organic raspberries', 'organic cane sugar', 'apple pectin', 'ascorbic acid', 'citric acid']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,167,0,"44,44",0,699 kj(167 kcal),0,"44,44","0,07","0,028",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']",,-25%,-100%,-18%,-100%,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,0 g,en faible quantité,0 g,en faible quantité,44.4 g,en quantité élevée,0.07 g,en faible quantité,-25%,-100%,-14%,+199%,+199%,11,+16%,D,+16%,"['E440 - Pectines', 'E330 - Acide citrique']",4,,,The Kroger Co.,
508,Fruit Spread - Simple Truth,0011110838841,['Simple Truth'],"['France', 'États-Unis']","['Organic strawberries', 'organic cane sugar', 'apple pectin', 'ascorbic acid', 'citric acid']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,167,0,"44,44",0,699 kj(167 kcal),0,"44,44","0,07","0,028",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']",,-25%,-100%,-18%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,44.4 g,en quantité élevée,0.07 g,en faible quantité,-25%,-100%,-14%,+199%,+199%,11,+16%,D,+16%,"['E440 - Pectines', 'E330 - Acide citrique']",4,,,The Kroger Co.,
509,Pate - The Kroger Co.,0011110873194,['The Kroger Co.'],['France'],[],[],?,200,1,42,7,837 kj(200 kcal),0,1,0,0,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,
510,Haricot vert - Kroger,0011110897312,['Kroger'],"['France', 'États-Unis']",['Green beans'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,30,0,5,1,126 kj(30 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,['Kroger'],,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Oregonstrawberry - Kroger,0011110901422,"['Kroger', 'Private Selection']",['France'],[],[],?,50,1,12,0,209 kj(50 kcal),1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0011122000076,0011122000076,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,2% reduced fat milk - Roundy's,0011150159579,"[""Roundy's""]","['France', 'États-Unis']","['Reduced fat milk', 'vitamin a', 'palmitate', 'vitamin d3']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,55,"2,12","5,51","3,39",230 kj(55 kcal),"1,27","5,08","0,138","0,055",D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,+17%,+35%,+15%,+4%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,2.12 g,en faible quantité,1.27 g,en faible quantité,5.08 g,en quantité modérée,0.138 g,en faible quantité,+18%,+26%,+6%,+25%,+25%,0,,B,,,1,,,ROUNDY'S SELECT,
514,Miso Rouge -  - 35.2oz,0011152004907,,['France'],"['WASSER', 'SOJABOHNEN', 'REIS', 'SPEISESALZ', 'ALKOHOL']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,176,"5,3",19,12,736 kj(176 kcal),"0,9","7,7",12,"4,8",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Miso']",,+9%,+6%,+39%,+26%,51.8%,21.5%,10.7%,9.6%,6.4%,0.0%,94,35.2 oz,,,,,,,,5.3 g,en quantité modérée,0.9 g,en faible quantité,7.7 g,en quantité modérée,12 g,en quantité élevée,+13%,+27%,-6%,+50%,+50%,13,+18%,D,+18%,,3,['Soja'],,,
515,Mixed crackers - Hapi trading,0011152011073,['Hapi trading'],['France'],"['Farine de riz gluant ', '53% ', 'petits Ingredienti: auce POIS', 'sucre', 'huile de palme farine de bé sauce Zucchero C de soja Faines de soja', 'blé sel', 'eau', 'Amidon', 'Salsa di Irch', 'I Sesame algue', 'c Ïli', 'huile de tournesol', 'raines de sesame', ""poudre d'ail"", 'Doudre {oignon raifort Semi ', 'sest E160c', 'miel', 'El 50a', 'El 60c', 'E133 et El do', ' E102 et El 10: peut avoir des effets El 60c', ""indésirables sur l'activité et l'attention chez l'enfant"", ' *E102 e El']",['Non végétalien'],?,435,11,73,8,1820 kj(435 kcal),4,"7,1","1,3","0,52",,,,,,,,,,,,,,,,,,,"[""Appellation d'origine""]",,,,,,,,,,,,,,,,,,,,,"['E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E102 - Tartrazine']",4,,,,['Huile de palme']
516,Calrose rice - Botan - 5lbs,0011152034706,['Botan'],"['France', 'États-Unis']",['Milled rice'],[],?,344,0,"77,78","6,67",1439 kj(344 kcal),0,0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,+2%,-100%,+7%,-8%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,5 lbs,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+1%,-100%,-100%,-100%,-100%,0,,B,,,,,,BOTAN,
517,Rice Seasoning - Ajishima Foods Co.  Ltd.,0011152070711,['Ajishima Foods Co.  Ltd.'],"['France', 'États-Unis']","['Shaved bonito', 'sesame seed', 'sugar', 'salt', 'soy sauce ', 'water', 'soy bean', 'wheat', 'salt', ' and seaweed']",[],?,429,"14,29","42,86","28,57",1795 kj(429 kcal),0,"28,57","6,428","2,571",,"['Epicerie', 'Condiments']",,+206%,+141%,+227%,+575%,,,,,,,,,,,,,,,,14.3 g,en quantité modérée,0 g,en faible quantité,28.6 g,en quantité élevée,6.43 g,en quantité élevée,+200%,-100%,+318%,+15%,+15%,16,+58%,D,+58%,,3,"['Gluten', 'Graines de sésame']",,JFC International Inc.,
518,Algues Sechées 453G,0011152077352,,['France'],[],[],?,188,"2,6",11,18,787 kj(188 kcal),"0,7","0,5","24,7","9,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Racine de lotus,0011152137131,,['France'],[],[],?,65,"0,5",14,"1,3",272 kj(65 kcal),"0,1","0,9","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,"Hapi, sriracha peas, chili garlic coated green peas snacks, spicy",0011152145952,['Hapi'],"['France', 'États-Unis']","['Green pea', 'sugar', 'wheat flour', 'glutinous rice flour', 'modified starch', 'vegetable oil ', 'palm/coconut/sunflower', 'salt', 'yeast extract powder', 'dextrose', 'tapioca starch', 'silicon dioxide', 'citric acid', 'garlic powder', 'artificial coloring', 'artificial flavoring', 'onion powder', 'spices']",['Huile de palme'],?,429,"10,71","67,86","14,29",1795 kj(429 kcal),"3,57","21,43","1,875","0,75",,['Snacks'],,-5%,-49%,+21%,+127%,,,,,,,,,,,,,,,,10.7 g,en quantité modérée,3.57 g,en quantité modérée,21.4 g,en quantité élevée,1.88 g,en quantité élevée,-5%,-60%,-29%,+256%,+256%,17,-5%,D,-5%,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",4,['Gluten'],,JFC International Inc.,
521,Japanese green tes noodles - Ruce Cake Nuri - 640g,0011152206905,['Ruce Cake Nuri'],['France'],[],[],?,340,"1,6",64,15,1423 kj(340 kcal),"0,4","1,9","3,8","1,52",,,,,,,,,,,,,,,640 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Udon noodle soup - Myojo,0011152257679,['Myojo'],"['France', 'États-Unis']","['Noodles: enriched wheat flour ', 'flour,niacin', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'water', 'tapioca starch', 'alt', 'lactic acid', 'propylene glycol alginate', 'sodium benzoate ', 'to retard spoilage', 'natural flavor', ' soup base: salt', 'sugar', 'monosodium glutamate', 'garlic powder', 'onion powder', 'white pepper powder', 'mushroom powder', 'caramel powder', 'hydrolyzed vegetable protein', 'leek chips', 'soy sauce', 'soy sauce powder ', 'soybeans', 'wheat', 'salt', 'silicon dioxide,disodium guanylate', 'disodium inosinate and artificial flavor', ' dried vegetables: dried green onion', 'dried seaweed']",[],?,126,0,"27,06","3,78",527 kj(126 kcal),0,"1,26","2,092","0,837",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,-58%,-100%,-45%,-50%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,1.26 g,en faible quantité,2.09 g,en quantité élevée,-58%,-100%,-39%,+38%,+38%,7,+1329%,C,+1329%,"['E270 - Acide lactique', 'E405 - Alginate de propane-1', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique']",4,"['Gluten', 'Soja']",,MYOJO,
523,"Daisho, japanese bbq (yakiniku) sauce, garlic soy sauce - Jfc International Inc.",0011152263779,['Jfc International Inc.'],"['France', 'États-Unis']","['Soy sauce ', 'salt', 'defatted soybeans', 'wheat', 'ethyl alcohol', 'water', 'sugar', 'water', 'high fructose corn syrup', 'apple', 'garlic', 'salt', 'ethyl alcohol', 'sesame seed oil', 'soybean paste ', 'water', 'soybeans', 'rice', 'salt', 'ethyl alcohol', 'yeast', 'lactobacillus', 'seed malt', 'monosodium glutamate', 'disodium inosinate', 'disodium guanylate', 'brewed vinegar', 'sesame seed', 'ginger', 'caramel color', 'red pepper', 'black pepper', 'xanthan gum']",[],?,200,0,40,"6,67",837 kj(200 kcal),0,"33,33","7,168","2,867",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,+28%,-100%,+29%,+644%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,33.3 g,en quantité élevée,7.17 g,en quantité élevée,+27%,-100%,+28%,+255%,+255%,19,+31%,E,+31%,"['E1510 - Éthanol', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane']",4,"['Gluten', 'Graines de sésame', 'Soja']",,JFC International Inc.,
524,JFC Jappo Dashi Bonito Type Soup Stock,0011152420882,,['France'],[],[],?,239,"0,5",34,25,1000 kj(239 kcal),"0,1",25,"39,2","15,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Ramune carbonated soft drink - Kimura,0011152431697,['Kimura'],['France'],"['CARBONATED WATER', 'HIGH FRUCTOSE CORN SYRUP,CITRIC ACIDARTIFICIALAND NATURAL FLAVOR', 'TRISODIUM CITRATE,FD & C YELLOW NO', '5']",[],?,36,"0,5","8,7","0,5",151 kj(36 kcal),0,"8,7","0,01","0,004",,['Boissons'],,-36%,+44%,-23%,+1%,,,,,,,,,,,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0.01 g,en faible quantité,-37%,-100%,-8%,-76%,-76%,12,+57%,E,+57%,['E331iii - Citrate trisodique'],,,,,
526,Wrapper Gyoza - Imperial Dragon - 254g,0011152697291,['Imperial Dragon'],['France'],"['Wheat Flour 69', '5% ', 'Flour', 'Niacin', 'Reduced Iron', 'Thiamine Mononitrate', 'Riboflavin and Folic Acid', 'Water', 'Cornstarch', 'Preservatives ', 'E420', 'E280', 'E211', 'E282', 'Salt', 'Egg White', 'Egg Yolk']","['Sans huile de palme', 'Non végétalien']",?,280,1,54,9,1172 kj(280 kcal),0,1,"0,63","0,252",,"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais', 'en:Bouchées vapeur', 'en:Pâtes farcies surgelées']",,+68%,-79%,+139%,+28%,,,,,,,,254 g,['Plastic'],['États-Unis'],,,,,,1 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.63 g,en quantité modérée,+67%,-100%,-63%,-39%,-39%,0,-100%,B,-100%,"['E420 - Sorbitol', 'E280 - Acide propionique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']",4,"['Œufs', 'Gluten']",Feuilles de ravioli,,
527,Wasabi peas - Hapi - 280g,0011152851716,['Hapi'],"['France', 'États-Unis']","['Green peas', 'glutinous rice flour', 'wheat flour', 'palm oil', 'sunflower oil', 'sugar', 'horseradish', 'salt', 'fd&c yellow #5 and fd&c blue #1']",['Huile de palme'],?,464,"14,29","64,29","14,29",1941 kj(464 kcal),"5,36","14,29","0,76","0,304",,['Snacks'],,+3%,-32%,+14%,+127%,,,,,,,,280 g,,,,,,,,14.3 g,en quantité modérée,5.36 g,en quantité élevée,14.3 g,en quantité élevée,0.76 g,en quantité modérée,+3%,-41%,-53%,+44%,+44%,13,-27%,D,-27%,"['E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,['Gluten'],,JFC International Inc.,
528,0011180018860,0011180018860,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Stuffed manzanilla olives,0011194558550,,['France'],[],[],?,179,18,0,0,749 kj(179 kcal),4,0,"0,14","0,056",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Camomille']",,+69%,+57%,-100%,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,18 g,en quantité élevée,4 g,en quantité élevée,0 g,en faible quantité,0.14 g,en faible quantité,+69%,+71%,-100%,-93%,-93%,,,,,,,,,,
530,Sel épicé Tabasco - 6oz,0011210008199,['Tabasco'],"['France', 'États-Unis']","['sait', 'TABASCO? Dry Flavoring ', 'red pepper', 'distilled vinegar', 'sait', ' Mcllhéhnv Company']",[],?,0,0,0,0,0 kj(0 kcal),0,0,"78,572","31,429",B,"['Epicerie', 'Condiments', 'Sels']",,-100%,-100%,-100%,-100%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,6 oz,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,78.6 g,en quantité élevée,-100%,-100%,-100%,+29%,+29%,,,,,,2,,,McIlhenny Company,
531,Tabasco green pepper sauce,0011210009585,['Tabasco'],['France'],[],[],?,11,0,"1,8","0,6",46 kj(11 kcal),0,0,"7,4","2,96",,"['Epicerie', 'Sauces', 'Sauces pimentées']",,-91%,-100%,-90%,-48%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,-91%,-100%,-100%,+64%,+64%,10,-20%,C,-20%,,,,,,
532,Spicy ketchup - Tabasco,0011210021501,['Tabasco'],"['France', 'États-Unis']","['Tomato concentrate ', 'water and tomato paste', 'corn syrup', 'distilled vinegar', 'salt', 'tabasco brand pepper sauce ', 'distilled', 'vinegar', 'red pepper', 'salt', 'spices', 'natural flavor']",[],?,118,0,"29,41",0,494 kj(118 kcal),0,"11,76","2,06","0,824",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,+11%,-100%,+30%,-100%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité modérée,2.06 g,en quantité élevée,+13%,-100%,-40%,+4%,+4%,12,-1%,D,-1%,,4,,,McIlhenny Company,
533,Mcilhenny Co. Tabasco,0011210135826,,['France'],[],[],?,16,"0,7","1,6",1,67 kj(16 kcal),"0,2","0,1","1,8","0,72",,"['Epicerie', 'Sauces', 'Sauces pimentées']",,-87%,-77%,-91%,-14%,,,,,,,,,,,,['en:gluten-free'],,,,0.7 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en quantité élevée,-86%,-57%,-99%,-60%,-60%,7,-44%,C,-44%,,,,,,
534,Pfeffersauce - TABASCO,0011210135840,['TABASCO'],['France'],"['Rote Chilisauce Zutaten: vinaigre de cognac ,piment rouge forts', 'sel']",[],?,45,"0,7","1,6",1,188 kj(45 kcal),"0,2",0,"1,8","0,72",,"['Epicerie', 'Sauces', 'Sauces pimentées']",,-63%,-77%,-91%,-14%,,,,,,,,,,,,,,,,0.7 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.8 g,en quantité élevée,-62%,-57%,-100%,-60%,-60%,7,-44%,C,-44%,,,,,,
535,"Butter syrup, butter - Kingston Marketing Co",0011225422119,['Kingston Marketing Co'],"['France', 'États-Unis']","['Corn syrup', 'water', 'liquid sugar', 'caramel color', 'salt', 'artificial flavor', 'and potassium sorbate ', 'a preservative']",[],?,383,0,95,0,1602 kj(383 kcal),0,"31,67","0,082","0,033",,"['Édulcorants', 'Sirops', 'Sirops simples']",,+33%,-100%,+32%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,31.7 g,en quantité élevée,0.0825 g,en faible quantité,+32%,-100%,-51%,+41%,+41%,11,-15%,D,-15%,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,Kingston Marketing Co,
536,0011252000069,0011252000069,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Real coconut water - P.S.W. Inc.,0011259906340,['P.S.W. Inc.'],"['France', 'États-Unis']","['Coconut water', 'passion fruit pulp & seeds']",[],?,28,0,"5,96",0,117 kj(28 kcal),0,"5,26","0,085","0,034",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,-30%,-100%,-29%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,5.26 g,en quantité modérée,0.085 g,en faible quantité,-30%,-100%,-29%,+248%,+248%,6,+2%,D,+2%,,1,,,TASTE NIRVANA,
538,organic coconut water - 50g,0011259906821,,['France'],[],[],?,21,"0,1",5,"0,1",88 kj(21 kcal),"0,1",4,"0,1","0,04",,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Brach's,0011300051395,"[""Brach's""]","['France', 'États-Unis']","['Sugar', 'corn syrup', 'modified food starch ', 'corn', 'cornstarch', 'artificial and natural flavors', 'carnauba wax', ""confectioner's glaze "", 'shellac', 'white mineral oil', 'red 40', 'yellow 6', 'blue 1', 'red 3', 'yellow 5', 'beeswax']","['Non végétalien', 'Non végétarien']",?,366,0,"90,24",0,1531 kj(366 kcal),0,"68,29","0,06","0,024",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-13%,-100%,+35%,-100%,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,68.3 g,en quantité élevée,0.06 g,en faible quantité,-13%,-100%,+38%,-59%,-59%,14,-23%,D,-23%,"['E903 - Cire de carnauba', 'E904 - Gomme-laque', 'E129 - Rouge allura AC', 'E110 - Jaune orangé S', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E127 - Érythrosine', 'E102 - Tartrazine', ""E901 - Cire d'abeille""]",4,,,Ferrara Candy Company,
