,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
31,Pâte à tartiner,3760010232880,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Pains au lait BIO - 420g - la boulangère,3760049798890,['France'],"['Farine de blé*/** ', '55%', 'œufs entiers frais*/** ', '13%', 'huile de tournesol""', 'lait écrémé pasteurisé* ', '8,7%', 'sucre de canne roux""', 'levain"" ', 'eau', 'farines de seigle"" et de blé malté""', 'levures', ' gluten de blé""', 'levure', 'sel', 'extrait de vanille*', 'arôme naturel de vanille ', 'contient alcool', "" * Ingrédients issus de l'Agriculture Biologique"", ' ** Ingrédients issus du commerce équitable']","['Sans huile de palme', 'Non végétalien']",?,338,1414 kj(338 kcal),11,"1,5",50,"8,9","8,6","0,85","0,34",B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",11 g,en quantité modérée,1.5 g,en quantité modérée,8.9 g,en quantité modérée,0.85 g,en quantité modérée,,-4%,-4%,-4%,-64%,-5%,-33%,+0%,-17%,-17%,4,-70%,C,-70%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,['la boulangère'],,"['Bio', 'Bio européen', 'Commerce équitable', 'Plein air', '1% pour la planète', 'Œufs de poules élevées en plein air', 'Oeufs de France', 'Fabriqué en France', 'AB Agriculture Biologique', 'Agri-Éthique France', 'Farine de blé française', 'Électricité verte Origine France']",,,4,,,['France'],,['Gluten'],,,,,
33,Uva sultanina essiccata,8023797085069,['France'],[],[],?,328,1372 kj(328 kcal),"0,5","0,2",76,59,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Miel de Corse,3760155000085,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Date bars,0776992132059,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Nuts & Raisins,3758299020489,['France'],[],[],?,492,2059 kj(492 kcal),"31,1","4,7",37,"26,9",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mezze penne n°95,8009385331954,['France'],[],[],?,357,1494 kj(357 kcal),"1,5","0,3",69,"1,4",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Entroterra spa    Camerino   MC   Italy,8032605060808,['France'],[],[],?,382,1598 kj(382 kcal),"5,1","1,6",67,"2,5",15,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pruneaux dénoyautés au jus de pruneaux - Maitre Prunille Food Service - 100g,35024901715,['France'],"['Pruneaux de France dénoyautés', 'eau', 'Sucre', 'conservateur : sorbate de potassium', ' \r Fabriqué et conditionné dans un atelier qui manipule des fruits contenant du sulfite']",[],525,124,525 kj(124 kcal),"0,3","0,1",27,21,"1,2",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.3 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0 g,en faible quantité,-49%,-49%,-48%,-17%,-12%,-49%,-42%,-36%,-100%,-100%,-2,-191%,A,-191%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,100 g,['Maitre Prunille Food Service'],['pot en plastique'],"['Point Vert', 'Sans sucre ajouté']",,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",3,,['France'],,,,,,,,
40,Muirapuama Gélules - Guayapi - 80gélules de 320mg,3471123003051,['France'],"['Nutrimentsingrédients : 77% de poudre de muirapuama ', 'ptychopetalum olacoides', "" biologique pure et enveloppe : gélule d'origine végétale "", 'hydroxypropylmethylcellulose', 'sans conservateurs']",[],1610,380,1610 kj(380 kcal),"0,5","0,23","92,1",0,"1,4","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 gélules de 320 mg,['Guayapi'],['boite en carton'],"['Bio', 'Bio européen', 'Sans conservateurs', 'AB Agriculture Biologique', 'Forest Garden Product', 'Sateré Mawé']",,['E464 - Hydroxypropylméthylcellulose'],4,,,['Brésil'],,,Brésil,,,,
